source_node_id,target_node_id,relationship_type,impact_level
45,4,condition_affects_srotas,High
45,3,condition_affects_srotas,High
46,4,condition_affects_srotas,Medium
46,3,condition_affects_srotas,Medium
47,4,condition_affects_srotas,High
47,3,condition_affects_srotas,Medium
48,4,condition_affects_srotas,High
48,3,condition_affects_srotas,Medium
49,4,condition_affects_srotas,High
49,3,condition_affects_srotas,High
50,4,condition_affects_srotas,Medium
50,3,condition_affects_srotas,Low
51,4,condition_affects_srotas,High
51,3,condition_affects_srotas,Low
52,4,condition_affects_srotas,Low
52,3,condition_affects_srotas,Medium
53,4,condition_affects_srotas,Medium
53,3,condition_affects_srotas,Medium
54,4,condition_affects_srotas,High
54,3,condition_affects_srotas,Medium
55,4,condition_affects_srotas,High
55,3,condition_affects_srotas,Medium
56,4,condition_affects_srotas,Low
56,3,condition_affects_srotas,Medium
57,4,condition_affects_srotas,High
57,3,condition_affects_srotas,Low
58,4,condition_affects_srotas,Low
58,3,condition_affects_srotas,High
59,4,condition_affects_srotas,Low
59,3,condition_affects_srotas,Medium
60,10,condition_affects_srotas,High
60,11,condition_affects_srotas,Medium
61,10,condition_affects_srotas,Medium
61,11,condition_affects_srotas,Medium
62,10,condition_affects_srotas,Low
62,11,condition_affects_srotas,Medium
63,10,condition_affects_srotas,Low
63,11,condition_affects_srotas,High
64,10,condition_affects_srotas,High
64,11,condition_affects_srotas,High
65,10,condition_affects_srotas,High
65,11,condition_affects_srotas,Medium
66,10,condition_affects_srotas,Medium
66,11,condition_affects_srotas,Medium
67,10,condition_affects_srotas,Medium
67,11,condition_affects_srotas,Medium
68,10,condition_affects_srotas,Low
68,11,condition_affects_srotas,Medium
69,10,condition_affects_srotas,Low
69,11,condition_affects_srotas,Medium
70,10,condition_affects_srotas,Low
70,11,condition_affects_srotas,Medium
71,10,condition_affects_srotas,High
71,11,condition_affects_srotas,Low
72,10,condition_affects_srotas,High
72,11,condition_affects_srotas,High
73,10,condition_affects_srotas,Low
73,11,condition_affects_srotas,Medium
74,10,condition_affects_srotas,High
74,11,condition_affects_srotas,Medium
75,10,condition_affects_srotas,High
75,11,condition_affects_srotas,Medium
76,10,condition_affects_srotas,Low
76,11,condition_affects_srotas,High
77,10,condition_affects_srotas,High
77,11,condition_affects_srotas,Low
78,10,condition_affects_srotas,Medium
78,11,condition_affects_srotas,High
79,6,condition_affects_srotas,Medium
79,3,condition_affects_srotas,Medium
80,7,condition_affects_srotas,Low
80,3,condition_affects_srotas,High
81,5,condition_affects_srotas,Medium
81,9,condition_affects_srotas,Low
82,5,condition_affects_srotas,Low
82,3,condition_affects_srotas,High
83,3,condition_affects_srotas,Low
83,8,condition_affects_srotas,High
84,2,condition_affects_srotas,Medium
84,3,condition_affects_srotas,High
85,5,condition_affects_srotas,Low
85,3,condition_affects_srotas,High
86,2,condition_affects_srotas,Medium
86,4,condition_affects_srotas,High
87,3,condition_affects_srotas,Medium
87,9,condition_affects_srotas,Medium
88,1,condition_affects_srotas,Medium
88,3,condition_affects_srotas,Medium
89,1,condition_affects_srotas,Low
89,6,condition_affects_srotas,High
90,3,condition_affects_srotas,Medium
90,9,condition_affects_srotas,High
91,6,condition_affects_srotas,Medium
91,4,condition_affects_srotas,Medium
92,1,condition_affects_srotas,Medium
92,4,condition_affects_srotas,Low
93,6,condition_affects_srotas,Medium
93,2,condition_affects_srotas,Medium
94,9,condition_affects_srotas,Low
95,9,condition_affects_srotas,High
96,9,condition_affects_srotas,High
97,9,condition_affects_srotas,Low
98,9,condition_affects_srotas,Medium
99,9,condition_affects_srotas,High
100,9,condition_affects_srotas,Low
101,9,condition_affects_srotas,High
102,9,condition_affects_srotas,Medium
103,9,condition_affects_srotas,High
104,9,condition_affects_srotas,Low
105,9,condition_affects_srotas,Low
106,9,condition_affects_srotas,Medium
107,9,condition_affects_srotas,High
108,9,condition_affects_srotas,High
109,9,condition_affects_srotas,Low
110,9,condition_affects_srotas,Medium
111,9,condition_affects_srotas,High
112,9,condition_affects_srotas,High
113,9,condition_affects_srotas,Low
114,5,condition_affects_srotas,High
115,5,condition_affects_srotas,Low
116,5,condition_affects_srotas,Medium
117,5,condition_affects_srotas,High
118,5,condition_affects_srotas,Medium
119,5,condition_affects_srotas,Low
120,5,condition_affects_srotas,High
121,5,condition_affects_srotas,Medium
122,5,condition_affects_srotas,Medium
123,5,condition_affects_srotas,Low
124,5,condition_affects_srotas,Low
125,5,condition_affects_srotas,Low
126,5,condition_affects_srotas,Low
127,5,condition_affects_srotas,Medium
128,5,condition_affects_srotas,Medium
129,5,condition_affects_srotas,Medium
130,5,condition_affects_srotas,Medium
131,5,condition_affects_srotas,Medium
132,5,condition_affects_srotas,Low
133,7,condition_affects_srotas,High
133,6,condition_affects_srotas,Medium
134,1,condition_affects_srotas,High
134,6,condition_affects_srotas,Medium
135,3,condition_affects_srotas,Low
135,8,condition_affects_srotas,Medium
136,6,condition_affects_srotas,High
136,3,condition_affects_srotas,Medium
137,3,condition_affects_srotas,Low
137,8,condition_affects_srotas,High
138,6,condition_affects_srotas,Medium
138,3,condition_affects_srotas,Low
139,1,condition_affects_srotas,Low
139,11,condition_affects_srotas,Medium
140,1,condition_affects_srotas,Low
140,6,condition_affects_srotas,High
141,7,condition_affects_srotas,Low
141,3,condition_affects_srotas,High
142,2,condition_affects_srotas,Medium
142,9,condition_affects_srotas,Medium
143,2,condition_affects_srotas,Low
143,4,condition_affects_srotas,Medium
144,1,condition_affects_srotas,Medium
144,7,condition_affects_srotas,Medium
145,5,condition_affects_srotas,Low
145,4,condition_affects_srotas,Low
146,3,condition_affects_srotas,High
147,1,condition_affects_srotas,Medium
147,11,condition_affects_srotas,Medium
148,11,condition_affects_srotas,High
148,9,condition_affects_srotas,Low
149,7,condition_affects_srotas,High
149,3,condition_affects_srotas,Medium
150,4,condition_affects_srotas,Low
150,8,condition_affects_srotas,Medium
151,7,condition_affects_srotas,High
151,3,condition_affects_srotas,Low
152,4,condition_affects_srotas,High
152,3,condition_affects_srotas,Medium
153,6,condition_affects_srotas,Low
154,6,condition_affects_srotas,Low
155,6,condition_affects_srotas,Medium
156,6,condition_affects_srotas,High
157,6,condition_affects_srotas,Low
158,6,condition_affects_srotas,Medium
159,6,condition_affects_srotas,High
160,6,condition_affects_srotas,Low
161,6,condition_affects_srotas,Low
162,6,condition_affects_srotas,Low
163,6,condition_affects_srotas,Low
164,6,condition_affects_srotas,Medium
165,6,condition_affects_srotas,Medium
166,6,condition_affects_srotas,Medium
167,6,condition_affects_srotas,Low
168,6,condition_affects_srotas,Low
169,6,condition_affects_srotas,Medium
170,6,condition_affects_srotas,High
171,6,condition_affects_srotas,Medium
172,6,condition_affects_srotas,Medium
173,7,condition_affects_srotas,Medium
173,8,condition_affects_srotas,Medium
174,7,condition_affects_srotas,High
174,8,condition_affects_srotas,High
175,7,condition_affects_srotas,High
175,8,condition_affects_srotas,Medium
176,7,condition_affects_srotas,Medium
176,8,condition_affects_srotas,Medium
177,7,condition_affects_srotas,High
177,8,condition_affects_srotas,High
178,7,condition_affects_srotas,Medium
178,8,condition_affects_srotas,Medium
179,7,condition_affects_srotas,Low
179,8,condition_affects_srotas,High
180,7,condition_affects_srotas,Medium
180,8,condition_affects_srotas,High
181,7,condition_affects_srotas,High
181,8,condition_affects_srotas,Low
182,7,condition_affects_srotas,Low
182,8,condition_affects_srotas,Medium
183,7,condition_affects_srotas,High
183,8,condition_affects_srotas,Low
184,7,condition_affects_srotas,Medium
184,8,condition_affects_srotas,High
185,7,condition_affects_srotas,Medium
185,8,condition_affects_srotas,High
186,7,condition_affects_srotas,Medium
186,8,condition_affects_srotas,Low
187,7,condition_affects_srotas,Low
187,8,condition_affects_srotas,High
188,7,condition_affects_srotas,Low
188,8,condition_affects_srotas,Low
189,7,condition_affects_srotas,Medium
189,8,condition_affects_srotas,Medium
190,7,condition_affects_srotas,Medium
190,8,condition_affects_srotas,Medium
191,7,condition_affects_srotas,Low
191,8,condition_affects_srotas,High
192,7,condition_affects_srotas,High
192,8,condition_affects_srotas,Low
193,2,condition_affects_srotas,Medium
193,9,condition_affects_srotas,High
194,3,condition_affects_srotas,Medium
194,9,condition_affects_srotas,Medium
195,8,condition_affects_srotas,High
195,9,condition_affects_srotas,High
196,2,condition_affects_srotas,High
196,3,condition_affects_srotas,Low
197,7,condition_affects_srotas,High
197,8,condition_affects_srotas,Low
198,7,condition_affects_srotas,Low
198,5,condition_affects_srotas,High
199,5,condition_affects_srotas,Medium
199,4,condition_affects_srotas,Medium
200,6,condition_affects_srotas,Medium
200,2,condition_affects_srotas,Low
201,2,condition_affects_srotas,Medium
201,3,condition_affects_srotas,Medium
202,7,condition_affects_srotas,Medium
202,9,condition_affects_srotas,Low
203,7,condition_affects_srotas,Low
203,4,condition_affects_srotas,Medium
204,7,condition_affects_srotas,Low
204,10,condition_affects_srotas,Low
205,7,condition_affects_srotas,Low
205,5,condition_affects_srotas,Medium
206,10,condition_affects_srotas,Low
206,3,condition_affects_srotas,Medium
207,1,condition_affects_srotas,Low
207,11,condition_affects_srotas,High
208,3,condition_affects_srotas,Medium
208,9,condition_affects_srotas,Medium
209,3,condition_affects_srotas,High
209,8,condition_affects_srotas,Low
210,1,condition_affects_srotas,Medium
210,9,condition_affects_srotas,High
211,3,condition_affects_srotas,Low
211,8,condition_affects_srotas,High
212,10,condition_affects_srotas,High
212,2,condition_affects_srotas,Medium
213,2,condition_affects_srotas,Medium
214,9,condition_affects_srotas,High
215,5,condition_affects_srotas,Medium
216,1,condition_affects_srotas,High
216,3,condition_affects_srotas,High
217,10,condition_affects_srotas,High
217,11,condition_affects_srotas,Low
218,10,condition_affects_srotas,Medium
218,11,condition_affects_srotas,High
219,10,condition_affects_srotas,Low
219,11,condition_affects_srotas,Low
220,4,condition_affects_srotas,Medium
220,3,condition_affects_srotas,Medium
221,5,condition_affects_srotas,Low
222,2,condition_affects_srotas,High
223,10,condition_affects_srotas,High
223,11,condition_affects_srotas,Medium
224,5,condition_affects_srotas,Low
225,2,condition_affects_srotas,Medium
226,2,condition_affects_srotas,Medium
227,5,condition_affects_srotas,Low
228,1,condition_affects_srotas,Medium
228,3,condition_affects_srotas,High
229,1,condition_affects_srotas,Low
229,3,condition_affects_srotas,Medium
230,5,condition_affects_srotas,Medium
231,6,condition_affects_srotas,High
232,1,condition_affects_srotas,Low
232,3,condition_affects_srotas,Medium
233,4,condition_affects_srotas,Low
233,3,condition_affects_srotas,Medium
234,10,condition_affects_srotas,Medium
234,11,condition_affects_srotas,High
235,5,condition_affects_srotas,Low
236,4,condition_affects_srotas,Low
236,3,condition_affects_srotas,Low
237,1,condition_affects_srotas,Low
237,3,condition_affects_srotas,Medium
238,5,condition_affects_srotas,Medium
239,10,condition_affects_srotas,Medium
239,11,condition_affects_srotas,High
240,1,condition_affects_srotas,Medium
240,3,condition_affects_srotas,Low
241,1,condition_affects_srotas,High
241,3,condition_affects_srotas,High
242,2,condition_affects_srotas,Medium
243,2,condition_affects_srotas,Medium
244,4,condition_affects_srotas,Medium
244,3,condition_affects_srotas,Medium
245,1,condition_affects_srotas,Medium
245,3,condition_affects_srotas,High
246,6,condition_affects_srotas,Medium
247,1,condition_affects_srotas,Medium
247,3,condition_affects_srotas,Medium
248,6,condition_affects_srotas,Low
249,1,condition_affects_srotas,Low
249,3,condition_affects_srotas,High
250,5,condition_affects_srotas,Medium
251,9,condition_affects_srotas,Low
252,10,condition_affects_srotas,Low
252,11,condition_affects_srotas,High
253,4,condition_affects_srotas,Medium
253,3,condition_affects_srotas,Medium
254,2,condition_affects_srotas,High
255,1,condition_affects_srotas,High
255,3,condition_affects_srotas,Low
256,2,condition_affects_srotas,Medium
257,5,condition_affects_srotas,Low
258,5,condition_affects_srotas,Low
259,2,condition_affects_srotas,Medium
260,2,condition_affects_srotas,Low
261,2,condition_affects_srotas,High
262,6,condition_affects_srotas,Low
263,1,condition_affects_srotas,Medium
263,3,condition_affects_srotas,High
264,9,condition_affects_srotas,High
265,5,condition_affects_srotas,High
266,10,condition_affects_srotas,High
266,11,condition_affects_srotas,Medium
267,6,condition_affects_srotas,Medium
268,1,condition_affects_srotas,Low
268,3,condition_affects_srotas,Medium
269,6,condition_affects_srotas,Medium
270,1,condition_affects_srotas,Low
270,3,condition_affects_srotas,Medium
271,4,condition_affects_srotas,Low
271,3,condition_affects_srotas,Low
272,5,condition_affects_srotas,Medium
273,1,condition_affects_srotas,Low
273,3,condition_affects_srotas,High
274,5,condition_affects_srotas,Low
275,5,condition_affects_srotas,Low
276,5,condition_affects_srotas,Low
277,5,condition_affects_srotas,Low
278,5,condition_affects_srotas,Medium
279,6,condition_affects_srotas,Low
280,1,condition_affects_srotas,Medium
280,3,condition_affects_srotas,Low
281,5,condition_affects_srotas,Low
282,4,condition_affects_srotas,Medium
282,3,condition_affects_srotas,Low
283,2,condition_affects_srotas,Medium
284,5,condition_affects_srotas,High
285,5,condition_affects_srotas,High
286,5,condition_affects_srotas,High
287,2,condition_affects_srotas,Low
288,6,condition_affects_srotas,High
289,5,condition_affects_srotas,High
290,1,condition_affects_srotas,High
290,3,condition_affects_srotas,Medium
291,6,condition_affects_srotas,Medium
292,1,condition_affects_srotas,Low
292,3,condition_affects_srotas,Low
293,1,condition_affects_srotas,Low
293,3,condition_affects_srotas,High
294,2,condition_affects_srotas,Low
295,9,condition_affects_srotas,Low
296,9,condition_affects_srotas,High
297,10,condition_affects_srotas,Low
297,11,condition_affects_srotas,Medium
298,5,condition_affects_srotas,Medium
299,2,condition_affects_srotas,Low
300,2,condition_affects_srotas,High
301,1,condition_affects_srotas,Low
301,3,condition_affects_srotas,High
302,6,condition_affects_srotas,High
303,10,condition_affects_srotas,High
303,11,condition_affects_srotas,Medium
304,9,condition_affects_srotas,Low
305,10,condition_affects_srotas,Low
305,11,condition_affects_srotas,Low
306,10,condition_affects_srotas,Medium
306,11,condition_affects_srotas,High
307,9,condition_affects_srotas,High
308,1,condition_affects_srotas,Medium
308,3,condition_affects_srotas,Medium
309,9,condition_affects_srotas,Medium
310,10,condition_affects_srotas,Medium
310,11,condition_affects_srotas,Medium
311,9,condition_affects_srotas,High
312,1,condition_affects_srotas,Low
312,3,condition_affects_srotas,High
313,5,condition_affects_srotas,Low
314,1,condition_affects_srotas,Low
314,3,condition_affects_srotas,Medium
315,5,condition_affects_srotas,High
316,5,condition_affects_srotas,Low
317,5,condition_affects_srotas,High
318,5,condition_affects_srotas,Medium
319,5,condition_affects_srotas,Medium
320,10,condition_affects_srotas,Medium
320,11,condition_affects_srotas,Medium
321,10,condition_affects_srotas,Medium
321,11,condition_affects_srotas,Low
322,2,condition_affects_srotas,High
323,1,condition_affects_srotas,Medium
323,3,condition_affects_srotas,Medium
324,5,condition_affects_srotas,Low
325,10,condition_affects_srotas,Low
325,11,condition_affects_srotas,High
326,5,condition_affects_srotas,High
327,1,condition_affects_srotas,Low
327,3,condition_affects_srotas,Low
328,5,condition_affects_srotas,Low
329,1,condition_affects_srotas,Low
329,3,condition_affects_srotas,High
330,2,condition_affects_srotas,High
331,5,condition_affects_srotas,Low
332,4,condition_affects_srotas,High
332,3,condition_affects_srotas,High
333,1,condition_affects_srotas,High
333,3,condition_affects_srotas,High
334,10,condition_affects_srotas,High
334,11,condition_affects_srotas,High
335,4,condition_affects_srotas,High
335,3,condition_affects_srotas,Medium
336,1,condition_affects_srotas,High
336,3,condition_affects_srotas,High
337,10,condition_affects_srotas,Low
337,11,condition_affects_srotas,High
338,5,condition_affects_srotas,Low
339,10,condition_affects_srotas,Medium
339,11,condition_affects_srotas,High
340,5,condition_affects_srotas,Medium
341,9,condition_affects_srotas,Low
342,2,condition_affects_srotas,Medium
343,6,condition_affects_srotas,High
344,1,condition_affects_srotas,Low
344,3,condition_affects_srotas,Medium
345,10,condition_affects_srotas,Medium
345,11,condition_affects_srotas,Medium
346,2,condition_affects_srotas,Low
347,6,condition_affects_srotas,Low
348,10,condition_affects_srotas,Low
348,11,condition_affects_srotas,High
349,10,condition_affects_srotas,Low
349,11,condition_affects_srotas,Medium
350,9,condition_affects_srotas,Low
351,5,condition_affects_srotas,High
352,2,condition_affects_srotas,High
353,10,condition_affects_srotas,Low
353,11,condition_affects_srotas,High
354,2,condition_affects_srotas,Medium
355,1,condition_affects_srotas,Low
355,3,condition_affects_srotas,High
356,10,condition_affects_srotas,High
356,11,condition_affects_srotas,Medium
357,5,condition_affects_srotas,Medium
358,10,condition_affects_srotas,High
358,11,condition_affects_srotas,Medium
359,5,condition_affects_srotas,Low
360,9,condition_affects_srotas,Medium
361,10,condition_affects_srotas,Low
361,11,condition_affects_srotas,Medium
362,1,condition_affects_srotas,Medium
362,3,condition_affects_srotas,High
363,2,condition_affects_srotas,Medium
364,5,condition_affects_srotas,Medium
365,5,condition_affects_srotas,High
366,2,condition_affects_srotas,Low
367,4,condition_affects_srotas,High
367,3,condition_affects_srotas,Low
368,10,condition_affects_srotas,Low
368,11,condition_affects_srotas,High
369,10,condition_affects_srotas,Low
369,11,condition_affects_srotas,Medium
370,2,condition_affects_srotas,Low
371,5,condition_affects_srotas,High
372,1,condition_affects_srotas,Medium
372,3,condition_affects_srotas,Medium
373,10,condition_affects_srotas,Medium
373,11,condition_affects_srotas,High
374,9,condition_affects_srotas,Low
375,5,condition_affects_srotas,High
376,10,condition_affects_srotas,Low
376,11,condition_affects_srotas,Low
377,5,condition_affects_srotas,Low
378,10,condition_affects_srotas,High
378,11,condition_affects_srotas,Low
379,4,condition_affects_srotas,Low
379,3,condition_affects_srotas,Medium
380,1,condition_affects_srotas,Medium
380,3,condition_affects_srotas,Low
381,10,condition_affects_srotas,High
381,11,condition_affects_srotas,High
382,9,condition_affects_srotas,Medium
383,1,condition_affects_srotas,Low
383,3,condition_affects_srotas,Medium
384,10,condition_affects_srotas,Low
384,11,condition_affects_srotas,Low
385,2,condition_affects_srotas,High
386,5,condition_affects_srotas,High
387,1,condition_affects_srotas,High
387,3,condition_affects_srotas,Medium
388,10,condition_affects_srotas,Low
388,11,condition_affects_srotas,Low
389,10,condition_affects_srotas,High
389,11,condition_affects_srotas,High
390,4,condition_affects_srotas,High
390,3,condition_affects_srotas,Low
391,2,condition_affects_srotas,High
392,5,condition_affects_srotas,Low
393,10,condition_affects_srotas,Low
393,11,condition_affects_srotas,High
394,10,condition_affects_srotas,Low
394,11,condition_affects_srotas,Medium
395,1,condition_affects_srotas,High
395,3,condition_affects_srotas,Medium
396,9,condition_affects_srotas,High
397,10,condition_affects_srotas,Low
397,11,condition_affects_srotas,High
398,10,condition_affects_srotas,High
398,11,condition_affects_srotas,Low
399,5,condition_affects_srotas,Medium
400,1,condition_affects_srotas,High
400,3,condition_affects_srotas,Low
401,10,condition_affects_srotas,High
401,11,condition_affects_srotas,Low
402,5,condition_affects_srotas,High
403,5,condition_affects_srotas,High
404,5,condition_affects_srotas,Low
405,1,condition_affects_srotas,Low
405,3,condition_affects_srotas,Low
406,10,condition_affects_srotas,Medium
406,11,condition_affects_srotas,Medium
407,5,condition_affects_srotas,Low
408,1,condition_affects_srotas,High
408,3,condition_affects_srotas,Medium
409,4,condition_affects_srotas,Medium
409,3,condition_affects_srotas,Medium
410,2,condition_affects_srotas,High
411,5,condition_affects_srotas,Medium
412,4,condition_affects_srotas,High
412,3,condition_affects_srotas,Medium
413,2,condition_affects_srotas,Low
414,6,condition_affects_srotas,High
415,1,condition_affects_srotas,Low
415,3,condition_affects_srotas,High
416,9,condition_affects_srotas,Medium
417,10,condition_affects_srotas,Medium
417,11,condition_affects_srotas,High
418,2,condition_affects_srotas,Medium
419,5,condition_affects_srotas,Medium
420,1,condition_affects_srotas,High
420,3,condition_affects_srotas,High
421,10,condition_affects_srotas,Medium
421,11,condition_affects_srotas,Low
422,5,condition_affects_srotas,High
423,1,condition_affects_srotas,High
423,3,condition_affects_srotas,Medium
424,5,condition_affects_srotas,Medium
425,9,condition_affects_srotas,Medium
426,4,condition_affects_srotas,Medium
426,3,condition_affects_srotas,Low
427,1,condition_affects_srotas,High
427,3,condition_affects_srotas,Low
428,1,condition_affects_srotas,Low
428,3,condition_affects_srotas,Medium
429,10,condition_affects_srotas,High
429,11,condition_affects_srotas,Medium
430,10,condition_affects_srotas,Low
430,11,condition_affects_srotas,Low
431,5,condition_affects_srotas,Medium
432,6,condition_affects_srotas,Medium
433,5,condition_affects_srotas,Low
434,1,condition_affects_srotas,Medium
434,3,condition_affects_srotas,Low
435,6,condition_affects_srotas,Low
436,2,condition_affects_srotas,High
437,5,condition_affects_srotas,Medium
438,10,condition_affects_srotas,High
438,11,condition_affects_srotas,Medium
439,1,condition_affects_srotas,High
439,3,condition_affects_srotas,Medium
440,5,condition_affects_srotas,Low
441,1,condition_affects_srotas,Medium
441,3,condition_affects_srotas,Medium
442,10,condition_affects_srotas,Low
442,11,condition_affects_srotas,Low
443,4,condition_affects_srotas,Low
443,3,condition_affects_srotas,Medium
444,5,condition_affects_srotas,Medium
445,9,condition_affects_srotas,High
446,2,condition_affects_srotas,Low
447,10,condition_affects_srotas,Medium
447,11,condition_affects_srotas,Medium
448,1,condition_affects_srotas,Medium
448,3,condition_affects_srotas,Medium
449,10,condition_affects_srotas,High
449,11,condition_affects_srotas,Medium
450,9,condition_affects_srotas,Low
451,4,condition_affects_srotas,High
451,3,condition_affects_srotas,High
452,5,condition_affects_srotas,Medium
453,5,condition_affects_srotas,Medium
454,6,condition_affects_srotas,Medium
455,5,condition_affects_srotas,Medium
456,1,condition_affects_srotas,Medium
456,3,condition_affects_srotas,Medium
457,10,condition_affects_srotas,Low
457,11,condition_affects_srotas,Low
458,10,condition_affects_srotas,Low
458,11,condition_affects_srotas,Medium
459,5,condition_affects_srotas,Medium
460,1,condition_affects_srotas,High
460,3,condition_affects_srotas,High
461,5,condition_affects_srotas,Medium
462,5,condition_affects_srotas,Low
463,1,condition_affects_srotas,High
463,3,condition_affects_srotas,High
464,1,condition_affects_srotas,Medium
464,3,condition_affects_srotas,Low
465,1,condition_affects_srotas,High
465,3,condition_affects_srotas,High
466,5,condition_affects_srotas,Medium
467,5,condition_affects_srotas,Low
468,1,condition_affects_srotas,Low
468,3,condition_affects_srotas,Low
469,2,condition_affects_srotas,Low
470,5,condition_affects_srotas,Medium
471,5,condition_affects_srotas,Medium
472,10,condition_affects_srotas,Low
472,11,condition_affects_srotas,High
473,4,condition_affects_srotas,Medium
473,3,condition_affects_srotas,Low
474,10,condition_affects_srotas,Medium
474,11,condition_affects_srotas,Medium
475,10,condition_affects_srotas,Medium
475,11,condition_affects_srotas,Low
476,5,condition_affects_srotas,Medium
477,5,condition_affects_srotas,High
478,1,condition_affects_srotas,Medium
478,3,condition_affects_srotas,High
479,1,condition_affects_srotas,High
479,3,condition_affects_srotas,High
480,4,condition_affects_srotas,High
480,3,condition_affects_srotas,Low
481,1,condition_affects_srotas,Medium
481,3,condition_affects_srotas,Low
482,10,condition_affects_srotas,High
482,11,condition_affects_srotas,Medium
483,2,condition_affects_srotas,Medium
484,4,condition_affects_srotas,Low
484,3,condition_affects_srotas,Low
485,5,condition_affects_srotas,Medium
486,6,condition_affects_srotas,High
487,5,condition_affects_srotas,Medium
488,10,condition_affects_srotas,Medium
488,11,condition_affects_srotas,Low
489,9,condition_affects_srotas,Low
490,1,condition_affects_srotas,Medium
490,3,condition_affects_srotas,Low
491,10,condition_affects_srotas,Low
491,11,condition_affects_srotas,Low
492,4,condition_affects_srotas,High
492,3,condition_affects_srotas,Medium
493,5,condition_affects_srotas,High
494,2,condition_affects_srotas,Medium
495,1,condition_affects_srotas,Low
495,3,condition_affects_srotas,Low
496,6,condition_affects_srotas,Medium
497,2,condition_affects_srotas,Low
498,5,condition_affects_srotas,Low
499,1,condition_affects_srotas,Low
499,3,condition_affects_srotas,High
500,5,condition_affects_srotas,Low
501,1,condition_affects_srotas,Low
501,3,condition_affects_srotas,Medium
502,10,condition_affects_srotas,Low
502,11,condition_affects_srotas,Medium
503,5,condition_affects_srotas,High
504,2,condition_affects_srotas,High
505,2,condition_affects_srotas,Medium
506,10,condition_affects_srotas,Medium
506,11,condition_affects_srotas,High
507,5,condition_affects_srotas,High
508,10,condition_affects_srotas,Medium
508,11,condition_affects_srotas,Low
509,5,condition_affects_srotas,Low
510,10,condition_affects_srotas,Medium
510,11,condition_affects_srotas,Low
511,6,condition_affects_srotas,Medium
512,10,condition_affects_srotas,Medium
512,11,condition_affects_srotas,Low
513,10,condition_affects_srotas,Medium
513,11,condition_affects_srotas,Medium
514,10,condition_affects_srotas,High
514,11,condition_affects_srotas,Medium
515,5,condition_affects_srotas,High
516,5,condition_affects_srotas,High
517,10,condition_affects_srotas,Medium
517,11,condition_affects_srotas,Medium
518,1,condition_affects_srotas,Medium
518,3,condition_affects_srotas,Medium
519,9,condition_affects_srotas,Medium
520,2,condition_affects_srotas,Medium
521,10,condition_affects_srotas,High
521,11,condition_affects_srotas,High
522,4,condition_affects_srotas,Medium
522,3,condition_affects_srotas,High
523,2,condition_affects_srotas,Low
524,4,condition_affects_srotas,Medium
524,3,condition_affects_srotas,Medium
525,5,condition_affects_srotas,High
526,10,condition_affects_srotas,Medium
526,11,condition_affects_srotas,Low
527,5,condition_affects_srotas,Medium
528,5,condition_affects_srotas,High
529,4,condition_affects_srotas,High
529,3,condition_affects_srotas,High
530,1,condition_affects_srotas,Low
