source_node_id,target_node_id,relationship_type,intensity
217,4,herb_has_rasa,Medium
218,5,herb_has_rasa,High
219,2,herb_has_rasa,Low
220,5,herb_has_rasa,Low
221,4,herb_has_rasa,High
222,4,herb_has_rasa,Low
223,3,herb_has_rasa,High
224,3,herb_has_rasa,High
225,5,herb_has_rasa,High
226,5,herb_has_rasa,Medium
227,3,herb_has_rasa,Medium
228,3,herb_has_rasa,Low
229,5,herb_has_rasa,High
230,6,herb_has_rasa,Medium
231,3,herb_has_rasa,High
232,5,herb_has_rasa,Medium
233,6,herb_has_rasa,Low
234,3,herb_has_rasa,High
235,5,herb_has_rasa,Low
236,2,herb_has_rasa,High
237,6,herb_has_rasa,Medium
238,5,herb_has_rasa,High
239,4,herb_has_rasa,High
240,4,herb_has_rasa,Medium
241,4,herb_has_rasa,High
242,5,herb_has_rasa,Medium
243,2,herb_has_rasa,High
244,6,herb_has_rasa,Medium
245,3,herb_has_rasa,High
246,4,herb_has_rasa,Medium
247,4,herb_has_rasa,Low
248,3,herb_has_rasa,Medium
249,3,herb_has_rasa,Medium
250,5,herb_has_rasa,High
251,2,herb_has_rasa,High
252,1,herb_has_rasa,High
253,3,herb_has_rasa,Low
254,3,herb_has_rasa,Medium
255,6,herb_has_rasa,Low
256,6,herb_has_rasa,High
257,5,herb_has_rasa,High
258,6,herb_has_rasa,High
259,2,herb_has_rasa,High
260,2,herb_has_rasa,Medium
261,1,herb_has_rasa,High
262,2,herb_has_rasa,Low
263,4,herb_has_rasa,High
264,3,herb_has_rasa,High
265,4,herb_has_rasa,High
266,5,herb_has_rasa,Low
267,6,herb_has_rasa,High
268,2,herb_has_rasa,Medium
269,6,herb_has_rasa,Medium
270,6,herb_has_rasa,Medium
271,4,herb_has_rasa,Medium
272,3,herb_has_rasa,Low
273,3,herb_has_rasa,Low
274,3,herb_has_rasa,Medium
275,1,herb_has_rasa,Low
276,5,herb_has_rasa,Low
277,3,herb_has_rasa,High
278,2,herb_has_rasa,Medium
279,1,herb_has_rasa,Medium
280,1,herb_has_rasa,High
281,3,herb_has_rasa,Medium
282,1,herb_has_rasa,Low
283,3,herb_has_rasa,Medium
284,3,herb_has_rasa,Low
285,5,herb_has_rasa,Medium
286,1,herb_has_rasa,High
287,6,herb_has_rasa,Medium
288,6,herb_has_rasa,High
289,5,herb_has_rasa,Low
290,1,herb_has_rasa,Low
291,4,herb_has_rasa,High
292,1,herb_has_rasa,High
293,3,herb_has_rasa,Medium
294,5,herb_has_rasa,Medium
295,5,herb_has_rasa,Low
296,2,herb_has_rasa,Medium
297,1,herb_has_rasa,Medium
298,4,herb_has_rasa,Medium
299,3,herb_has_rasa,Low
300,6,herb_has_rasa,High
301,6,herb_has_rasa,Medium
302,2,herb_has_rasa,Low
303,3,herb_has_rasa,High
304,3,herb_has_rasa,High
305,2,herb_has_rasa,Medium
306,3,herb_has_rasa,Medium
307,1,herb_has_rasa,High
308,4,herb_has_rasa,Medium
309,6,herb_has_rasa,Low
310,3,herb_has_rasa,Low
311,3,herb_has_rasa,High
312,2,herb_has_rasa,Low
313,6,herb_has_rasa,High
314,6,herb_has_rasa,Medium
315,2,herb_has_rasa,Medium
316,3,herb_has_rasa,High
317,3,herb_has_rasa,Medium
318,6,herb_has_rasa,Low
319,2,herb_has_rasa,Low
320,2,herb_has_rasa,High
321,3,herb_has_rasa,Medium
322,2,herb_has_rasa,High
323,5,herb_has_rasa,Medium
324,6,herb_has_rasa,High
325,2,herb_has_rasa,Medium
326,5,herb_has_rasa,High
327,6,herb_has_rasa,Low
328,1,herb_has_rasa,Low
329,2,herb_has_rasa,Low
330,3,herb_has_rasa,High
331,4,herb_has_rasa,Low
332,3,herb_has_rasa,Medium
333,1,herb_has_rasa,Low
334,2,herb_has_rasa,High
335,2,herb_has_rasa,Medium
336,1,herb_has_rasa,Medium
337,5,herb_has_rasa,Medium
338,5,herb_has_rasa,Low
339,6,herb_has_rasa,Low
340,3,herb_has_rasa,Low
341,5,herb_has_rasa,High
342,5,herb_has_rasa,Low
343,3,herb_has_rasa,Medium
344,3,herb_has_rasa,High
345,1,herb_has_rasa,Medium
346,3,herb_has_rasa,Low
347,1,herb_has_rasa,Low
348,1,herb_has_rasa,High
349,1,herb_has_rasa,Medium
350,6,herb_has_rasa,Medium
351,1,herb_has_rasa,Low
352,2,herb_has_rasa,Low
353,6,herb_has_rasa,Medium
354,5,herb_has_rasa,High
355,2,herb_has_rasa,High
356,4,herb_has_rasa,Low
357,5,herb_has_rasa,Medium
358,3,herb_has_rasa,High
359,6,herb_has_rasa,High
360,6,herb_has_rasa,High
361,6,herb_has_rasa,Low
362,2,herb_has_rasa,Low
363,5,herb_has_rasa,Low
364,2,herb_has_rasa,High
365,1,herb_has_rasa,Low
366,1,herb_has_rasa,Medium
367,3,herb_has_rasa,Medium
368,1,herb_has_rasa,Medium
369,3,herb_has_rasa,Medium
370,3,herb_has_rasa,Low
371,1,herb_has_rasa,Low
372,6,herb_has_rasa,Medium
373,3,herb_has_rasa,Low
374,2,herb_has_rasa,Low
375,6,herb_has_rasa,Low
376,5,herb_has_rasa,Medium
377,6,herb_has_rasa,Low
378,5,herb_has_rasa,Medium
379,5,herb_has_rasa,Medium
380,4,herb_has_rasa,High
381,6,herb_has_rasa,Low
382,1,herb_has_rasa,Low
383,3,herb_has_rasa,Low
384,4,herb_has_rasa,Low
385,1,herb_has_rasa,High
386,2,herb_has_rasa,Low
387,1,herb_has_rasa,Low
388,1,herb_has_rasa,Low
389,4,herb_has_rasa,Low
390,5,herb_has_rasa,Medium
391,4,herb_has_rasa,High
392,3,herb_has_rasa,High
393,6,herb_has_rasa,Low
394,2,herb_has_rasa,Low
395,4,herb_has_rasa,High
396,3,herb_has_rasa,Low
397,2,herb_has_rasa,Low
398,6,herb_has_rasa,High
399,1,herb_has_rasa,High
400,3,herb_has_rasa,Low
401,2,herb_has_rasa,High
402,1,herb_has_rasa,Low
403,2,herb_has_rasa,Low
404,6,herb_has_rasa,Medium
405,6,herb_has_rasa,Low
406,5,herb_has_rasa,High
407,1,herb_has_rasa,Medium
408,4,herb_has_rasa,Low
409,6,herb_has_rasa,Medium
410,6,herb_has_rasa,High
411,4,herb_has_rasa,High
412,1,herb_has_rasa,Medium
413,5,herb_has_rasa,Medium
414,2,herb_has_rasa,Low
415,3,herb_has_rasa,Low
416,5,herb_has_rasa,Medium
417,4,herb_has_rasa,High
418,6,herb_has_rasa,Low
419,2,herb_has_rasa,High
420,4,herb_has_rasa,Low
421,6,herb_has_rasa,Medium
422,3,herb_has_rasa,High
423,3,herb_has_rasa,Low
424,1,herb_has_rasa,Medium
425,1,herb_has_rasa,Medium
426,3,herb_has_rasa,High
427,2,herb_has_rasa,Low
428,3,herb_has_rasa,High
429,5,herb_has_rasa,Medium
430,1,herb_has_rasa,Medium
431,5,herb_has_rasa,Medium
432,1,herb_has_rasa,Low
433,1,herb_has_rasa,High
434,4,herb_has_rasa,Low
435,4,herb_has_rasa,High
436,1,herb_has_rasa,Low
437,6,herb_has_rasa,Low
438,4,herb_has_rasa,High
439,3,herb_has_rasa,Low
440,5,herb_has_rasa,Low
441,3,herb_has_rasa,Medium
442,5,herb_has_rasa,Medium
443,3,herb_has_rasa,High
444,5,herb_has_rasa,Low
445,4,herb_has_rasa,High
446,3,herb_has_rasa,High
447,1,herb_has_rasa,High
448,1,herb_has_rasa,Low
449,5,herb_has_rasa,Medium
450,4,herb_has_rasa,High
451,2,herb_has_rasa,Medium
452,1,herb_has_rasa,Medium
453,4,herb_has_rasa,High
454,4,herb_has_rasa,High
455,6,herb_has_rasa,Low
456,2,herb_has_rasa,Medium
457,4,herb_has_rasa,Medium
458,4,herb_has_rasa,Medium
459,6,herb_has_rasa,Low
460,5,herb_has_rasa,Low
461,3,herb_has_rasa,Medium
462,6,herb_has_rasa,Low
463,6,herb_has_rasa,Low
464,2,herb_has_rasa,High
465,3,herb_has_rasa,High
466,3,herb_has_rasa,High
467,2,herb_has_rasa,Medium
468,4,herb_has_rasa,Low
469,6,herb_has_rasa,High
470,5,herb_has_rasa,Low
471,5,herb_has_rasa,High
472,1,herb_has_rasa,Low
473,6,herb_has_rasa,Medium
474,6,herb_has_rasa,Low
475,2,herb_has_rasa,High
476,4,herb_has_rasa,Medium
477,5,herb_has_rasa,High
478,3,herb_has_rasa,High
479,1,herb_has_rasa,High
480,5,herb_has_rasa,Medium
481,1,herb_has_rasa,Medium
482,4,herb_has_rasa,Low
483,1,herb_has_rasa,Low
484,2,herb_has_rasa,Medium
485,3,herb_has_rasa,High
486,1,herb_has_rasa,Low
487,3,herb_has_rasa,High
488,2,herb_has_rasa,High
489,4,herb_has_rasa,Low
490,3,herb_has_rasa,High
491,2,herb_has_rasa,Low
492,3,herb_has_rasa,Medium
493,4,herb_has_rasa,High
494,1,herb_has_rasa,Low
495,1,herb_has_rasa,High
496,6,herb_has_rasa,High
497,3,herb_has_rasa,High
498,6,herb_has_rasa,Medium
499,3,herb_has_rasa,High
500,1,herb_has_rasa,High
501,1,herb_has_rasa,High
502,1,herb_has_rasa,Medium
503,1,herb_has_rasa,High
504,6,herb_has_rasa,Medium
505,2,herb_has_rasa,Low
506,2,herb_has_rasa,High
507,6,herb_has_rasa,High
508,1,herb_has_rasa,Low
509,2,herb_has_rasa,Low
510,2,herb_has_rasa,Medium
511,1,herb_has_rasa,High
512,3,herb_has_rasa,Low
513,2,herb_has_rasa,High
514,4,herb_has_rasa,Low
515,3,herb_has_rasa,High
516,6,herb_has_rasa,High
517,6,herb_has_rasa,Medium
518,5,herb_has_rasa,High
519,1,herb_has_rasa,Low
520,3,herb_has_rasa,Low
521,3,herb_has_rasa,High
522,1,herb_has_rasa,Low
523,5,herb_has_rasa,Medium
524,5,herb_has_rasa,Low
525,5,herb_has_rasa,High
526,5,herb_has_rasa,High
527,6,herb_has_rasa,Medium
528,1,herb_has_rasa,Low
529,2,herb_has_rasa,Medium
530,6,herb_has_rasa,Medium
531,1,herb_has_rasa,Low
532,1,herb_has_rasa,Medium
533,2,herb_has_rasa,Low
534,1,herb_has_rasa,Low
535,1,herb_has_rasa,Low
536,1,herb_has_rasa,High
537,4,herb_has_rasa,High
538,1,herb_has_rasa,High
539,1,herb_has_rasa,Low
540,2,herb_has_rasa,Medium
541,2,herb_has_rasa,Low
542,2,herb_has_rasa,High
543,6,herb_has_rasa,Low
544,1,herb_has_rasa,High
545,4,herb_has_rasa,Medium
546,1,herb_has_rasa,Low
547,5,herb_has_rasa,Low
548,6,herb_has_rasa,Low
549,6,herb_has_rasa,Medium
550,1,herb_has_rasa,Medium
551,6,herb_has_rasa,High
552,6,herb_has_rasa,Medium
553,1,herb_has_rasa,Medium
554,1,herb_has_rasa,High
555,6,herb_has_rasa,Low
556,1,herb_has_rasa,Medium
557,1,herb_has_rasa,Medium
558,1,herb_has_rasa,Low
559,4,herb_has_rasa,Medium
560,3,herb_has_rasa,Medium
561,6,herb_has_rasa,Low
562,1,herb_has_rasa,High
563,5,herb_has_rasa,High
564,3,herb_has_rasa,High
565,4,herb_has_rasa,High
566,6,herb_has_rasa,Low
567,2,herb_has_rasa,Medium
568,3,herb_has_rasa,Medium
569,5,herb_has_rasa,Low
570,4,herb_has_rasa,Medium
571,1,herb_has_rasa,Medium
572,2,herb_has_rasa,Medium
573,4,herb_has_rasa,High
574,1,herb_has_rasa,High
575,6,herb_has_rasa,Low
576,4,herb_has_rasa,Low
577,1,herb_has_rasa,Medium
578,2,herb_has_rasa,Low
579,4,herb_has_rasa,High
580,3,herb_has_rasa,Low
581,4,herb_has_rasa,High
582,4,herb_has_rasa,Low
583,1,herb_has_rasa,Medium
584,1,herb_has_rasa,Low
585,4,herb_has_rasa,Medium
586,2,herb_has_rasa,Medium
587,2,herb_has_rasa,Low
588,5,herb_has_rasa,High
589,3,herb_has_rasa,Low
590,2,herb_has_rasa,Medium
591,5,herb_has_rasa,Medium
592,6,herb_has_rasa,Low
593,2,herb_has_rasa,Low
594,1,herb_has_rasa,Medium
595,4,herb_has_rasa,Low
596,4,herb_has_rasa,Medium
597,5,herb_has_rasa,Medium
598,4,herb_has_rasa,High
599,1,herb_has_rasa,Medium
600,2,herb_has_rasa,Medium
601,1,herb_has_rasa,Medium
602,3,herb_has_rasa,Low
603,2,herb_has_rasa,High
604,6,herb_has_rasa,Medium
605,5,herb_has_rasa,High
606,1,herb_has_rasa,High
607,4,herb_has_rasa,Low
608,6,herb_has_rasa,Medium
609,3,herb_has_rasa,Medium
610,6,herb_has_rasa,Medium
611,3,herb_has_rasa,Low
612,6,herb_has_rasa,Low
613,2,herb_has_rasa,Medium
614,4,herb_has_rasa,High
615,5,herb_has_rasa,Medium
616,2,herb_has_rasa,High
617,3,herb_has_rasa,High
618,4,herb_has_rasa,High
619,5,herb_has_rasa,Low
620,3,herb_has_rasa,High
621,4,herb_has_rasa,Medium
622,3,herb_has_rasa,Medium
623,3,herb_has_rasa,High
624,4,herb_has_rasa,High
625,6,herb_has_rasa,Medium
626,6,herb_has_rasa,Low
627,4,herb_has_rasa,Medium
628,4,herb_has_rasa,Medium
629,1,herb_has_rasa,Low
630,6,herb_has_rasa,Medium
631,1,herb_has_rasa,High
632,6,herb_has_rasa,Low
633,3,herb_has_rasa,High
634,4,herb_has_rasa,Medium
635,5,herb_has_rasa,Low
636,3,herb_has_rasa,Medium
637,3,herb_has_rasa,High
638,1,herb_has_rasa,Low
639,2,herb_has_rasa,High
640,1,herb_has_rasa,Low
641,6,herb_has_rasa,Medium
642,3,herb_has_rasa,High
643,3,herb_has_rasa,Medium
644,6,herb_has_rasa,High
645,5,herb_has_rasa,Medium
646,3,herb_has_rasa,High
647,6,herb_has_rasa,Medium
648,6,herb_has_rasa,High
649,2,herb_has_rasa,High
650,4,herb_has_rasa,Medium
651,2,herb_has_rasa,Medium
652,6,herb_has_rasa,High
653,5,herb_has_rasa,Low
654,4,herb_has_rasa,Low
655,1,herb_has_rasa,High
656,6,herb_has_rasa,Medium
657,4,herb_has_rasa,Low
658,4,herb_has_rasa,High
659,4,herb_has_rasa,Low
660,1,herb_has_rasa,Low
661,2,herb_has_rasa,Medium
662,1,herb_has_rasa,High
663,2,herb_has_rasa,High
664,5,herb_has_rasa,High
665,2,herb_has_rasa,Low
666,5,herb_has_rasa,Low
667,2,herb_has_rasa,Low
668,5,herb_has_rasa,Low
669,1,herb_has_rasa,High
670,2,herb_has_rasa,Medium
671,4,herb_has_rasa,Medium
672,6,herb_has_rasa,Medium
673,1,herb_has_rasa,Medium
674,2,herb_has_rasa,Low
675,4,herb_has_rasa,Medium
676,5,herb_has_rasa,Medium
677,3,herb_has_rasa,High
678,1,herb_has_rasa,High
679,3,herb_has_rasa,Low
680,5,herb_has_rasa,Medium
681,6,herb_has_rasa,Low
682,4,herb_has_rasa,Low
683,6,herb_has_rasa,Medium
684,3,herb_has_rasa,Medium
685,2,herb_has_rasa,Low
686,4,herb_has_rasa,Medium
687,3,herb_has_rasa,High
688,4,herb_has_rasa,Medium
689,5,herb_has_rasa,Low
690,2,herb_has_rasa,Medium
691,2,herb_has_rasa,High
692,4,herb_has_rasa,High
693,6,herb_has_rasa,Low
694,4,herb_has_rasa,Medium
695,5,herb_has_rasa,High
696,5,herb_has_rasa,Medium
697,3,herb_has_rasa,Medium
698,4,herb_has_rasa,Medium
699,1,herb_has_rasa,High
700,5,herb_has_rasa,High
701,4,herb_has_rasa,Low
702,6,herb_has_rasa,High
703,2,herb_has_rasa,High
704,3,herb_has_rasa,Low
705,3,herb_has_rasa,Medium
706,1,herb_has_rasa,Medium
707,5,herb_has_rasa,Medium
708,4,herb_has_rasa,Low
709,1,herb_has_rasa,Medium
710,3,herb_has_rasa,Medium
711,4,herb_has_rasa,High
712,4,herb_has_rasa,High
713,2,herb_has_rasa,High
714,4,herb_has_rasa,Low
715,2,herb_has_rasa,Medium
716,3,herb_has_rasa,High
717,6,herb_has_rasa,Low
718,4,herb_has_rasa,Low
719,3,herb_has_rasa,High
720,4,herb_has_rasa,Medium
721,4,herb_has_rasa,Low
722,2,herb_has_rasa,High
723,6,herb_has_rasa,Medium
724,6,herb_has_rasa,Medium
725,1,herb_has_rasa,Low
726,4,herb_has_rasa,Low
727,6,herb_has_rasa,Low
728,2,herb_has_rasa,High
729,4,herb_has_rasa,High
730,3,herb_has_rasa,Low
731,5,herb_has_rasa,Low
732,1,herb_has_rasa,Medium
733,5,herb_has_rasa,Medium
734,6,herb_has_rasa,Low
735,5,herb_has_rasa,Low
736,2,herb_has_rasa,High
737,4,herb_has_rasa,Medium
738,5,herb_has_rasa,High
739,2,herb_has_rasa,High
740,4,herb_has_rasa,Low
741,1,herb_has_rasa,High
742,3,herb_has_rasa,Medium
743,1,herb_has_rasa,Medium
744,1,herb_has_rasa,Medium
745,2,herb_has_rasa,Medium
746,4,herb_has_rasa,High
747,1,herb_has_rasa,Medium
748,3,herb_has_rasa,High
749,4,herb_has_rasa,Low
750,3,herb_has_rasa,High
751,1,herb_has_rasa,Medium
752,1,herb_has_rasa,Medium
753,2,herb_has_rasa,High
754,2,herb_has_rasa,High
755,3,herb_has_rasa,High
756,5,herb_has_rasa,Medium
757,6,herb_has_rasa,High
758,4,herb_has_rasa,Medium
759,4,herb_has_rasa,Low
760,1,herb_has_rasa,Medium
761,4,herb_has_rasa,Low
762,5,herb_has_rasa,Medium
763,6,herb_has_rasa,Medium
764,3,herb_has_rasa,Low
765,2,herb_has_rasa,Medium
766,5,herb_has_rasa,High
767,2,herb_has_rasa,High
768,5,herb_has_rasa,Medium
769,4,herb_has_rasa,Medium
770,5,herb_has_rasa,High
771,2,herb_has_rasa,Low
772,4,herb_has_rasa,Medium
773,1,herb_has_rasa,Low
774,2,herb_has_rasa,Medium
775,6,herb_has_rasa,Medium
776,5,herb_has_rasa,Low
777,5,herb_has_rasa,Low
778,4,herb_has_rasa,Medium
779,4,herb_has_rasa,High
780,5,herb_has_rasa,Low
781,3,herb_has_rasa,Low
782,2,herb_has_rasa,High
783,4,herb_has_rasa,Medium
784,2,herb_has_rasa,High
785,2,herb_has_rasa,Low
786,5,herb_has_rasa,High
787,1,herb_has_rasa,Low
788,2,herb_has_rasa,High
789,5,herb_has_rasa,Low
790,6,herb_has_rasa,High
791,2,herb_has_rasa,Low
792,4,herb_has_rasa,Low
793,3,herb_has_rasa,Low
794,1,herb_has_rasa,High
795,5,herb_has_rasa,Medium
796,3,herb_has_rasa,Low
797,6,herb_has_rasa,Low
798,5,herb_has_rasa,Low
799,2,herb_has_rasa,High
800,1,herb_has_rasa,Low
801,5,herb_has_rasa,Low
802,6,herb_has_rasa,High
803,6,herb_has_rasa,Low
804,1,herb_has_rasa,Medium
805,6,herb_has_rasa,Medium
806,4,herb_has_rasa,Low
807,5,herb_has_rasa,Medium
808,6,herb_has_rasa,Low
809,3,herb_has_rasa,Low
810,4,herb_has_rasa,Medium
811,6,herb_has_rasa,Low
812,6,herb_has_rasa,High
813,1,herb_has_rasa,Medium
814,5,herb_has_rasa,Medium
815,2,herb_has_rasa,Medium
816,1,herb_has_rasa,Low
817,6,herb_has_rasa,Low
818,6,herb_has_rasa,Medium
819,5,herb_has_rasa,Medium
820,1,herb_has_rasa,Low
821,6,herb_has_rasa,Low
822,3,herb_has_rasa,Low
823,1,herb_has_rasa,Medium
824,6,herb_has_rasa,High
825,4,herb_has_rasa,Low
826,4,herb_has_rasa,Medium
827,6,herb_has_rasa,Low
828,1,herb_has_rasa,High
829,6,herb_has_rasa,High
830,6,herb_has_rasa,Medium
831,1,herb_has_rasa,Medium
832,6,herb_has_rasa,High
833,2,herb_has_rasa,Medium
834,1,herb_has_rasa,High
835,4,herb_has_rasa,Medium
836,2,herb_has_rasa,Medium
837,3,herb_has_rasa,Low
838,1,herb_has_rasa,Medium
839,5,herb_has_rasa,Low
840,6,herb_has_rasa,High
841,4,herb_has_rasa,Medium
842,4,herb_has_rasa,Medium
843,5,herb_has_rasa,Medium
844,2,herb_has_rasa,Low
845,5,herb_has_rasa,High
846,4,herb_has_rasa,Low
847,6,herb_has_rasa,Low
848,1,herb_has_rasa,Low
849,5,herb_has_rasa,High
850,2,herb_has_rasa,High
851,2,herb_has_rasa,Medium
852,5,herb_has_rasa,Medium
853,6,herb_has_rasa,High
854,5,herb_has_rasa,High
855,6,herb_has_rasa,Medium
856,6,herb_has_rasa,Low
857,5,herb_has_rasa,High
858,3,herb_has_rasa,High
859,6,herb_has_rasa,Medium
860,4,herb_has_rasa,Low
861,4,herb_has_rasa,High
862,6,herb_has_rasa,High
863,3,herb_has_rasa,Medium
864,5,herb_has_rasa,Low
865,2,herb_has_rasa,High
866,3,herb_has_rasa,Medium
867,2,herb_has_rasa,High
868,3,herb_has_rasa,Low
869,3,herb_has_rasa,Medium
870,5,herb_has_rasa,High
871,2,herb_has_rasa,High
872,6,herb_has_rasa,High
873,2,herb_has_rasa,Low
874,5,herb_has_rasa,Low
875,3,herb_has_rasa,Low
