source_node_id,target_node_id,relationship_type,frequency,severity_correlation,primary_symptom_flag
57,13,condition_manifests_as_symptom,High,Strong,TRUE
57,1,condition_manifests_as_symptom,High,Strong,FALSE
57,19,condition_manifests_as_symptom,Medium,Medium,FALSE
58,13,condition_manifests_as_symptom,High,Strong,TRUE
58,1,condition_manifests_as_symptom,High,Strong,FALSE
58,19,condition_manifests_as_symptom,Medium,Medium,FALSE
59,13,condition_manifests_as_symptom,High,Strong,TRUE
59,1,condition_manifests_as_symptom,High,Strong,FALSE
59,19,condition_manifests_as_symptom,Medium,Medium,FALSE
60,47,condition_manifests_as_symptom,High,Strong,TRUE
60,49,condition_manifests_as_symptom,High,Strong,FALSE
60,62,condition_manifests_as_symptom,High,Strong,FALSE
61,47,condition_manifests_as_symptom,High,Strong,TRUE
61,49,condition_manifests_as_symptom,High,Strong,FALSE
61,62,condition_manifests_as_symptom,High,Strong,FALSE
62,51,condition_manifests_as_symptom,High,Strong,TRUE
62,49,condition_manifests_as_symptom,High,Strong,FALSE
62,62,condition_manifests_as_symptom,High,Strong,FALSE
63,29,condition_manifests_as_symptom,High,Strong,TRUE
63,30,condition_manifests_as_symptom,High,Strong,FALSE
63,16,condition_manifests_as_symptom,Medium,Medium,FALSE
64,31,condition_manifests_as_symptom,High,Strong,TRUE
64,1,condition_manifests_as_symptom,Medium,Medium,FALSE
64,19,condition_manifests_as_symptom,Low,Low,FALSE
65,31,condition_manifests_as_symptom,High,Strong,TRUE
65,1,condition_manifests_as_symptom,Medium,Medium,FALSE
65,19,condition_manifests_as_symptom,Low,Low,FALSE
66,114,condition_manifests_as_symptom,High,Strong,TRUE
66,115,condition_manifests_as_symptom,High,Strong,FALSE
66,116,condition_manifests_as_symptom,Medium,Medium,FALSE
67,124,condition_manifests_as_symptom,High,Strong,TRUE
67,125,condition_manifests_as_symptom,High,Strong,FALSE
67,126,condition_manifests_as_symptom,Medium,Medium,FALSE
68,124,condition_manifests_as_symptom,High,Strong,TRUE
68,125,condition_manifests_as_symptom,High,Strong,FALSE
68,127,condition_manifests_as_symptom,Medium,Medium,FALSE
69,128,condition_manifests_as_symptom,High,Strong,TRUE
69,129,condition_manifests_as_symptom,High,Strong,FALSE
69,130,condition_manifests_as_symptom,Medium,Medium,FALSE
70,131,condition_manifests_as_symptom,High,Strong,TRUE
70,132,condition_manifests_as_symptom,High,Strong,FALSE
70,133,condition_manifests_as_symptom,Medium,Medium,FALSE
71,134,condition_manifests_as_symptom,High,Strong,TRUE
71,135,condition_manifests_as_symptom,High,Strong,FALSE
71,136,condition_manifests_as_symptom,Medium,Medium,FALSE
72,124,condition_manifests_as_symptom,High,Strong,TRUE
72,137,condition_manifests_as_symptom,High,Strong,FALSE
72,138,condition_manifests_as_symptom,Medium,Medium,FALSE
73,139,condition_manifests_as_symptom,High,Strong,TRUE
73,129,condition_manifests_as_symptom,High,Strong,FALSE
73,130,condition_manifests_as_symptom,Medium,Medium,FALSE
74,142,condition_manifests_as_symptom,High,Strong,TRUE
74,143,condition_manifests_as_symptom,High,Strong,FALSE
74,144,condition_manifests_as_symptom,Medium,Medium,FALSE
75,141,condition_manifests_as_symptom,High,Strong,TRUE
75,145,condition_manifests_as_symptom,High,Strong,FALSE
75,146,condition_manifests_as_symptom,Medium,Medium,FALSE
76,27,condition_manifests_as_symptom,High,Strong,TRUE
76,28,condition_manifests_as_symptom,High,Strong,FALSE
76,16,condition_manifests_as_symptom,Medium,Medium,FALSE
77,27,condition_manifests_as_symptom,High,Strong,TRUE
77,28,condition_manifests_as_symptom,High,Strong,FALSE
77,16,condition_manifests_as_symptom,Medium,Medium,FALSE
78,27,condition_manifests_as_symptom,High,Strong,TRUE
78,28,condition_manifests_as_symptom,High,Strong,FALSE
78,16,condition_manifests_as_symptom,Medium,Medium,FALSE
79,27,condition_manifests_as_symptom,High,Strong,TRUE
79,28,condition_manifests_as_symptom,High,Strong,FALSE
79,16,condition_manifests_as_symptom,Medium,Medium,FALSE
80,27,condition_manifests_as_symptom,High,Strong,TRUE
80,28,condition_manifests_as_symptom,High,Strong,FALSE
80,16,condition_manifests_as_symptom,Medium,Medium,FALSE
81,23,condition_manifests_as_symptom,High,Strong,TRUE
81,24,condition_manifests_as_symptom,High,Strong,FALSE
81,25,condition_manifests_as_symptom,Medium,Medium,FALSE
82,11,condition_manifests_as_symptom,High,Strong,TRUE
82,23,condition_manifests_as_symptom,High,Strong,FALSE
82,25,condition_manifests_as_symptom,Medium,Medium,FALSE
83,11,condition_manifests_as_symptom,High,Strong,TRUE
83,23,condition_manifests_as_symptom,High,Strong,FALSE
83,25,condition_manifests_as_symptom,Medium,Medium,FALSE
84,11,condition_manifests_as_symptom,High,Strong,TRUE
84,23,condition_manifests_as_symptom,High,Strong,FALSE
84,25,condition_manifests_as_symptom,Medium,Medium,FALSE
85,11,condition_manifests_as_symptom,High,Strong,TRUE
85,23,condition_manifests_as_symptom,High,Strong,FALSE
85,25,condition_manifests_as_symptom,Medium,Medium,FALSE
86,11,condition_manifests_as_symptom,High,Strong,TRUE
86,23,condition_manifests_as_symptom,High,Strong,FALSE
86,25,condition_manifests_as_symptom,Medium,Medium,FALSE
87,27,condition_manifests_as_symptom,High,Strong,TRUE
87,28,condition_manifests_as_symptom,High,Strong,FALSE
87,16,condition_manifests_as_symptom,Medium,Medium,FALSE
88,27,condition_manifests_as_symptom,High,Strong,TRUE
88,28,condition_manifests_as_symptom,High,Strong,FALSE
88,16,condition_manifests_as_symptom,Medium,Medium,FALSE
89,27,condition_manifests_as_symptom,High,Strong,TRUE
89,28,condition_manifests_as_symptom,High,Strong,FALSE
89,16,condition_manifests_as_symptom,Medium,Medium,FALSE
90,27,condition_manifests_as_symptom,Medium,Medium,TRUE
90,28,condition_manifests_as_symptom,Medium,Medium,FALSE
90,16,condition_manifests_as_symptom,Low,Low,FALSE
91,27,condition_manifests_as_symptom,High,Strong,TRUE
91,28,condition_manifests_as_symptom,High,Strong,FALSE
91,16,condition_manifests_as_symptom,Medium,Medium,FALSE
92,27,condition_manifests_as_symptom,High,Strong,TRUE
92,28,condition_manifests_as_symptom,High,Strong,FALSE
92,16,condition_manifests_as_symptom,Medium,Medium,FALSE
93,27,condition_manifests_as_symptom,High,Strong,TRUE
93,28,condition_manifests_as_symptom,High,Strong,FALSE
93,16,condition_manifests_as_symptom,Medium,Medium,FALSE
94,27,condition_manifests_as_symptom,High,Strong,TRUE
94,28,condition_manifests_as_symptom,High,Strong,FALSE
94,16,condition_manifests_as_symptom,Medium,Medium,FALSE
95,27,condition_manifests_as_symptom,High,Strong,TRUE
95,28,condition_manifests_as_symptom,High,Strong,FALSE
95,16,condition_manifests_as_symptom,Medium,Medium,FALSE
96,27,condition_manifests_as_symptom,High,Strong,TRUE
96,28,condition_manifests_as_symptom,High,Strong,FALSE
96,16,condition_manifests_as_symptom,Medium,Medium,FALSE
97,21,condition_manifests_as_symptom,High,Strong,TRUE
97,22,condition_manifests_as_symptom,High,Strong,FALSE
97,38,condition_manifests_as_symptom,Medium,Medium,FALSE
98,21,condition_manifests_as_symptom,High,Strong,TRUE
98,22,condition_manifests_as_symptom,High,Strong,FALSE
98,38,condition_manifests_as_symptom,Medium,Medium,FALSE
99,21,condition_manifests_as_symptom,High,Strong,TRUE
99,22,condition_manifests_as_symptom,High,Strong,FALSE
99,38,condition_manifests_as_symptom,Medium,Medium,FALSE
100,27,condition_manifests_as_symptom,High,Strong,TRUE
100,28,condition_manifests_as_symptom,High,Strong,FALSE
100,16,condition_manifests_as_symptom,Medium,Medium,FALSE
1,4,condition_manifests_as_symptom,High,Low,FALSE
1,5,condition_manifests_as_symptom,High,Low,FALSE
1,7,condition_manifests_as_symptom,Low,Low,FALSE
1,9,condition_manifests_as_symptom,Medium,Strong,FALSE
1,11,condition_manifests_as_symptom,High,Low,TRUE
1,14,condition_manifests_as_symptom,Medium,Low,TRUE
1,17,condition_manifests_as_symptom,High,Medium,TRUE
1,20,condition_manifests_as_symptom,High,Strong,TRUE
1,22,condition_manifests_as_symptom,High,Medium,TRUE
1,24,condition_manifests_as_symptom,Low,Strong,FALSE
1,25,condition_manifests_as_symptom,Medium,Low,FALSE
1,27,condition_manifests_as_symptom,High,Low,FALSE
1,32,condition_manifests_as_symptom,Low,Medium,TRUE
1,33,condition_manifests_as_symptom,Medium,Low,TRUE
1,34,condition_manifests_as_symptom,High,Strong,FALSE
1,35,condition_manifests_as_symptom,Medium,Low,FALSE
1,36,condition_manifests_as_symptom,Low,Low,TRUE
1,39,condition_manifests_as_symptom,Low,Low,TRUE
1,40,condition_manifests_as_symptom,Low,Strong,TRUE
1,41,condition_manifests_as_symptom,Low,Strong,TRUE
1,43,condition_manifests_as_symptom,High,Strong,TRUE
1,46,condition_manifests_as_symptom,High,Low,TRUE
1,51,condition_manifests_as_symptom,Medium,Low,TRUE
1,52,condition_manifests_as_symptom,Medium,Low,FALSE
1,53,condition_manifests_as_symptom,Medium,Medium,TRUE
1,58,condition_manifests_as_symptom,High,Strong,TRUE
1,61,condition_manifests_as_symptom,High,Medium,FALSE
1,63,condition_manifests_as_symptom,High,Low,TRUE
1,64,condition_manifests_as_symptom,Medium,Medium,TRUE
1,65,condition_manifests_as_symptom,High,Medium,TRUE
1,66,condition_manifests_as_symptom,High,Strong,TRUE
1,71,condition_manifests_as_symptom,Low,Medium,TRUE
1,72,condition_manifests_as_symptom,Low,Strong,TRUE
1,74,condition_manifests_as_symptom,High,Medium,FALSE
1,76,condition_manifests_as_symptom,Medium,Strong,TRUE
1,77,condition_manifests_as_symptom,High,Low,FALSE
1,79,condition_manifests_as_symptom,Low,Low,TRUE
1,80,condition_manifests_as_symptom,Medium,Medium,TRUE
1,81,condition_manifests_as_symptom,Medium,Medium,FALSE
1,82,condition_manifests_as_symptom,Low,Medium,TRUE
1,83,condition_manifests_as_symptom,Low,Medium,TRUE
1,84,condition_manifests_as_symptom,Medium,Strong,TRUE
1,86,condition_manifests_as_symptom,Medium,Medium,TRUE
1,87,condition_manifests_as_symptom,Medium,Strong,TRUE
1,91,condition_manifests_as_symptom,Low,Strong,FALSE
1,94,condition_manifests_as_symptom,High,Medium,TRUE
1,98,condition_manifests_as_symptom,High,Strong,TRUE
1,100,condition_manifests_as_symptom,High,Low,FALSE
1,105,condition_manifests_as_symptom,Low,Medium,TRUE
1,106,condition_manifests_as_symptom,Low,Medium,FALSE
1,107,condition_manifests_as_symptom,Low,Low,TRUE
1,108,condition_manifests_as_symptom,Medium,Medium,FALSE
1,109,condition_manifests_as_symptom,Low,Low,TRUE
1,110,condition_manifests_as_symptom,High,Low,FALSE
1,111,condition_manifests_as_symptom,High,Medium,FALSE
1,112,condition_manifests_as_symptom,Low,Medium,FALSE
1,113,condition_manifests_as_symptom,High,Strong,TRUE
1,114,condition_manifests_as_symptom,Low,Medium,TRUE
1,115,condition_manifests_as_symptom,Medium,Strong,TRUE
1,116,condition_manifests_as_symptom,Low,Medium,FALSE
1,117,condition_manifests_as_symptom,Low,Medium,TRUE
1,118,condition_manifests_as_symptom,Medium,Strong,TRUE
1,119,condition_manifests_as_symptom,Medium,Strong,TRUE
1,120,condition_manifests_as_symptom,Low,Medium,TRUE
1,121,condition_manifests_as_symptom,High,Strong,FALSE
1,122,condition_manifests_as_symptom,High,Low,TRUE
1,123,condition_manifests_as_symptom,Medium,Medium,TRUE
1,124,condition_manifests_as_symptom,Low,Strong,TRUE
1,126,condition_manifests_as_symptom,Low,Strong,TRUE
1,127,condition_manifests_as_symptom,Medium,Low,FALSE
1,128,condition_manifests_as_symptom,Medium,Medium,FALSE
1,129,condition_manifests_as_symptom,Medium,Strong,FALSE
1,130,condition_manifests_as_symptom,Low,Medium,TRUE
1,132,condition_manifests_as_symptom,Medium,Low,TRUE
1,135,condition_manifests_as_symptom,Medium,Strong,TRUE
1,136,condition_manifests_as_symptom,Low,Medium,FALSE
1,138,condition_manifests_as_symptom,Low,Strong,TRUE
1,139,condition_manifests_as_symptom,Low,Low,TRUE
1,141,condition_manifests_as_symptom,Medium,Strong,TRUE
1,142,condition_manifests_as_symptom,Medium,Strong,TRUE
1,143,condition_manifests_as_symptom,Medium,Medium,TRUE
1,144,condition_manifests_as_symptom,Medium,Medium,TRUE
1,145,condition_manifests_as_symptom,High,Low,TRUE
1,146,condition_manifests_as_symptom,Medium,Strong,TRUE
1,147,condition_manifests_as_symptom,Medium,Strong,TRUE
1,148,condition_manifests_as_symptom,High,Medium,FALSE
1,151,condition_manifests_as_symptom,Medium,Strong,FALSE
1,152,condition_manifests_as_symptom,High,Strong,FALSE
1,153,condition_manifests_as_symptom,Medium,Low,TRUE
1,154,condition_manifests_as_symptom,High,Strong,TRUE
1,156,condition_manifests_as_symptom,Medium,Medium,FALSE
1,157,condition_manifests_as_symptom,Medium,Medium,TRUE
1,158,condition_manifests_as_symptom,High,Strong,TRUE
1,159,condition_manifests_as_symptom,Medium,Medium,TRUE
1,160,condition_manifests_as_symptom,Low,Strong,TRUE
1,161,condition_manifests_as_symptom,Medium,Medium,TRUE
1,164,condition_manifests_as_symptom,Low,Strong,FALSE
1,165,condition_manifests_as_symptom,High,Low,TRUE
1,167,condition_manifests_as_symptom,Low,Low,TRUE
1,168,condition_manifests_as_symptom,Low,Strong,FALSE
1,169,condition_manifests_as_symptom,Medium,Medium,TRUE
1,170,condition_manifests_as_symptom,Medium,Medium,TRUE
1,171,condition_manifests_as_symptom,Low,Strong,TRUE
1,172,condition_manifests_as_symptom,High,Medium,FALSE
1,173,condition_manifests_as_symptom,Medium,Medium,FALSE
1,174,condition_manifests_as_symptom,High,Strong,TRUE
1,175,condition_manifests_as_symptom,Low,Medium,TRUE
1,178,condition_manifests_as_symptom,High,Strong,TRUE
1,179,condition_manifests_as_symptom,Medium,Low,FALSE
1,180,condition_manifests_as_symptom,High,Medium,TRUE
1,182,condition_manifests_as_symptom,Low,Medium,TRUE
1,183,condition_manifests_as_symptom,Low,Strong,TRUE
1,184,condition_manifests_as_symptom,Medium,Strong,TRUE
1,185,condition_manifests_as_symptom,Low,Strong,TRUE
1,186,condition_manifests_as_symptom,Medium,Strong,TRUE
1,187,condition_manifests_as_symptom,Medium,Medium,TRUE
1,188,condition_manifests_as_symptom,Low,Medium,TRUE
1,189,condition_manifests_as_symptom,Low,Strong,TRUE
1,190,condition_manifests_as_symptom,Low,Strong,TRUE
1,191,condition_manifests_as_symptom,Low,Medium,TRUE
1,192,condition_manifests_as_symptom,Medium,Strong,FALSE
1,197,condition_manifests_as_symptom,Low,Low,FALSE
1,198,condition_manifests_as_symptom,Medium,Low,FALSE
1,199,condition_manifests_as_symptom,Medium,Strong,TRUE
1,200,condition_manifests_as_symptom,Medium,Strong,TRUE
1,201,condition_manifests_as_symptom,High,Medium,TRUE
1,204,condition_manifests_as_symptom,Medium,Medium,TRUE
1,207,condition_manifests_as_symptom,High,Medium,TRUE
1,210,condition_manifests_as_symptom,Medium,Medium,FALSE
1,211,condition_manifests_as_symptom,High,Low,TRUE
1,213,condition_manifests_as_symptom,Medium,Low,TRUE
1,214,condition_manifests_as_symptom,High,Medium,TRUE
1,217,condition_manifests_as_symptom,Medium,Low,FALSE
1,219,condition_manifests_as_symptom,High,Medium,TRUE
1,220,condition_manifests_as_symptom,Medium,Low,TRUE
1,222,condition_manifests_as_symptom,High,Medium,TRUE
1,227,condition_manifests_as_symptom,Medium,Low,FALSE
1,229,condition_manifests_as_symptom,Medium,Low,FALSE
1,232,condition_manifests_as_symptom,High,Medium,TRUE
1,233,condition_manifests_as_symptom,Medium,Low,TRUE
1,234,condition_manifests_as_symptom,High,Medium,TRUE
1,235,condition_manifests_as_symptom,Medium,Strong,FALSE
1,236,condition_manifests_as_symptom,High,Strong,TRUE
1,239,condition_manifests_as_symptom,Medium,Low,TRUE
1,240,condition_manifests_as_symptom,Medium,Medium,TRUE
1,241,condition_manifests_as_symptom,Medium,Low,TRUE
1,243,condition_manifests_as_symptom,Medium,Low,TRUE
1,246,condition_manifests_as_symptom,Low,Strong,TRUE
1,251,condition_manifests_as_symptom,High,Low,TRUE
1,252,condition_manifests_as_symptom,Low,Strong,TRUE
1,253,condition_manifests_as_symptom,Low,Strong,TRUE
1,255,condition_manifests_as_symptom,High,Low,FALSE
1,258,condition_manifests_as_symptom,High,Low,TRUE
1,259,condition_manifests_as_symptom,High,Strong,FALSE
1,263,condition_manifests_as_symptom,Low,Medium,TRUE
1,264,condition_manifests_as_symptom,Low,Low,TRUE
1,265,condition_manifests_as_symptom,High,Low,TRUE
1,266,condition_manifests_as_symptom,Medium,Low,TRUE
1,271,condition_manifests_as_symptom,Low,Low,TRUE
1,272,condition_manifests_as_symptom,High,Strong,FALSE
1,276,condition_manifests_as_symptom,Low,Low,TRUE
1,278,condition_manifests_as_symptom,Low,Strong,FALSE
1,279,condition_manifests_as_symptom,High,Medium,TRUE
1,280,condition_manifests_as_symptom,Medium,Medium,FALSE
1,282,condition_manifests_as_symptom,Medium,Strong,TRUE
1,283,condition_manifests_as_symptom,High,Strong,TRUE
1,284,condition_manifests_as_symptom,High,Strong,FALSE
1,286,condition_manifests_as_symptom,High,Low,TRUE
1,287,condition_manifests_as_symptom,Medium,Strong,TRUE
1,291,condition_manifests_as_symptom,High,Medium,TRUE
1,292,condition_manifests_as_symptom,Low,Medium,FALSE
1,294,condition_manifests_as_symptom,High,Low,TRUE
1,297,condition_manifests_as_symptom,Low,Medium,FALSE
1,298,condition_manifests_as_symptom,Low,Medium,FALSE
1,300,condition_manifests_as_symptom,Low,Medium,TRUE
1,305,condition_manifests_as_symptom,Medium,Medium,TRUE
1,306,condition_manifests_as_symptom,High,Medium,TRUE
1,307,condition_manifests_as_symptom,High,Low,TRUE
1,308,condition_manifests_as_symptom,Low,Strong,TRUE
1,309,condition_manifests_as_symptom,Low,Medium,TRUE
1,310,condition_manifests_as_symptom,High,Medium,TRUE
1,311,condition_manifests_as_symptom,High,Low,TRUE
1,312,condition_manifests_as_symptom,Medium,Medium,TRUE
1,313,condition_manifests_as_symptom,High,Medium,FALSE
1,314,condition_manifests_as_symptom,High,Low,FALSE
1,315,condition_manifests_as_symptom,Medium,Medium,TRUE
