source_node_id,target_node_id,relationship_type,target_specificity,affinity_strength,mechanism_of_action
50,7,herb_targets_body_part,Medium,Strong,Hemostatic action
51,8,herb_targets_body_part,High,Strong,Astringent action
51,7,herb_targets_body_part,Medium,Strong,Hemostatic action
52,8,herb_targets_body_part,High,Strong,Anti-inflammatory action
52,10,herb_targets_body_part,Medium,Strong,Analgesic action
53,8,herb_targets_body_part,High,Strong,Diuretic action
53,11,herb_targets_body_part,Medium,Strong,Anti-lithic action
54,6,herb_targets_body_part,High,Strong,Astringent action
54,5,herb_targets_body_part,Medium,Strong,Anti-diabetic action
55,1,herb_targets_body_part,High,Strong,Rejuvenative action
55,2,herb_targets_body_part,Medium,Strong,Cardiotonic action
56,1,herb_targets_body_part,High,Strong,Rejuvenative action
56,10,herb_targets_body_part,Medium,Strong,Nourishing action
57,1,herb_targets_body_part,High,Strong,Rejuvenative action
57,12,herb_targets_body_part,Medium,Strong,Lactogogue action
58,6,herb_targets_body_part,High,Strong,Laxative action
58,5,herb_targets_body_part,Medium,Strong,Digestive stimulant action
59,1,herb_targets_body_part,High,Strong,Nootropic action
59,10,herb_targets_body_part,Medium,Strong,Stimulating action
60,1,herb_targets_body_part,High,Strong,Sedative action
60,10,herb_targets_body_part,Medium,Strong,Anxiolytic action
61,3,herb_targets_body_part,High,Strong,Hepatoprotective action
61,9,herb_targets_body_part,Medium,Strong,Immunomodulatory action
62,6,herb_targets_body_part,High,Strong,Astringent action
62,5,herb_targets_body_part,Medium,Strong,Digestive action
63,6,herb_targets_body_part,High,Strong,Laxative action
63,5,herb_targets_body_part,Medium,Strong,Digestive action
64,7,herb_targets_body_part,High,Strong,Hair tonic action
64,3,herb_targets_body_part,Medium,Strong,Hepatoprotective action
65,5,herb_targets_body_part,High,Strong,Carminative action
65,10,herb_targets_body_part,Medium,Strong,Anti-spasmodic action
66,1,herb_targets_body_part,High,Strong,Stimulating action
66,10,herb_targets_body_part,Medium,Strong,Respiratory support
67,1,herb_targets_body_part,High,Strong,Stimulating action
67,12,herb_targets_body_part,Medium,Strong,Aphrodisiac action
68,1,herb_targets_body_part,High,Strong,Stimulating action
68,12,herb_targets_body_part,Medium,Strong,Aphrodisiac action
69,1,herb_targets_body_part,High,Strong,Stimulating action
69,12,herb_targets_body_part,Medium,Strong,Aphrodisiac action
70,5,herb_targets_body_part,High,Strong,Carminative action
70,6,herb_targets_body_part,Medium,Strong,Digestive stimulation
71,5,herb_targets_body_part,High,Strong,Carminative action
71,6,herb_targets_body_part,Medium,Strong,Anti-spasmodic action
72,3,herb_targets_body_part,High,Strong,Cooling action
72,8,herb_targets_body_part,Medium,Strong,Diuretic action
73,7,herb_targets_body_part,High,Strong,Cooling action
73,3,herb_targets_body_part,Medium,Strong,Antimicrobial action
74,1,herb_targets_body_part,High,Strong,Sedative action
74,10,herb_targets_body_part,Medium,Strong,Cardiotonic action
75,6,herb_targets_body_part,High,Strong,Anti-inflammatory action
75,3,herb_targets_body_part,Medium,Strong,Hepatoprotective action
76,7,herb_targets_body_part,High,Strong,Astringent action
76,3,herb_targets_body_part,Medium,Strong,Antimicrobial action
77,3,herb_targets_body_part,High,Strong,Hepatoprotective action
77,6,herb_targets_body_part,Medium,Strong,Antimicrobial action
78,3,herb_targets_body_part,High,Strong,Hepatoprotective action
78,11,herb_targets_body_part,Medium,Strong,Anti-diabetic action
79,6,herb_targets_body_part,High,Strong,Laxative action
79,5,herb_targets_body_part,Medium,Strong,Digestive stimulant action
80,7,herb_targets_body_part,High,Strong,Anti-inflammatory action
80,5,herb_targets_body_part,Medium,Strong,Digestive stimulant action
81,8,herb_targets_body_part,High,Strong,Astringent action
81,7,herb_targets_body_part,Medium,Strong,Hemostatic action
82,5,herb_targets_body_part,High,Strong,Digestive stimulant action
82,6,herb_targets_body_part,Medium,Strong,Laxative action
83,5,herb_targets_body_part,High,Strong,Stimulating action
83,3,herb_targets_body_part,Medium,Strong,Electrolyte balancer
84,5,herb_targets_body_part,High,Strong,Stimulating action
84,3,herb_targets_body_part,Medium,Strong,Electrolyte balancer
85,5,herb_targets_body_part,High,Strong,Digestive stimulant action
85,6,herb_targets_body_part,Medium,Strong,Laxative action
86,5,herb_targets_body_part,High,Strong,Digestive stimulant action
86,6,herb_targets_body_part,Medium,Strong,Anthelmintic action
87,5,herb_targets_body_part,High,Strong,Carminative action
87,6,herb_targets_body_part,Medium,Strong,Anthelmintic action
88,3,herb_targets_body_part,High,Strong,Cooling action
88,8,herb_targets_body_part,Medium,Strong,Diuretic action
89,8,herb_targets_body_part,High,Strong,Diuretic action
89,11,herb_targets_body_part,Medium,Strong,Anti-lithic action
90,8,herb_targets_body_part,High,Strong,Diuretic action
90,11,herb_targets_body_part,Medium,Strong,Anti-lithic action
91,8,herb_targets_body_part,High,Strong,Diuretic action
91,11,herb_targets_body_part,Medium,Strong,Anti-lithic action
92,8,herb_targets_body_part,High,Strong,Diuretic action
92,11,herb_targets_body_part,Medium,Strong,Cardiotonic action
93,9,herb_targets_body_part,High,Strong,Immunomodulatory action
93,10,herb_targets_body_part,Medium,Strong,Anti-inflammatory action
94,3,herb_targets_body_part,High,Strong,Anti-diabetic action
94,11,herb_targets_body_part,Medium,Strong,Hepatoprotective action
95,5,herb_targets_body_part,High,Strong,Anti-diabetic action
95,12,herb_targets_body_part,Medium,Strong,Galactagogue action
96,4,herb_targets_body_part,High,Strong,Carminative action
96,12,herb_targets_body_part,Medium,Strong,Immunomodulatory action
97,5,herb_targets_body_part,High,Strong,Carminative action
97,10,herb_targets_body_part,Medium,Strong,Anti-inflammatory action
98,4,herb_targets_body_part,High,Strong,Anti-inflammatory action
98,9,herb_targets_body_part,Medium,Strong,Antimicrobial action
99,4,herb_targets_body_part,High,Strong,Anti-inflammatory action
99,9,herb_targets_body_part,Medium,Strong,Antimicrobial action
100,5,herb_targets_body_part,High,Strong,Carminative action
100,4,herb_targets_body_part,Medium,Strong,Anti-emetic action"
203,4,herb_targets_body_part,High,Strong,Expectorant action"
203,10,herb_targets_body_part,High,Strong,Respiratory support
204,12,herb_targets_body_part,High,Strong,Aphrodisiac action
204,1,herb_targets_body_part,High,Strong,Nootropic action
205,1,herb_targets_body_part,High,Strong,Adaptogenic modulation
205,10,herb_targets_body_part,High,Strong,Neuroprotective action
1,2,herb_targets_body_part,Medium,Moderate,Anti-inflammatory action
1,3,herb_targets_body_part,Low,Moderate,Neuroprotective action
1,4,herb_targets_body_part,Low,Weak,Hepatoprotective action
1,5,herb_targets_body_part,Low,Strong,Diuretic action
1,6,herb_targets_body_part,Medium,Strong,Hepatoprotective action
1,7,herb_targets_body_part,Low,Weak,Hepatoprotective action
1,8,herb_targets_body_part,Low,Strong,Hepatoprotective action
1,9,herb_targets_body_part,High,Weak,Hepatoprotective action
1,11,herb_targets_body_part,High,Moderate,Neuroprotective action
1,12,herb_targets_body_part,Low,Moderate,Diuretic action
2,1,herb_targets_body_part,Low,Moderate,Hepatoprotective action
2,2,herb_targets_body_part,High,Weak,Respiratory support
2,4,herb_targets_body_part,Medium,Strong,Hepatoprotective action
2,5,herb_targets_body_part,High,Moderate,Cardiotonic action
2,6,herb_targets_body_part,High,Strong,Diuretic action
2,8,herb_targets_body_part,Medium,Moderate,Neuroprotective action
2,9,herb_targets_body_part,High,Moderate,Respiratory support
2,10,herb_targets_body_part,Low,Moderate,Respiratory support
2,11,herb_targets_body_part,Low,Weak,Digestive stimulant
2,12,herb_targets_body_part,High,Weak,Cardiotonic action
3,1,herb_targets_body_part,High,Strong,Cardiotonic action
3,2,herb_targets_body_part,Medium,Moderate,Diuretic action
3,3,herb_targets_body_part,Low,Weak,Respiratory support
3,4,herb_targets_body_part,High,Moderate,Neuroprotective action
3,7,herb_targets_body_part,High,Weak,Hepatoprotective action
3,8,herb_targets_body_part,High,Moderate,Respiratory support
3,9,herb_targets_body_part,Medium,Strong,Cardiotonic action
3,10,herb_targets_body_part,High,Moderate,Anti-inflammatory action
3,11,herb_targets_body_part,Low,Weak,Neuroprotective action
3,12,herb_targets_body_part,Low,Strong,Immunomodulatory action
4,2,herb_targets_body_part,Medium,Moderate,Immunomodulatory action
4,3,herb_targets_body_part,Low,Weak,Respiratory support
4,4,herb_targets_body_part,Medium,Strong,Immunomodulatory action
4,5,herb_targets_body_part,Low,Weak,Neuroprotective action
4,6,herb_targets_body_part,Low,Moderate,Diuretic action
4,7,herb_targets_body_part,Low,Strong,Diuretic action
4,8,herb_targets_body_part,Low,Moderate,Cardiotonic action
4,9,herb_targets_body_part,High,Moderate,Hepatoprotective action
4,11,herb_targets_body_part,High,Weak,Respiratory support
4,12,herb_targets_body_part,Medium,Weak,Neuroprotective action
5,1,herb_targets_body_part,Low,Weak,Immunomodulatory action
5,2,herb_targets_body_part,High,Strong,Immunomodulatory action
5,4,herb_targets_body_part,Low,Moderate,Neuroprotective action
5,5,herb_targets_body_part,High,Strong,Immunomodulatory action
5,6,herb_targets_body_part,High,Moderate,Cardiotonic action
5,8,herb_targets_body_part,Low,Strong,Anti-inflammatory action
5,9,herb_targets_body_part,Medium,Moderate,Respiratory support
5,10,herb_targets_body_part,High,Strong,Hepatoprotective action
5,11,herb_targets_body_part,Medium,Moderate,Anti-inflammatory action
5,12,herb_targets_body_part,Medium,Moderate,Digestive stimulant
6,1,herb_targets_body_part,Low,Weak,Digestive stimulant
6,2,herb_targets_body_part,Medium,Moderate,Immunomodulatory action
6,3,herb_targets_body_part,Low,Weak,Neuroprotective action
6,6,herb_targets_body_part,Low,Moderate,Digestive stimulant
6,7,herb_targets_body_part,High,Moderate,Digestive stimulant
6,8,herb_targets_body_part,Medium,Moderate,Hepatoprotective action
6,9,herb_targets_body_part,High,Weak,Cardiotonic action
6,10,herb_targets_body_part,Medium,Strong,Hepatoprotective action
6,11,herb_targets_body_part,High,Moderate,Neuroprotective action
6,12,herb_targets_body_part,Medium,Strong,Diuretic action
7,1,herb_targets_body_part,High,Moderate,Cardiotonic action
7,2,herb_targets_body_part,Low,Weak,Cardiotonic action
7,4,herb_targets_body_part,Medium,Weak,Diuretic action
7,5,herb_targets_body_part,Low,Moderate,Diuretic action
7,6,herb_targets_body_part,Low,Moderate,Cardiotonic action
7,7,herb_targets_body_part,High,Strong,Neuroprotective action
7,8,herb_targets_body_part,Medium,Weak,Diuretic action
7,10,herb_targets_body_part,High,Weak,Hepatoprotective action
7,11,herb_targets_body_part,Low,Strong,Diuretic action
7,12,herb_targets_body_part,Medium,Strong,Neuroprotective action
8,1,herb_targets_body_part,Low,Moderate,Hepatoprotective action
8,2,herb_targets_body_part,Low,Moderate,Hepatoprotective action
8,3,herb_targets_body_part,High,Moderate,Immunomodulatory action
8,4,herb_targets_body_part,High,Weak,Neuroprotective action
8,6,herb_targets_body_part,High,Moderate,Immunomodulatory action
8,7,herb_targets_body_part,Medium,Moderate,Immunomodulatory action
8,8,herb_targets_body_part,Medium,Strong,Neuroprotective action
8,9,herb_targets_body_part,High,Weak,Cardiotonic action
8,10,herb_targets_body_part,High,Moderate,Immunomodulatory action
8,11,herb_targets_body_part,High,Strong,Diuretic action
9,1,herb_targets_body_part,High,Strong,Respiratory support
9,2,herb_targets_body_part,High,Strong,Cardiotonic action
9,3,herb_targets_body_part,Medium,Weak,Immunomodulatory action
9,4,herb_targets_body_part,Low,Moderate,Respiratory support
9,5,herb_targets_body_part,Medium,Moderate,Neuroprotective action
9,6,herb_targets_body_part,High,Weak,Diuretic action
9,7,herb_targets_body_part,Medium,Weak,Diuretic action
9,9,herb_targets_body_part,High,Weak,Respiratory support
9,10,herb_targets_body_part,High,Weak,Cardiotonic action
9,12,herb_targets_body_part,Medium,Strong,Cardiotonic action
10,1,herb_targets_body_part,Medium,Weak,Anti-inflammatory action
10,2,herb_targets_body_part,Low,Moderate,Immunomodulatory action
10,3,herb_targets_body_part,Low,Strong,Neuroprotective action
10,5,herb_targets_body_part,Low,Strong,Immunomodulatory action
10,6,herb_targets_body_part,Low,Weak,Hepatoprotective action
10,7,herb_targets_body_part,Low,Weak,Hepatoprotective action
10,8,herb_targets_body_part,High,Weak,Anti-inflammatory action
10,10,herb_targets_body_part,Low,Weak,Digestive stimulant
10,11,herb_targets_body_part,Medium,Weak,Anti-inflammatory action
10,12,herb_targets_body_part,High,Weak,Neuroprotective action
11,1,herb_targets_body_part,High,Moderate,Digestive stimulant
11,3,herb_targets_body_part,High,Weak,Diuretic action
11,4,herb_targets_body_part,High,Weak,Respiratory support
11,5,herb_targets_body_part,Medium,Weak,Anti-inflammatory action
11,6,herb_targets_body_part,Medium,Strong,Respiratory support
11,7,herb_targets_body_part,Medium,Strong,Cardiotonic action
11,9,herb_targets_body_part,High,Weak,Respiratory support
11,10,herb_targets_body_part,Medium,Moderate,Hepatoprotective action
11,11,herb_targets_body_part,High,Strong,Neuroprotective action
11,12,herb_targets_body_part,Medium,Strong,Neuroprotective action
12,1,herb_targets_body_part,Medium,Strong,Neuroprotective action
12,2,herb_targets_body_part,Medium,Moderate,Neuroprotective action
12,3,herb_targets_body_part,High,Weak,Respiratory support
12,4,herb_targets_body_part,High,Strong,Anti-inflammatory action
12,7,herb_targets_body_part,Medium,Moderate,Hepatoprotective action
12,8,herb_targets_body_part,Medium,Strong,Cardiotonic action
12,9,herb_targets_body_part,Medium,Moderate,Cardiotonic action
12,10,herb_targets_body_part,High,Strong,Digestive stimulant
12,11,herb_targets_body_part,High,Weak,Digestive stimulant
12,12,herb_targets_body_part,Medium,Weak,Cardiotonic action
13,1,herb_targets_body_part,High,Moderate,Anti-inflammatory action
13,2,herb_targets_body_part,Medium,Moderate,Cardiotonic action
13,3,herb_targets_body_part,High,Moderate,Anti-inflammatory action
13,4,herb_targets_body_part,Medium,Weak,Digestive stimulant
13,7,herb_targets_body_part,High,Moderate,Hepatoprotective action
13,8,herb_targets_body_part,High,Weak,Neuroprotective action
13,9,herb_targets_body_part,Medium,Weak,Cardiotonic action
13,10,herb_targets_body_part,Medium,Strong,Digestive stimulant
13,11,herb_targets_body_part,High,Moderate,Neuroprotective action
13,12,herb_targets_body_part,High,Weak,Cardiotonic action
14,1,herb_targets_body_part,Low,Moderate,Anti-inflammatory action
14,2,herb_targets_body_part,High,Moderate,Immunomodulatory action
14,3,herb_targets_body_part,Low,Strong,Anti-inflammatory action
14,6,herb_targets_body_part,High,Moderate,Immunomodulatory action
14,7,herb_targets_body_part,Low,Moderate,Cardiotonic action
14,8,herb_targets_body_part,Medium,Weak,Digestive stimulant
14,9,herb_targets_body_part,Low,Weak,Immunomodulatory action
14,10,herb_targets_body_part,High,Strong,Hepatoprotective action
14,11,herb_targets_body_part,Medium,Strong,Cardiotonic action
14,12,herb_targets_body_part,Low,Strong,Neuroprotective action
15,1,herb_targets_body_part,Low,Weak,Immunomodulatory action
15,2,herb_targets_body_part,Medium,Strong,Respiratory support
15,3,herb_targets_body_part,Low,Moderate,Immunomodulatory action
15,4,herb_targets_body_part,Low,Moderate,Immunomodulatory action
15,7,herb_targets_body_part,High,Weak,Respiratory support
15,8,herb_targets_body_part,Medium,Strong,Diuretic action
15,9,herb_targets_body_part,Low,Moderate,Anti-inflammatory action
15,10,herb_targets_body_part,Low,Strong,Anti-inflammatory action
15,11,herb_targets_body_part,Low,Moderate,Anti-inflammatory action
15,12,herb_targets_body_part,High,Weak,Neuroprotective action
16,1,herb_targets_body_part,Medium,Weak,Diuretic action
16,2,herb_targets_body_part,Medium,Weak,Hepatoprotective action
16,3,herb_targets_body_part,Low,Weak,Hepatoprotective action
16,4,herb_targets_body_part,Low,Strong,Diuretic action
16,5,herb_targets_body_part,Low,Strong,Respiratory support
16,6,herb_targets_body_part,Medium,Weak,Respiratory support
16,7,herb_targets_body_part,Medium,Strong,Anti-inflammatory action
16,9,herb_targets_body_part,High,Moderate,Respiratory support
16,10,herb_targets_body_part,High,Moderate,Anti-inflammatory action
16,12,herb_targets_body_part,High,Weak,Anti-inflammatory action
17,2,herb_targets_body_part,Medium,Weak,Respiratory support
17,3,herb_targets_body_part,High,Strong,Immunomodulatory action
17,4,herb_targets_body_part,Low,Strong,Digestive stimulant
17,5,herb_targets_body_part,Medium,Moderate,Anti-inflammatory action
17,6,herb_targets_body_part,Medium,Moderate,Digestive stimulant
17,7,herb_targets_body_part,High,Strong,Cardiotonic action
17,8,herb_targets_body_part,High,Moderate,Diuretic action
17,9,herb_targets_body_part,High,Weak,Digestive stimulant
17,11,herb_targets_body_part,Low,Weak,Neuroprotective action
17,12,herb_targets_body_part,High,Weak,Neuroprotective action
18,2,herb_targets_body_part,Low,Strong,Neuroprotective action
18,3,herb_targets_body_part,Medium,Weak,Digestive stimulant
18,4,herb_targets_body_part,Low,Weak,Immunomodulatory action
18,5,herb_targets_body_part,High,Weak,Anti-inflammatory action
18,6,herb_targets_body_part,Low,Weak,Immunomodulatory action
18,7,herb_targets_body_part,Low,Weak,Diuretic action
18,8,herb_targets_body_part,High,Moderate,Anti-inflammatory action
18,9,herb_targets_body_part,Medium,Moderate,Cardiotonic action
18,11,herb_targets_body_part,Medium,Strong,Diuretic action
18,12,herb_targets_body_part,Medium,Moderate,Anti-inflammatory action
19,1,herb_targets_body_part,Low,Strong,Anti-inflammatory action
19,2,herb_targets_body_part,Medium,Moderate,Diuretic action
19,4,herb_targets_body_part,Medium,Strong,Cardiotonic action
19,5,herb_targets_body_part,High,Moderate,Hepatoprotective action
19,6,herb_targets_body_part,Low,Strong,Digestive stimulant
19,8,herb_targets_body_part,Low,Moderate,Hepatoprotective action
19,9,herb_targets_body_part,High,Strong,Neuroprotective action
19,10,herb_targets_body_part,Medium,Moderate,Hepatoprotective action
19,11,herb_targets_body_part,Low,Weak,Hepatoprotective action
19,12,herb_targets_body_part,High,Moderate,Cardiotonic action
20,1,herb_targets_body_part,High,Weak,Respiratory support
20,2,herb_targets_body_part,Medium,Strong,Hepatoprotective action
20,3,herb_targets_body_part,Medium,Strong,Respiratory support
20,4,herb_targets_body_part,High,Moderate,Digestive stimulant
20,5,herb_targets_body_part,High,Weak,Diuretic action
20,6,herb_targets_body_part,High,Weak,Diuretic action
20,8,herb_targets_body_part,Low,Strong,Hepatoprotective action
20,10,herb_targets_body_part,High,Strong,Cardiotonic action
20,11,herb_targets_body_part,Medium,Weak,Hepatoprotective action
20,12,herb_targets_body_part,High,Strong,Diuretic action
21,1,herb_targets_body_part,High,Moderate,Cardiotonic action
21,2,herb_targets_body_part,High,Strong,Anti-inflammatory action
21,4,herb_targets_body_part,Low,Strong,Immunomodulatory action
21,5,herb_targets_body_part,Medium,Moderate,Hepatoprotective action
21,7,herb_targets_body_part,Low,Moderate,Digestive stimulant
21,8,herb_targets_body_part,Low,Weak,Anti-inflammatory action
21,9,herb_targets_body_part,Medium,Moderate,Diuretic action
21,10,herb_targets_body_part,Medium,Weak,Hepatoprotective action
21,11,herb_targets_body_part,Medium,Weak,Anti-inflammatory action
21,12,herb_targets_body_part,Medium,Weak,Respiratory support
22,1,herb_targets_body_part,Low,Strong,Hepatoprotective action
22,2,herb_targets_body_part,High,Strong,Hepatoprotective action
22,3,herb_targets_body_part,Low,Strong,Neuroprotective action
22,4,herb_targets_body_part,Low,Weak,Immunomodulatory action
22,5,herb_targets_body_part,Medium,Moderate,Diuretic action
22,6,herb_targets_body_part,Low,Weak,Diuretic action
22,7,herb_targets_body_part,High,Strong,Neuroprotective action
22,8,herb_targets_body_part,High,Strong,Neuroprotective action
22,11,herb_targets_body_part,Medium,Weak,Cardiotonic action
22,12,herb_targets_body_part,Low,Weak,Respiratory support
23,1,herb_targets_body_part,Medium,Weak,Neuroprotective action
23,2,herb_targets_body_part,High,Moderate,Immunomodulatory action
23,4,herb_targets_body_part,Low,Moderate,Immunomodulatory action
23,5,herb_targets_body_part,Medium,Strong,Neuroprotective action
23,6,herb_targets_body_part,High,Strong,Anti-inflammatory action
23,7,herb_targets_body_part,Medium,Moderate,Digestive stimulant
23,8,herb_targets_body_part,High,Weak,Digestive stimulant
23,10,herb_targets_body_part,High,Moderate,Digestive stimulant
23,11,herb_targets_body_part,Low,Moderate,Diuretic action
23,12,herb_targets_body_part,Low,Weak,Respiratory support
24,1,herb_targets_body_part,Low,Weak,Respiratory support
24,2,herb_targets_body_part,Low,Moderate,Cardiotonic action
24,3,herb_targets_body_part,Medium,Strong,Hepatoprotective action
24,4,herb_targets_body_part,Medium,Strong,Diuretic action
24,7,herb_targets_body_part,High,Strong,Digestive stimulant
24,8,herb_targets_body_part,Low,Strong,Diuretic action
24,9,herb_targets_body_part,Low,Strong,Digestive stimulant
24,10,herb_targets_body_part,Medium,Weak,Respiratory support
24,11,herb_targets_body_part,Low,Moderate,Digestive stimulant
24,12,herb_targets_body_part,Medium,Strong,Anti-inflammatory action
25,1,herb_targets_body_part,Medium,Strong,Hepatoprotective action
25,2,herb_targets_body_part,Medium,Strong,Hepatoprotective action
25,3,herb_targets_body_part,High,Moderate,Diuretic action
25,4,herb_targets_body_part,High,Weak,Respiratory support
25,5,herb_targets_body_part,High,Strong,Digestive stimulant
25,6,herb_targets_body_part,High,Moderate,Neuroprotective action
25,7,herb_targets_body_part,High,Moderate,Neuroprotective action
25,9,herb_targets_body_part,Medium,Weak,Digestive stimulant
25,10,herb_targets_body_part,High,Strong,Anti-inflammatory action
25,12,herb_targets_body_part,High,Moderate,Hepatoprotective action
26,1,herb_targets_body_part,High,Weak,Neuroprotective action
26,2,herb_targets_body_part,Medium,Weak,Hepatoprotective action
26,3,herb_targets_body_part,Medium,Strong,Immunomodulatory action
26,4,herb_targets_body_part,Medium,Strong,Respiratory support
26,7,herb_targets_body_part,Medium,Weak,Neuroprotective action
26,8,herb_targets_body_part,Low,Weak,Cardiotonic action
26,9,herb_targets_body_part,Low,Strong,Hepatoprotective action
26,10,herb_targets_body_part,High,Strong,Digestive stimulant
26,11,herb_targets_body_part,High,Weak,Cardiotonic action
