source_node_id,target_node_id,relationship_type,indicator_strength,specificity,diagnostic_value
66,3,symptom_indicates_dosha_imbalance,High,High,High
67,1,symptom_indicates_dosha_imbalance,High,High,High
68,1,symptom_indicates_dosha_imbalance,High,High,High
69,1,symptom_indicates_dosha_imbalance,High,High,High
70,1,symptom_indicates_dosha_imbalance,High,Medium,High
71,2,symptom_indicates_dosha_imbalance,High,High,High
72,2,symptom_indicates_dosha_imbalance,High,High,High
73,2,symptom_indicates_dosha_imbalance,High,High,High
74,1,symptom_indicates_dosha_imbalance,High,High,High
75,1,symptom_indicates_dosha_imbalance,High,High,High
76,1,symptom_indicates_dosha_imbalance,High,High,High
77,2,symptom_indicates_dosha_imbalance,High,High,High
78,2,symptom_indicates_dosha_imbalance,High,High,High
79,2,symptom_indicates_dosha_imbalance,High,High,High
80,2,symptom_indicates_dosha_imbalance,High,High,High
81,2,symptom_indicates_dosha_imbalance,High,High,High
82,1,symptom_indicates_dosha_imbalance,Medium,Medium,Medium
83,3,symptom_indicates_dosha_imbalance,High,Medium,High
84,1,symptom_indicates_dosha_imbalance,High,Medium,High
85,2,symptom_indicates_dosha_imbalance,High,High,High
86,2,symptom_indicates_dosha_imbalance,High,High,High
87,2,symptom_indicates_dosha_imbalance,High,High,High
88,2,symptom_indicates_dosha_imbalance,High,High,High
89,1,symptom_indicates_dosha_imbalance,High,High,High
90,1,symptom_indicates_dosha_imbalance,High,High,High
91,1,symptom_indicates_dosha_imbalance,High,High,High
92,1,symptom_indicates_dosha_imbalance,High,Medium,High
93,3,symptom_indicates_dosha_imbalance,High,Medium,High
94,1,symptom_indicates_dosha_imbalance,High,Medium,High
95,2,symptom_indicates_dosha_imbalance,High,High,High
96,2,symptom_indicates_dosha_imbalance,High,High,High
97,2,symptom_indicates_dosha_imbalance,High,High,High
98,1,symptom_indicates_dosha_imbalance,High,High,High
99,1,symptom_indicates_dosha_imbalance,High,High,High
100,1,symptom_indicates_dosha_imbalance,High,High,High
101,2,symptom_indicates_dosha_imbalance,High,High,High
102,2,symptom_indicates_dosha_imbalance,High,High,High
103,2,symptom_indicates_dosha_imbalance,High,High,High
104,3,symptom_indicates_dosha_imbalance,High,Medium,High
105,1,symptom_indicates_dosha_imbalance,High,Medium,High
106,3,symptom_indicates_dosha_imbalance,High,Medium,High
107,1,symptom_indicates_dosha_imbalance,High,Medium,High
108,3,symptom_indicates_dosha_imbalance,High,High,High
109,2,symptom_indicates_dosha_imbalance,High,High,High
110,2,symptom_indicates_dosha_imbalance,High,High,High
111,2,symptom_indicates_dosha_imbalance,High,High,High
112,1,symptom_indicates_dosha_imbalance,High,Medium,High
113,1,symptom_indicates_dosha_imbalance,High,High,High
114,1,symptom_indicates_dosha_imbalance,High,High,High
115,1,symptom_indicates_dosha_imbalance,High,High,High
116,1,symptom_indicates_dosha_imbalance,High,Medium,High
117,2,symptom_indicates_dosha_imbalance,High,High,High
118,2,symptom_indicates_dosha_imbalance,High,High,High
119,2,symptom_indicates_dosha_imbalance,High,High,High
120,1,symptom_indicates_dosha_imbalance,High,Medium,High
121,3,symptom_indicates_dosha_imbalance,High,High,High
122,3,symptom_indicates_dosha_imbalance,High,High,High
123,3,symptom_indicates_dosha_imbalance,High,High,High
124,1,symptom_indicates_dosha_imbalance,High,High,High
125,1,symptom_indicates_dosha_imbalance,High,High,High
126,1,symptom_indicates_dosha_imbalance,High,High,High
127,1,symptom_indicates_dosha_imbalance,High,Medium,High
128,3,symptom_indicates_dosha_imbalance,High,Medium,High
129,1,symptom_indicates_dosha_imbalance,High,Medium,High
130,2,symptom_indicates_dosha_imbalance,High,High,High
131,2,symptom_indicates_dosha_imbalance,High,High,High
132,2,symptom_indicates_dosha_imbalance,High,High,High
133,1,symptom_indicates_dosha_imbalance,High,Medium,High
134,3,symptom_indicates_dosha_imbalance,High,Medium,High
135,1,symptom_indicates_dosha_imbalance,High,Medium,High
136,2,symptom_indicates_dosha_imbalance,High,High,High
137,2,symptom_indicates_dosha_imbalance,High,High,High
138,2,symptom_indicates_dosha_imbalance,High,High,High
139,1,symptom_indicates_dosha_imbalance,High,Medium,High
140,3,symptom_indicates_dosha_imbalance,High,Medium,High
141,1,symptom_indicates_dosha_imbalance,High,Medium,High
142,1,symptom_indicates_dosha_imbalance,High,High,High
143,1,symptom_indicates_dosha_imbalance,High,High,High
144,1,symptom_indicates_dosha_imbalance,High,High,High
145,1,symptom_indicates_dosha_imbalance,High,Medium,High
146,3,symptom_indicates_dosha_imbalance,High,Medium,High
147,1,symptom_indicates_dosha_imbalance,High,Medium,High
148,2,symptom_indicates_dosha_imbalance,High,High,High
149,2,symptom_indicates_dosha_imbalance,High,High,High
150,2,symptom_indicates_dosha_imbalance,High,High,High
151,2,symptom_indicates_dosha_imbalance,High,High,High
152,3,symptom_indicates_dosha_imbalance,High,Medium,High
153,1,symptom_indicates_dosha_imbalance,High,Medium,High
154,3,symptom_indicates_dosha_imbalance,High,High,High
155,3,symptom_indicates_dosha_imbalance,High,High,High
156,2,symptom_indicates_dosha_imbalance,High,High,High
157,2,symptom_indicates_dosha_imbalance,High,High,High
158,2,symptom_indicates_dosha_imbalance,High,High,High
159,1,symptom_indicates_dosha_imbalance,High,Medium,High
160,2,symptom_indicates_dosha_imbalance,High,High,High
161,2,symptom_indicates_dosha_imbalance,High,High,High
162,2,symptom_indicates_dosha_imbalance,High,High,High
163,1,symptom_indicates_dosha_imbalance,High,Medium,High
164,3,symptom_indicates_dosha_imbalance,High,Medium,High
165,1,symptom_indicates_dosha_imbalance,High,Medium,High
166,3,symptom_indicates_dosha_imbalance,High,High,High
167,1,symptom_indicates_dosha_imbalance,High,Medium,High
168,3,symptom_indicates_dosha_imbalance,High,Medium,High
169,1,symptom_indicates_dosha_imbalance,High,Medium,High
170,2,symptom_indicates_dosha_imbalance,High,High,High
171,2,symptom_indicates_dosha_imbalance,High,High,High
172,2,symptom_indicates_dosha_imbalance,High,High,High
173,1,symptom_indicates_dosha_imbalance,High,Medium,High
174,3,symptom_indicates_dosha_imbalance,High,Medium,High
175,1,symptom_indicates_dosha_imbalance,High,Medium,High
176,2,symptom_indicates_dosha_imbalance,High,High,High
177,2,symptom_indicates_dosha_imbalance,High,High,High
178,2,symptom_indicates_dosha_imbalance,High,High,High
179,1,symptom_indicates_dosha_imbalance,High,Medium,High
180,3,symptom_indicates_dosha_imbalance,High,Medium,High
181,1,symptom_indicates_dosha_imbalance,High,Medium,High
182,2,symptom_indicates_dosha_imbalance,High,High,High
183,2,symptom_indicates_dosha_imbalance,High,High,High
184,2,symptom_indicates_dosha_imbalance,High,High,High
185,1,symptom_indicates_dosha_imbalance,High,Medium,High
186,3,symptom_indicates_dosha_imbalance,High,Medium,High
187,1,symptom_indicates_dosha_imbalance,High,Medium,High
188,2,symptom_indicates_dosha_imbalance,High,High,High
189,2,symptom_indicates_dosha_imbalance,High,High,High
190,2,symptom_indicates_dosha_imbalance,High,High,High
191,1,symptom_indicates_dosha_imbalance,High,Medium,High
192,3,symptom_indicates_dosha_imbalance,High,Medium,High
193,1,symptom_indicates_dosha_imbalance,High,Medium,High
194,2,symptom_indicates_dosha_imbalance,High,High,High
195,2,symptom_indicates_dosha_imbalance,High,High,High
196,2,symptom_indicates_dosha_imbalance,High,High,High
197,1,symptom_indicates_dosha_imbalance,High,Medium,High
198,3,symptom_indicates_dosha_imbalance,High,Medium,High
199,1,symptom_indicates_dosha_imbalance,High,Medium,High
200,2,symptom_indicates_dosha_imbalance,High,High,High
1,2,symptom_indicates_dosha_imbalance,High,Low,Medium
1,3,symptom_indicates_dosha_imbalance,Medium,High,Low
2,1,symptom_indicates_dosha_imbalance,Medium,High,Medium
2,3,symptom_indicates_dosha_imbalance,Low,Medium,Medium
3,1,symptom_indicates_dosha_imbalance,High,High,Low
3,3,symptom_indicates_dosha_imbalance,Low,Low,Medium
4,2,symptom_indicates_dosha_imbalance,Medium,High,High
4,3,symptom_indicates_dosha_imbalance,Low,Medium,High
5,1,symptom_indicates_dosha_imbalance,High,High,Medium
5,3,symptom_indicates_dosha_imbalance,Medium,Low,High
6,1,symptom_indicates_dosha_imbalance,Medium,High,Low
6,2,symptom_indicates_dosha_imbalance,Low,High,Low
7,2,symptom_indicates_dosha_imbalance,High,Medium,Low
7,3,symptom_indicates_dosha_imbalance,Low,High,Low
8,1,symptom_indicates_dosha_imbalance,Medium,Low,Medium
8,2,symptom_indicates_dosha_imbalance,Medium,Low,Medium
9,1,symptom_indicates_dosha_imbalance,Low,Medium,Low
9,3,symptom_indicates_dosha_imbalance,Low,Medium,Low
10,2,symptom_indicates_dosha_imbalance,Low,Medium,Low
10,3,symptom_indicates_dosha_imbalance,High,Medium,High
11,2,symptom_indicates_dosha_imbalance,Low,Low,High
11,3,symptom_indicates_dosha_imbalance,Medium,High,Low
12,1,symptom_indicates_dosha_imbalance,High,Low,Medium
12,2,symptom_indicates_dosha_imbalance,Medium,High,Medium
13,2,symptom_indicates_dosha_imbalance,Low,Medium,Medium
13,3,symptom_indicates_dosha_imbalance,Low,Medium,Medium
14,2,symptom_indicates_dosha_imbalance,High,High,Low
14,3,symptom_indicates_dosha_imbalance,Low,High,Medium
15,1,symptom_indicates_dosha_imbalance,High,Medium,High
15,2,symptom_indicates_dosha_imbalance,High,Medium,Medium
16,1,symptom_indicates_dosha_imbalance,Medium,High,Low
16,3,symptom_indicates_dosha_imbalance,Medium,Low,High
17,2,symptom_indicates_dosha_imbalance,High,Medium,Low
17,3,symptom_indicates_dosha_imbalance,Medium,Medium,High
18,1,symptom_indicates_dosha_imbalance,Low,High,Low
18,3,symptom_indicates_dosha_imbalance,High,Medium,High
19,2,symptom_indicates_dosha_imbalance,High,High,Medium
19,3,symptom_indicates_dosha_imbalance,Medium,Low,Low
20,2,symptom_indicates_dosha_imbalance,High,Low,Low
20,3,symptom_indicates_dosha_imbalance,Low,Low,Medium
21,1,symptom_indicates_dosha_imbalance,Low,Low,Low
21,3,symptom_indicates_dosha_imbalance,Low,High,High
22,1,symptom_indicates_dosha_imbalance,High,High,Low
22,3,symptom_indicates_dosha_imbalance,Low,High,High
23,1,symptom_indicates_dosha_imbalance,Medium,Low,Low
23,3,symptom_indicates_dosha_imbalance,Medium,Low,High
24,1,symptom_indicates_dosha_imbalance,High,High,High
24,2,symptom_indicates_dosha_imbalance,Low,Medium,Low
25,1,symptom_indicates_dosha_imbalance,Medium,Low,Low
25,3,symptom_indicates_dosha_imbalance,Medium,Low,High
26,1,symptom_indicates_dosha_imbalance,Medium,Medium,Medium
26,3,symptom_indicates_dosha_imbalance,High,Medium,Medium
27,1,symptom_indicates_dosha_imbalance,Low,Medium,High
27,3,symptom_indicates_dosha_imbalance,Low,Medium,Low
28,1,symptom_indicates_dosha_imbalance,High,Low,Medium
28,3,symptom_indicates_dosha_imbalance,Medium,Medium,High
29,1,symptom_indicates_dosha_imbalance,High,High,Medium
29,3,symptom_indicates_dosha_imbalance,Medium,Low,Medium
30,1,symptom_indicates_dosha_imbalance,High,Low,Medium
30,3,symptom_indicates_dosha_imbalance,Low,Medium,Low
31,1,symptom_indicates_dosha_imbalance,High,Low,High
31,2,symptom_indicates_dosha_imbalance,High,Low,Low
32,2,symptom_indicates_dosha_imbalance,Low,Low,High
32,3,symptom_indicates_dosha_imbalance,Medium,Low,Low
33,2,symptom_indicates_dosha_imbalance,High,High,High
33,3,symptom_indicates_dosha_imbalance,Low,Medium,Medium
34,2,symptom_indicates_dosha_imbalance,Medium,Low,High
34,3,symptom_indicates_dosha_imbalance,High,Medium,Medium
35,2,symptom_indicates_dosha_imbalance,Low,High,High
35,3,symptom_indicates_dosha_imbalance,Medium,Low,Low
36,2,symptom_indicates_dosha_imbalance,Low,High,High
36,3,symptom_indicates_dosha_imbalance,High,High,High
37,1,symptom_indicates_dosha_imbalance,Medium,Low,Medium
37,3,symptom_indicates_dosha_imbalance,Medium,High,High
38,1,symptom_indicates_dosha_imbalance,Low,High,High
38,3,symptom_indicates_dosha_imbalance,High,Low,Medium
39,2,symptom_indicates_dosha_imbalance,High,High,Medium
39,3,symptom_indicates_dosha_imbalance,Low,Low,Medium
40,2,symptom_indicates_dosha_imbalance,Medium,High,High
40,3,symptom_indicates_dosha_imbalance,High,Low,Low
41,1,symptom_indicates_dosha_imbalance,Medium,High,Low
41,3,symptom_indicates_dosha_imbalance,Medium,High,Low
42,1,symptom_indicates_dosha_imbalance,Medium,Low,High
42,3,symptom_indicates_dosha_imbalance,High,Medium,Medium
43,2,symptom_indicates_dosha_imbalance,Medium,High,Low
43,3,symptom_indicates_dosha_imbalance,Medium,High,Low
44,1,symptom_indicates_dosha_imbalance,High,Medium,High
44,2,symptom_indicates_dosha_imbalance,Low,Low,High
45,2,symptom_indicates_dosha_imbalance,Medium,Low,High
45,3,symptom_indicates_dosha_imbalance,High,High,Medium
46,1,symptom_indicates_dosha_imbalance,High,Medium,Low
46,3,symptom_indicates_dosha_imbalance,Low,Low,Low
47,1,symptom_indicates_dosha_imbalance,High,Low,High
47,2,symptom_indicates_dosha_imbalance,Low,Medium,High
48,1,symptom_indicates_dosha_imbalance,High,Low,High
48,2,symptom_indicates_dosha_imbalance,High,Medium,High
49,1,symptom_indicates_dosha_imbalance,Medium,Medium,High
49,2,symptom_indicates_dosha_imbalance,Medium,High,High
50,1,symptom_indicates_dosha_imbalance,Low,Medium,High
50,2,symptom_indicates_dosha_imbalance,Low,Low,Medium
51,1,symptom_indicates_dosha_imbalance,Medium,Medium,High
51,3,symptom_indicates_dosha_imbalance,Medium,High,Medium
52,2,symptom_indicates_dosha_imbalance,High,High,Low
52,3,symptom_indicates_dosha_imbalance,Medium,Low,Low
53,2,symptom_indicates_dosha_imbalance,Low,Low,Low
53,3,symptom_indicates_dosha_imbalance,High,High,High
54,2,symptom_indicates_dosha_imbalance,Low,Medium,High
54,3,symptom_indicates_dosha_imbalance,Medium,High,High
55,2,symptom_indicates_dosha_imbalance,Medium,Medium,Low
55,3,symptom_indicates_dosha_imbalance,Medium,High,High
56,1,symptom_indicates_dosha_imbalance,High,Medium,High
56,3,symptom_indicates_dosha_imbalance,High,Medium,Low
57,1,symptom_indicates_dosha_imbalance,High,Low,High
57,3,symptom_indicates_dosha_imbalance,Medium,High,High
58,1,symptom_indicates_dosha_imbalance,Low,High,Low
58,3,symptom_indicates_dosha_imbalance,Medium,High,Low
59,2,symptom_indicates_dosha_imbalance,High,Medium,High
59,3,symptom_indicates_dosha_imbalance,Low,Medium,Low
60,1,symptom_indicates_dosha_imbalance,Low,Medium,High
60,3,symptom_indicates_dosha_imbalance,High,High,Medium
61,2,symptom_indicates_dosha_imbalance,Low,Medium,Low
61,3,symptom_indicates_dosha_imbalance,Medium,Medium,Medium
62,1,symptom_indicates_dosha_imbalance,High,High,Low
62,2,symptom_indicates_dosha_imbalance,Low,High,High
63,1,symptom_indicates_dosha_imbalance,Medium,Low,High
63,3,symptom_indicates_dosha_imbalance,Low,Medium,Low
64,1,symptom_indicates_dosha_imbalance,Low,Medium,High
64,2,symptom_indicates_dosha_imbalance,Medium,Medium,Low
65,2,symptom_indicates_dosha_imbalance,Medium,Medium,High
65,3,symptom_indicates_dosha_imbalance,High,Medium,High
66,1,symptom_indicates_dosha_imbalance,Medium,Low,Low
66,2,symptom_indicates_dosha_imbalance,Low,Medium,High
67,2,symptom_indicates_dosha_imbalance,Low,Medium,Low
67,3,symptom_indicates_dosha_imbalance,High,Low,Medium
68,2,symptom_indicates_dosha_imbalance,High,High,Medium
68,3,symptom_indicates_dosha_imbalance,Medium,Medium,Low
69,2,symptom_indicates_dosha_imbalance,Low,High,Medium
69,3,symptom_indicates_dosha_imbalance,Low,Medium,High
70,2,symptom_indicates_dosha_imbalance,Medium,High,Medium
70,3,symptom_indicates_dosha_imbalance,Medium,Low,Low
71,1,symptom_indicates_dosha_imbalance,Medium,Medium,Medium
71,3,symptom_indicates_dosha_imbalance,Medium,Medium,Medium
72,1,symptom_indicates_dosha_imbalance,Low,Low,High
72,3,symptom_indicates_dosha_imbalance,High,High,Medium
73,1,symptom_indicates_dosha_imbalance,High,High,Medium
73,3,symptom_indicates_dosha_imbalance,Medium,Medium,High
74,2,symptom_indicates_dosha_imbalance,Low,Medium,Medium
74,3,symptom_indicates_dosha_imbalance,High,Medium,Low
75,2,symptom_indicates_dosha_imbalance,Medium,Medium,High
75,3,symptom_indicates_dosha_imbalance,Medium,Medium,Medium
76,2,symptom_indicates_dosha_imbalance,Low,High,Low
76,3,symptom_indicates_dosha_imbalance,High,High,Low
77,1,symptom_indicates_dosha_imbalance,Medium,Low,Low
77,3,symptom_indicates_dosha_imbalance,High,Medium,Medium
78,1,symptom_indicates_dosha_imbalance,High,Medium,Low
78,3,symptom_indicates_dosha_imbalance,Medium,High,Low
79,1,symptom_indicates_dosha_imbalance,Low,Medium,Medium
79,3,symptom_indicates_dosha_imbalance,Low,Low,High
80,1,symptom_indicates_dosha_imbalance,Low,Medium,High
80,3,symptom_indicates_dosha_imbalance,Low,High,Medium
81,1,symptom_indicates_dosha_imbalance,High,High,High
81,3,symptom_indicates_dosha_imbalance,Low,Low,High
82,2,symptom_indicates_dosha_imbalance,Low,Low,High
82,3,symptom_indicates_dosha_imbalance,High,High,High
83,1,symptom_indicates_dosha_imbalance,Medium,Low,Low
83,2,symptom_indicates_dosha_imbalance,Medium,High,Medium
84,2,symptom_indicates_dosha_imbalance,Medium,High,High
84,3,symptom_indicates_dosha_imbalance,High,Medium,Low
85,1,symptom_indicates_dosha_imbalance,High,Medium,Medium
85,3,symptom_indicates_dosha_imbalance,Low,Low,Low
86,1,symptom_indicates_dosha_imbalance,Medium,Medium,Medium
86,3,symptom_indicates_dosha_imbalance,Medium,Medium,High
87,1,symptom_indicates_dosha_imbalance,High,Low,High
87,3,symptom_indicates_dosha_imbalance,Medium,Low,Medium
88,1,symptom_indicates_dosha_imbalance,High,Low,High
88,3,symptom_indicates_dosha_imbalance,Medium,High,Low
89,2,symptom_indicates_dosha_imbalance,Medium,Low,Medium
89,3,symptom_indicates_dosha_imbalance,Low,High,Medium
90,2,symptom_indicates_dosha_imbalance,Low,High,Medium
90,3,symptom_indicates_dosha_imbalance,Low,Low,High
91,2,symptom_indicates_dosha_imbalance,Low,Low,Medium
91,3,symptom_indicates_dosha_imbalance,Medium,Medium,Medium
92,2,symptom_indicates_dosha_imbalance,High,Low,High
92,3,symptom_indicates_dosha_imbalance,Medium,Low,Medium
93,1,symptom_indicates_dosha_imbalance,High,Low,High
93,2,symptom_indicates_dosha_imbalance,Low,Low,Low
94,2,symptom_indicates_dosha_imbalance,High,Low,Medium
94,3,symptom_indicates_dosha_imbalance,Medium,Medium,High
95,1,symptom_indicates_dosha_imbalance,High,Medium,Medium
95,3,symptom_indicates_dosha_imbalance,Medium,Medium,High
96,1,symptom_indicates_dosha_imbalance,Low,Low,Low
96,3,symptom_indicates_dosha_imbalance,Low,Medium,High
97,1,symptom_indicates_dosha_imbalance,Medium,Medium,Low
97,3,symptom_indicates_dosha_imbalance,High,High,Medium
98,2,symptom_indicates_dosha_imbalance,High,Medium,High
98,3,symptom_indicates_dosha_imbalance,High,Low,Low
99,2,symptom_indicates_dosha_imbalance,High,Medium,Low
99,3,symptom_indicates_dosha_imbalance,High,Low,Medium
100,2,symptom_indicates_dosha_imbalance,High,High,High
100,3,symptom_indicates_dosha_imbalance,High,High,Medium
101,1,symptom_indicates_dosha_imbalance,High,Low,Low
101,3,symptom_indicates_dosha_imbalance,Medium,Low,Low
102,1,symptom_indicates_dosha_imbalance,Low,Medium,Medium
102,3,symptom_indicates_dosha_imbalance,Medium,Medium,High
103,1,symptom_indicates_dosha_imbalance,Low,Low,High
103,3,symptom_indicates_dosha_imbalance,Medium,Low,High
104,1,symptom_indicates_dosha_imbalance,High,High,High
104,2,symptom_indicates_dosha_imbalance,Medium,Low,Low
105,2,symptom_indicates_dosha_imbalance,Medium,Low,Low
105,3,symptom_indicates_dosha_imbalance,High,Medium,Low
106,1,symptom_indicates_dosha_imbalance,High,Low,Medium
106,2,symptom_indicates_dosha_imbalance,Low,Low,Medium
107,2,symptom_indicates_dosha_imbalance,Medium,Low,Low
107,3,symptom_indicates_dosha_imbalance,Medium,Medium,Medium
108,1,symptom_indicates_dosha_imbalance,Low,Medium,High
108,2,symptom_indicates_dosha_imbalance,High,Medium,High
109,1,symptom_indicates_dosha_imbalance,Medium,Medium,Low
109,3,symptom_indicates_dosha_imbalance,Medium,High,High
110,1,symptom_indicates_dosha_imbalance,Medium,Low,Medium
110,3,symptom_indicates_dosha_imbalance,Low,Medium,Medium
111,1,symptom_indicates_dosha_imbalance,Medium,High,Medium
111,3,symptom_indicates_dosha_imbalance,Low,Low,Medium
112,2,symptom_indicates_dosha_imbalance,Low,Low,High
112,3,symptom_indicates_dosha_imbalance,Medium,High,High
113,2,symptom_indicates_dosha_imbalance,Medium,Low,High
113,3,symptom_indicates_dosha_imbalance,High,High,High
114,2,symptom_indicates_dosha_imbalance,Medium,Medium,Medium
114,3,symptom_indicates_dosha_imbalance,High,High,High
115,2,symptom_indicates_dosha_imbalance,Medium,Medium,High
115,3,symptom_indicates_dosha_imbalance,High,Low,Low
116,2,symptom_indicates_dosha_imbalance,Medium,High,Low
116,3,symptom_indicates_dosha_imbalance,High,Medium,Medium
117,1,symptom_indicates_dosha_imbalance,Low,High,High
117,3,symptom_indicates_dosha_imbalance,Low,Low,Low
118,1,symptom_indicates_dosha_imbalance,Low,Medium,Medium
118,3,symptom_indicates_dosha_imbalance,High,Low,Low
119,1,symptom_indicates_dosha_imbalance,High,Low,High
119,3,symptom_indicates_dosha_imbalance,Low,High,Medium
120,2,symptom_indicates_dosha_imbalance,Medium,High,Medium
120,3,symptom_indicates_dosha_imbalance,Medium,High,Medium
121,1,symptom_indicates_dosha_imbalance,Low,Low,High
121,2,symptom_indicates_dosha_imbalance,Low,High,High
122,1,symptom_indicates_dosha_imbalance,Medium,Medium,High
122,2,symptom_indicates_dosha_imbalance,Medium,High,Medium
123,1,symptom_indicates_dosha_imbalance,Medium,High,High
123,2,symptom_indicates_dosha_imbalance,High,Medium,High
124,2,symptom_indicates_dosha_imbalance,Low,Medium,Medium
124,3,symptom_indicates_dosha_imbalance,Medium,Low,Medium
125,2,symptom_indicates_dosha_imbalance,High,High,Medium
125,3,symptom_indicates_dosha_imbalance,High,Medium,High
126,2,symptom_indicates_dosha_imbalance,Medium,Low,High
126,3,symptom_indicates_dosha_imbalance,High,Low,High
127,2,symptom_indicates_dosha_imbalance,Medium,Low,High
127,3,symptom_indicates_dosha_imbalance,Low,Medium,Medium
128,1,symptom_indicates_dosha_imbalance,High,High,Low
128,2,symptom_indicates_dosha_imbalance,Low,Low,High
129,2,symptom_indicates_dosha_imbalance,High,Medium,High
129,3,symptom_indicates_dosha_imbalance,Medium,Medium,Low
130,1,symptom_indicates_dosha_imbalance,High,High,Low
130,3,symptom_indicates_dosha_imbalance,High,High,Low
131,1,symptom_indicates_dosha_imbalance,Low,Medium,High
131,3,symptom_indicates_dosha_imbalance,Medium,Low,Low
132,1,symptom_indicates_dosha_imbalance,Low,High,Low
132,3,symptom_indicates_dosha_imbalance,Medium,Medium,High
133,2,symptom_indicates_dosha_imbalance,Medium,High,Medium
133,3,symptom_indicates_dosha_imbalance,Low,Low,Medium
134,1,symptom_indicates_dosha_imbalance,High,High,Low
134,2,symptom_indicates_dosha_imbalance,Low,Medium,High
135,2,symptom_indicates_dosha_imbalance,Medium,Medium,High
135,3,symptom_indicates_dosha_imbalance,High,High,Low
136,1,symptom_indicates_dosha_imbalance,Medium,High,High
136,3,symptom_indicates_dosha_imbalance,Medium,Low,Medium
137,1,symptom_indicates_dosha_imbalance,High,Medium,Medium
137,3,symptom_indicates_dosha_imbalance,Medium,Low,High
138,1,symptom_indicates_dosha_imbalance,Low,Low,Medium
138,3,symptom_indicates_dosha_imbalance,Low,Medium,Medium
139,2,symptom_indicates_dosha_imbalance,Low,High,Medium
139,3,symptom_indicates_dosha_imbalance,High,Low,High
140,1,symptom_indicates_dosha_imbalance,Low,Medium,High
