source_node_id,target_node_id,relationship_type,effect_type,intensity,primary_action,secondary_action
67,1,herb_balances_dosha,Balancing,Medium,Warming,Stimulating
67,3,herb_balances_dosha,Balancing,High,Warming,Drying
68,1,herb_balances_dosha,Balancing,Medium,Warming,Stimulating
68,3,herb_balances_dosha,Balancing,High,Warming,Drying
69,1,herb_balances_dosha,Balancing,Medium,Warming,Stimulating
69,3,herb_balances_dosha,Balancing,High,Warming,Drying
70,1,herb_balances_dosha,Balancing,Medium,Warming,Digestive stimulant
70,3,herb_balances_dosha,Balancing,High,Warming,Digestive stimulant
71,1,herb_balances_dosha,Balancing,Medium,Warming,Digestive stimulant
71,3,herb_balances_dosha,Balancing,High,Warming,Digestive stimulant
72,2,herb_balances_dosha,Balancing,High,Cooling,Calming
72,3,herb_balances_dosha,Balancing,Medium,Drying,Calming
73,2,herb_balances_dosha,Balancing,High,Cooling,Aromatic
73,3,herb_balances_dosha,Balancing,Medium,Drying,Aromatic
74,1,herb_balances_dosha,Balancing,High,Grounding,Calming
74,3,herb_balances_dosha,Balancing,Medium,Drying,Calming
75,2,herb_balances_dosha,Balancing,Medium,Cooling,Anti-inflammatory
75,3,herb_balances_dosha,Balancing,High,Drying,Anti-inflammatory
76,2,herb_balances_dosha,Balancing,High,Cooling,Astringent
76,3,herb_balances_dosha,Balancing,Medium,Drying,Astringent
77,2,herb_balances_dosha,Balancing,High,Cooling,Liver protective
77,3,herb_balances_dosha,Balancing,Medium,Drying,Liver protective
78,2,herb_balances_dosha,Balancing,High,Cooling,Anti-diabetic
78,3,herb_balances_dosha,Balancing,Medium,Drying,Anti-diabetic
79,1,herb_balances_dosha,Balancing,Medium,Warming,Laxative
79,2,herb_balances_dosha,Balancing,High,Warming,Laxative
80,1,herb_balances_dosha,Balancing,Medium,Warming,Stimulating
80,2,herb_balances_dosha,Balancing,High,Warming,Stimulating
81,2,herb_balances_dosha,Balancing,High,Cooling,Astringent
81,3,herb_balances_dosha,Balancing,Medium,Drying,Astringent
82,1,herb_balances_dosha,Balancing,Medium,Warming,Digestive stimulant
82,2,herb_balances_dosha,Balancing,High,Warming,Digestive stimulant
83,1,herb_balances_dosha,Balancing,Medium,Warming,Stimulating
83,3,herb_balances_dosha,Balancing,High,Warming,Drying
84,1,herb_balances_dosha,Balancing,Medium,Warming,Stimulating
84,3,herb_balances_dosha,Balancing,High,Warming,Drying
85,1,herb_balances_dosha,Balancing,Medium,Warming,Digestive stimulant
85,2,herb_balances_dosha,Balancing,High,Warming,Digestive stimulant
86,1,herb_balances_dosha,Balancing,Medium,Warming,Digestive stimulant
86,3,herb_balances_dosha,Balancing,High,Warming,Digestive stimulant
87,1,herb_balances_dosha,Balancing,Medium,Warming,Digestive stimulant
87,3,herb_balances_dosha,Balancing,High,Warming,Digestive stimulant
88,2,herb_balances_dosha,Balancing,High,Cooling,Digestive stimulant
88,3,herb_balances_dosha,Balancing,Medium,Drying,Digestive stimulant
89,1,herb_balances_dosha,Balancing,High,Drying,Diuretic
89,3,herb_balances_dosha,Balancing,Medium,Drying,Diuretic
90,1,herb_balances_dosha,Balancing,High,Drying,Diuretic
90,3,herb_balances_dosha,Balancing,Medium,Drying,Diuretic
91,1,herb_balances_dosha,Balancing,Medium,Drying,Diuretic
91,3,herb_balances_dosha,Balancing,High,Drying,Diuretic
92,1,herb_balances_dosha,Balancing,High,Drying,Diuretic
92,3,herb_balances_dosha,Balancing,Medium,Drying,Diuretic
93,1,herb_balances_dosha,Balancing,Medium,Grounding,Immune boosting
93,2,herb_balances_dosha,Balancing,High,Cooling,Immune boosting
93,3,herb_balances_dosha,Balancing,Medium,Drying,Immune boosting
94,2,herb_balances_dosha,Balancing,High,Cooling,Anti-diabetic
94,3,herb_balances_dosha,Balancing,Medium,Drying,Anti-diabetic
95,2,herb_balances_dosha,Balancing,High,Cooling,Digestive stimulant
95,3,herb_balances_dosha,Balancing,Medium,Drying,Digestive stimulant
96,1,herb_balances_dosha,Balancing,Medium,Warming,Stimulating
96,3,herb_balances_dosha,Balancing,High,Warming,Drying
97,1,herb_balances_dosha,Balancing,Medium,Warming,Digestive stimulant
97,3,herb_balances_dosha,Balancing,High,Warming,Digestive stimulant
98,1,herb_balances_dosha,Balancing,Medium,Warming,Anti-inflammatory
98,2,herb_balances_dosha,Balancing,High,Warming,Anti-inflammatory
99,1,herb_balances_dosha,Balancing,Medium,Warming,Anti-inflammatory
99,2,herb_balances_dosha,Balancing,High,Warming,Anti-inflammatory
100,1,herb_balances_dosha,Balancing,Medium,Warming,Digestive stimulant
100,3,herb_balances_dosha,Balancing,High,Warming,"Digestive stimulant"
"203",3,herb_balances_dosha,Balancing,High,Warming,"Drying"" "
203,1,herb_balances_dosha,Balancing,High,Warming,Drying
204,1,herb_balances_dosha,Balancing,High,Grounding,Nourishing
204,3,herb_balances_dosha,Balancing,High,Grounding,Nourishing
205,1,herb_balances_dosha,Balancing,High,Grounding,Stimulating
205,3,herb_balances_dosha,Balancing,High,Grounding,Stimulating
1,3,herb_balances_dosha,Balancing,High,Cooling,Lightening
2,1,herb_balances_dosha,Balancing,Medium,Astringent,Diuretic
4,2,herb_balances_dosha,Balancing,Medium,Digestive stimulant,Nourishing
5,1,herb_balances_dosha,Balancing,Low,Grounding,Calming
6,2,herb_balances_dosha,Balancing,Low,Diuretic,Immunomodulatory
7,1,herb_balances_dosha,Balancing,Medium,Rejuvenating,Lightening
7,3,herb_balances_dosha,Balancing,High,Grounding,Immunomodulatory
8,3,herb_balances_dosha,Balancing,Medium,Grounding,Diuretic
9,2,herb_balances_dosha,Balancing,Medium,Rejuvenating,Nourishing
10,2,herb_balances_dosha,Balancing,Medium,Rejuvenating,Diuretic
11,1,herb_balances_dosha,Balancing,High,Cooling,Calming
12,2,herb_balances_dosha,Balancing,Medium,Grounding,Immunomodulatory
13,1,herb_balances_dosha,Balancing,Medium,Warming,Nourishing
14,3,herb_balances_dosha,Balancing,Medium,Astringent,Calming
15,3,herb_balances_dosha,Balancing,Low,Cooling,Calming
16,2,herb_balances_dosha,Balancing,High,Grounding,Nourishing
17,3,herb_balances_dosha,Balancing,Medium,Rejuvenating,Immunomodulatory
18,2,herb_balances_dosha,Balancing,High,Grounding,Calming
19,1,herb_balances_dosha,Balancing,High,Cooling,Calming
20,1,herb_balances_dosha,Balancing,Low,Grounding,Nourishing
21,1,herb_balances_dosha,Balancing,Medium,Cooling,Anti-inflammatory
23,3,herb_balances_dosha,Balancing,Low,Warming,Anti-inflammatory
24,2,herb_balances_dosha,Balancing,High,Rejuvenating,Nourishing
25,2,herb_balances_dosha,Balancing,Medium,Cooling,Immunomodulatory
26,2,herb_balances_dosha,Balancing,Medium,Astringent,Lightening
27,1,herb_balances_dosha,Balancing,Low,Rejuvenating,Calming
28,1,herb_balances_dosha,Balancing,Low,Warming,Immunomodulatory
29,2,herb_balances_dosha,Balancing,Low,Astringent,Lightening
30,3,herb_balances_dosha,Balancing,High,Digestive stimulant,Anti-inflammatory
31,2,herb_balances_dosha,Balancing,Low,Astringent,Lightening
32,2,herb_balances_dosha,Balancing,Medium,Warming,Immunomodulatory
33,3,herb_balances_dosha,Balancing,Medium,Digestive stimulant,Lightening
34,2,herb_balances_dosha,Balancing,Low,Diuretic,Anti-inflammatory
35,3,herb_balances_dosha,Balancing,Medium,Rejuvenating,Immunomodulatory
36,2,herb_balances_dosha,Balancing,High,Grounding,Calming
37,3,herb_balances_dosha,Balancing,Medium,Astringent,Lightening
38,2,herb_balances_dosha,Balancing,High,Astringent,Anti-inflammatory
39,3,herb_balances_dosha,Balancing,Low,Cooling,Nourishing
40,2,herb_balances_dosha,Balancing,High,Cooling,Anti-inflammatory
41,1,herb_balances_dosha,Balancing,High,Diuretic,Nourishing
42,3,herb_balances_dosha,Balancing,Low,Warming,Lightening
43,2,herb_balances_dosha,Balancing,Low,Grounding,Nourishing
44,2,herb_balances_dosha,Balancing,High,Astringent,Lightening
45,2,herb_balances_dosha,Balancing,Medium,Grounding,Calming
46,2,herb_balances_dosha,Balancing,Medium,Digestive stimulant,Calming
47,3,herb_balances_dosha,Balancing,Medium,Warming,Immunomodulatory
48,1,herb_balances_dosha,Balancing,Medium,Warming,Calming
49,1,herb_balances_dosha,Balancing,Low,Warming,Immunomodulatory
50,1,herb_balances_dosha,Balancing,Medium,Astringent,Calming
51,1,herb_balances_dosha,Balancing,Medium,Astringent,Diuretic
52,2,herb_balances_dosha,Balancing,Low,Cooling,Nourishing
53,3,herb_balances_dosha,Balancing,Medium,Cooling,Lightening
54,1,herb_balances_dosha,Balancing,Medium,Diuretic,Calming
55,3,herb_balances_dosha,Balancing,High,Warming,Calming
56,3,herb_balances_dosha,Balancing,High,Digestive stimulant,Anti-inflammatory
57,3,herb_balances_dosha,Balancing,Low,Diuretic,Anti-inflammatory
58,3,herb_balances_dosha,Balancing,Medium,Digestive stimulant,Immunomodulatory
59,2,herb_balances_dosha,Balancing,Low,Digestive stimulant,Calming
60,2,herb_balances_dosha,Balancing,Medium,Rejuvenating,Immunomodulatory
61,3,herb_balances_dosha,Balancing,Medium,Digestive stimulant,Diuretic
62,1,herb_balances_dosha,Balancing,High,Rejuvenating,Calming
63,2,herb_balances_dosha,Balancing,Low,Diuretic,Diuretic
64,1,herb_balances_dosha,Balancing,High,Rejuvenating,Anti-inflammatory
65,2,herb_balances_dosha,Balancing,High,Astringent,Diuretic
66,3,herb_balances_dosha,Balancing,High,Rejuvenating,Immunomodulatory
67,2,herb_balances_dosha,Balancing,High,Warming,Nourishing
68,2,herb_balances_dosha,Balancing,Medium,Astringent,Lightening
69,2,herb_balances_dosha,Balancing,Low,Cooling,Calming
70,2,herb_balances_dosha,Balancing,Medium,Digestive stimulant,Lightening
71,2,herb_balances_dosha,Balancing,Medium,Grounding,Nourishing
72,1,herb_balances_dosha,Balancing,High,Warming,Anti-inflammatory
73,1,herb_balances_dosha,Balancing,High,Astringent,Calming
74,2,herb_balances_dosha,Balancing,High,Warming,Anti-inflammatory
75,1,herb_balances_dosha,Balancing,Medium,Rejuvenating,Anti-inflammatory
76,1,herb_balances_dosha,Balancing,High,Digestive stimulant,Immunomodulatory
77,1,herb_balances_dosha,Balancing,Low,Grounding,Anti-inflammatory
78,1,herb_balances_dosha,Balancing,High,Rejuvenating,Anti-inflammatory
79,3,herb_balances_dosha,Balancing,Medium,Digestive stimulant,Nourishing
80,3,herb_balances_dosha,Balancing,Medium,Astringent,Calming
81,1,herb_balances_dosha,Balancing,Medium,Grounding,Diuretic
82,3,herb_balances_dosha,Balancing,Low,Warming,Diuretic
83,2,herb_balances_dosha,Balancing,High,Digestive stimulant,Immunomodulatory
84,2,herb_balances_dosha,Balancing,Low,Astringent,Calming
85,3,herb_balances_dosha,Balancing,High,Grounding,Anti-inflammatory
86,2,herb_balances_dosha,Balancing,High,Diuretic,Anti-inflammatory
87,2,herb_balances_dosha,Balancing,Low,Astringent,Nourishing
88,1,herb_balances_dosha,Balancing,Medium,Digestive stimulant,Anti-inflammatory
89,2,herb_balances_dosha,Balancing,Medium,Digestive stimulant,Diuretic
90,2,herb_balances_dosha,Balancing,Low,Cooling,Lightening
91,2,herb_balances_dosha,Balancing,Low,Cooling,Immunomodulatory
92,2,herb_balances_dosha,Balancing,High,Grounding,Nourishing
94,1,herb_balances_dosha,Balancing,Low,Rejuvenating,Calming
95,1,herb_balances_dosha,Balancing,Low,Rejuvenating,Immunomodulatory
96,2,herb_balances_dosha,Balancing,Medium,Diuretic,Anti-inflammatory
97,2,herb_balances_dosha,Balancing,Low,Diuretic,Lightening
98,3,herb_balances_dosha,Balancing,Low,Grounding,Lightening
99,3,herb_balances_dosha,Balancing,Medium,Warming,Calming
100,2,herb_balances_dosha,Balancing,High,Digestive stimulant,Anti-inflammatory
101,1,herb_balances_dosha,Balancing,High,Rejuvenating,Calming
101,2,herb_balances_dosha,Balancing,High,Cooling,Anti-inflammatory
101,3,herb_balances_dosha,Balancing,Low,Grounding,Immunomodulatory
102,1,herb_balances_dosha,Balancing,Medium,Grounding,Immunomodulatory
102,2,herb_balances_dosha,Balancing,Low,Cooling,Nourishing
102,3,herb_balances_dosha,Balancing,Medium,Diuretic,Anti-inflammatory
103,1,herb_balances_dosha,Balancing,High,Astringent,Calming
103,2,herb_balances_dosha,Balancing,High,Astringent,Anti-inflammatory
103,3,herb_balances_dosha,Balancing,Low,Grounding,Anti-inflammatory
104,1,herb_balances_dosha,Balancing,High,Digestive stimulant,Anti-inflammatory
104,2,herb_balances_dosha,Balancing,Medium,Astringent,Lightening
104,3,herb_balances_dosha,Balancing,Medium,Astringent,Anti-inflammatory
105,1,herb_balances_dosha,Balancing,High,Grounding,Nourishing
105,2,herb_balances_dosha,Balancing,Medium,Grounding,Anti-inflammatory
105,3,herb_balances_dosha,Balancing,Low,Diuretic,Calming
106,1,herb_balances_dosha,Balancing,Low,Diuretic,Nourishing
106,2,herb_balances_dosha,Balancing,Medium,Diuretic,Lightening
106,3,herb_balances_dosha,Balancing,High,Diuretic,Immunomodulatory
107,1,herb_balances_dosha,Balancing,High,Warming,Nourishing
107,2,herb_balances_dosha,Balancing,Medium,Digestive stimulant,Immunomodulatory
107,3,herb_balances_dosha,Balancing,Low,Rejuvenating,Lightening
108,1,herb_balances_dosha,Balancing,Low,Astringent,Lightening
108,2,herb_balances_dosha,Balancing,Low,Grounding,Nourishing
108,3,herb_balances_dosha,Balancing,High,Diuretic,Immunomodulatory
109,1,herb_balances_dosha,Balancing,High,Diuretic,Lightening
109,2,herb_balances_dosha,Balancing,Medium,Diuretic,Lightening
109,3,herb_balances_dosha,Balancing,Low,Digestive stimulant,Immunomodulatory
110,1,herb_balances_dosha,Balancing,Low,Diuretic,Diuretic
110,2,herb_balances_dosha,Balancing,High,Diuretic,Immunomodulatory
110,3,herb_balances_dosha,Balancing,Medium,Warming,Anti-inflammatory
111,1,herb_balances_dosha,Balancing,Low,Digestive stimulant,Immunomodulatory
111,2,herb_balances_dosha,Balancing,Medium,Cooling,Anti-inflammatory
111,3,herb_balances_dosha,Balancing,Low,Digestive stimulant,Anti-inflammatory
112,1,herb_balances_dosha,Balancing,Low,Astringent,Anti-inflammatory
112,2,herb_balances_dosha,Balancing,High,Grounding,Lightening
112,3,herb_balances_dosha,Balancing,Low,Astringent,Lightening
113,1,herb_balances_dosha,Balancing,Medium,Warming,Calming
113,2,herb_balances_dosha,Balancing,Medium,Diuretic,Immunomodulatory
113,3,herb_balances_dosha,Balancing,Low,Warming,Lightening
114,1,herb_balances_dosha,Balancing,Medium,Diuretic,Nourishing
114,2,herb_balances_dosha,Balancing,Medium,Digestive stimulant,Diuretic
114,3,herb_balances_dosha,Balancing,Low,Diuretic,Nourishing
115,1,herb_balances_dosha,Balancing,High,Cooling,Diuretic
115,2,herb_balances_dosha,Balancing,High,Diuretic,Lightening
115,3,herb_balances_dosha,Balancing,Low,Diuretic,Anti-inflammatory
116,1,herb_balances_dosha,Balancing,Medium,Warming,Anti-inflammatory
116,2,herb_balances_dosha,Balancing,Low,Grounding,Diuretic
116,3,herb_balances_dosha,Balancing,Medium,Diuretic,Nourishing
117,1,herb_balances_dosha,Balancing,High,Astringent,Lightening
117,2,herb_balances_dosha,Balancing,Low,Cooling,Diuretic
117,3,herb_balances_dosha,Balancing,Low,Cooling,Calming
118,1,herb_balances_dosha,Balancing,Medium,Warming,Immunomodulatory
118,2,herb_balances_dosha,Balancing,High,Astringent,Lightening
118,3,herb_balances_dosha,Balancing,Low,Cooling,Calming
119,1,herb_balances_dosha,Balancing,Medium,Grounding,Lightening
119,2,herb_balances_dosha,Balancing,Low,Grounding,Nourishing
119,3,herb_balances_dosha,Balancing,High,Digestive stimulant,Immunomodulatory
120,1,herb_balances_dosha,Balancing,Medium,Astringent,Anti-inflammatory
120,2,herb_balances_dosha,Balancing,Low,Astringent,Lightening
120,3,herb_balances_dosha,Balancing,High,Cooling,Lightening
121,1,herb_balances_dosha,Balancing,Medium,Grounding,Anti-inflammatory
121,2,herb_balances_dosha,Balancing,Medium,Diuretic,Immunomodulatory
121,3,herb_balances_dosha,Balancing,High,Grounding,Lightening
122,1,herb_balances_dosha,Balancing,Low,Grounding,Lightening
122,2,herb_balances_dosha,Balancing,Medium,Astringent,Diuretic
122,3,herb_balances_dosha,Balancing,High,Astringent,Lightening
123,1,herb_balances_dosha,Balancing,Medium,Warming,Diuretic
123,2,herb_balances_dosha,Balancing,High,Cooling,Lightening
123,3,herb_balances_dosha,Balancing,Low,Rejuvenating,Immunomodulatory
124,1,herb_balances_dosha,Balancing,High,Grounding,Nourishing
124,2,herb_balances_dosha,Balancing,Low,Diuretic,Immunomodulatory
124,3,herb_balances_dosha,Balancing,Medium,Rejuvenating,Lightening
125,1,herb_balances_dosha,Balancing,Medium,Astringent,Anti-inflammatory
125,2,herb_balances_dosha,Balancing,Medium,Cooling,Immunomodulatory
125,3,herb_balances_dosha,Balancing,High,Diuretic,Anti-inflammatory
126,1,herb_balances_dosha,Balancing,Low,Cooling,Anti-inflammatory
126,2,herb_balances_dosha,Balancing,Medium,Warming,Calming
126,3,herb_balances_dosha,Balancing,High,Diuretic,Immunomodulatory
127,1,herb_balances_dosha,Balancing,High,Diuretic,Diuretic
127,2,herb_balances_dosha,Balancing,Medium,Warming,Diuretic
127,3,herb_balances_dosha,Balancing,Medium,Digestive stimulant,Nourishing
128,1,herb_balances_dosha,Balancing,Low,Grounding,Lightening
128,2,herb_balances_dosha,Balancing,High,Cooling,Diuretic
128,3,herb_balances_dosha,Balancing,High,Warming,Immunomodulatory
129,1,herb_balances_dosha,Balancing,High,Warming,Calming
129,2,herb_balances_dosha,Balancing,Medium,Warming,Nourishing
129,3,herb_balances_dosha,Balancing,Low,Warming,Anti-inflammatory
130,1,herb_balances_dosha,Balancing,Medium,Astringent,Nourishing
130,2,herb_balances_dosha,Balancing,Low,Warming,Anti-inflammatory
130,3,herb_balances_dosha,Balancing,High,Digestive stimulant,Calming
131,1,herb_balances_dosha,Balancing,Low,Rejuvenating,Anti-inflammatory
131,2,herb_balances_dosha,Balancing,Low,Grounding,Nourishing
131,3,herb_balances_dosha,Balancing,High,Digestive stimulant,Immunomodulatory
132,1,herb_balances_dosha,Balancing,Low,Grounding,Immunomodulatory
132,2,herb_balances_dosha,Balancing,Low,Diuretic,Immunomodulatory
132,3,herb_balances_dosha,Balancing,Low,Grounding,Diuretic
133,1,herb_balances_dosha,Balancing,Low,Warming,Nourishing
133,2,herb_balances_dosha,Balancing,Medium,Diuretic,Diuretic
133,3,herb_balances_dosha,Balancing,High,Astringent,Immunomodulatory
134,1,herb_balances_dosha,Balancing,Low,Digestive stimulant,Diuretic
134,2,herb_balances_dosha,Balancing,Medium,Grounding,Lightening
134,3,herb_balances_dosha,Balancing,High,Digestive stimulant,Calming
135,1,herb_balances_dosha,Balancing,Medium,Astringent,Diuretic
135,2,herb_balances_dosha,Balancing,Medium,Grounding,Nourishing
135,3,herb_balances_dosha,Balancing,Medium,Rejuvenating,Lightening
136,1,herb_balances_dosha,Balancing,Low,Warming,Calming
