node_id,name,scientific_name,taste,energy,post_digestive_effect,primary_dosha_balance,secondary_dosha_balance,region,properties,uses,contraindications,medicine_forms,rasa,guna,virya,vipaka,prabhava,reduces_vata,reduces_pitta,reduces_kapha,anti_inflammatory,analgesic,carminative,antimicrobial,antioxidant,hepatoprotective,anxiolytic,antipyretic,alkaloids,flavonoids,terpenoids,phenols,tannins,saponins,glycosides,lignans,sterols,coumarins,dosha_vata,dosha_pitta,dosha_kapha
15,Pippali,Piper longum,Pungent,Hot,Sweet,Kapha,Vata,Bihar,"Carminative, Digestive stimulant, Rejuvenative, Anti-inflammatory","Digestive disorders, Respiratory issues, Male infertility","Bleeding disorders, Pitta excess","Churna (powder), Vati (tablets), Kwatha (decoction), Avaleha (jam)",Pungent,Bland,Hot,Sweet,Galactagogue,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,-2,3,-3
16,Gokshura,Tribulus terrestris,Sweet,Astringent,Sweet,Vata,Kapha,Rajasthan,"Diuretic, Aphrodisiac, Cooling, Anti-lithic","Urinary disorders, Kidney stones, Male infertility","Pregnancy, Pitta excess","Churna (powder), Kwatha (decoction), Vati (tablets)",Sweet,"Mobile,Subtle,Heavy",Cold,Sweet,Galactagogue,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,-2,2
17,Shankhapushpi,Convolvulus pluricaulis,Sweet,Astringent,Sweet,Vata,Pitta,Uttar Pradesh,"Nootropic, Anxiolytic, Anti-epileptic, Cardiotonic","Memory enhancement, Anxiety, Insomnia, Heart disease","Pregnancy, Bradycardia","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee)",Sweet,Clear,Hot,Sweet,Demulcent,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-3,-2,1
18,Jatamansi,Nardostachys jatamansi,Bitter,Sweet,Astringent,Vata,Kapha,Uttarakhand,"Sedative, Anxiolytic, Anti-epileptic, Cardiotonic","Insomnia, Anxiety, Epilepsy, Heart palpitations","Pregnancy, Depression","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee), Taila (oil)",Bitter,"Sticky,Cloudy",Cold,Astringent,Diaphoretic,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,-2,-1
19,Bhringraj,Eclipta alba,Bitter,Pungent,Sweet,Kapha,Pitta,Assam,"Hair tonic, Hepatoprotective, Anti-inflammatory, Antimicrobial","Hair loss, Liver disorders, Skin diseases","Pregnancy, Diarrhea","Churna (powder), Kwatha (decoction), Taila (oil), Vati (tablets), Swarasa (juice)",Bitter,"Soft,Clear,Light",Hot,Sweet,Rejuvenating,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,3,-2,-3
20,Manjistha,Rubia cordifolia,Bitter,Sweet,Sweet,Pitta,Kapha,Himachal Pradesh,"Blood purifier, Anti-inflammatory, Antimicrobial, Cooling","Skin diseases, Blood disorders, Urinary issues","Pregnancy, Low blood pressure","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee)",Bitter,Sharp,Cold,Sweet,Analgesic,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,-3,-2
21,Kutki,Picrorhiza kurroa,Bitter,Cool,Sweet,Pitta,Kapha,Himachal Pradesh,"Hepatoprotective, Anti-inflammatory, Immunomodulatory, Bitter tonic","Liver disorders, Digestive issues, Fever, Skin diseases","Pregnancy, Weak digestion","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee)",Bitter,"Sharp,Mobile",Cold,Sweet,Diaphoretic,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,3,-3,-2
22,Guduchi,Tinospora cordifolia,Bitter,Sweet,Sweet,All,All,India,"Immunomodulatory, Anti-inflammatory, Antipyretic, Rejuvenative","Fever, Immunity, Digestive disorders, Skin diseases","Pregnancy, Autoimmune conditions","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee), Avaleha (jam)",Bitter,Mobile,Hot,Sweet,Analgesic,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,-2,-3
23,Amla,Phyllanthus emblica,Sour,Sweet,Sweet,Pitta,All,Uttarakhand,"Rich in Vitamin C, Antioxidant, Immunomodulatory, Hepatoprotective","Immunity, Hair care, Digestion, Anti-aging","Diarrhea, Hyperacidity","Churna (powder), Kwatha (decoction), Avaleha (jam), Vati (tablets), Ghrita (ghee)",Sour,"Dry,Sharp,Cloudy",Hot,Sweet,Aphrodisiac,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,2,1,0
24,Chitrak,Plumbago zeylanica,Pungent,Hot,Sweet,Kapha,Vata,Rajasthan,"Digestive stimulant, Carminative, Anti-inflammatory, Anthelmintic","Digestive disorders, Abdominal pain, Parasitic infections","Pregnancy, Ulcers","Churna (powder), Kwatha (decoction), Vati (tablets)",Pungent,Smooth,Hot,Sweet,Nervine tonic,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-2,3,-3
25,Punarnava,Boerhavia diffusa,Bitter,Astringent,Sweet,Vata,Kapha,Uttar Pradesh,"Diuretic, Anti-inflammatory, Cardiotonic, Hepatoprotective","Edema, Heart disease, Liver disorders, Urinary issues","Pregnancy, Dehydration","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee)",Bitter,Firm,Cold,Sweet,Aphrodisiac,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,-2,-2
26,Mustak,Cyperus rotundus,Bitter,Astringent,Sweet,Kapha,Vata,Bihar,"Carminative, Digestive stimulant, Anti-inflammatory, Anti-spasmodic","Digestive disorders, Diarrhea, Menstrual disorders","Pregnancy, Excess Vata","Churna (powder), Kwatha (decoction), Vati (tablets)",Bitter,Clear,Cold,Sweet,Galactagogue,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2,-2
27,Haridra,Curcuma longa,Pungent,Bitter,Sweet,Kapha,Pitta,West Bengal,"Anti-inflammatory, Antioxidant, Hepatoprotective, Wound healing","Arthritis, Digestive disorders, Skin conditions, Liver disorders","Gallstones, Pregnancy","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee), Taila (oil)",Pungent,Liquid,Cold,Sweet,Detoxifying,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,-1,-3
28,Daru haridra,Berberis aristata,Bitter,Cool,Astringent,Pitta,Kapha,Himachal Pradesh,"Anti-inflammatory, Antimicrobial, Hepatoprotective, Antipyretic","Skin diseases, Liver disorders, Digestive issues, Fever","Pregnancy, Weak digestion","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee)",Bitter,"Stable,Light,Firm",Cold,Astringent,Demulcent,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,3,-3,-2
29,Sunth,Zingiber officinale,Pungent,Sweet,Sweet,Kapha,Vata,Asia,"Carminative, Anti-emetic, Circulatory stimulant, Anti-inflammatory","Digestion, Nausea, Cold, Arthritis","Bleeding disorders, Pitta excess","Churna (powder), Kwatha (decoction), Vati (tablets)",Pungent,Cloudy,Cold,Sweet,Galactagogue,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-2,1,-3
30,Mulethi,Glycyrrhiza glabra,Sweet,Sweet,Sweet,Vata,Pitta,Mediterranean,"Demulcent, Anti-inflammatory, Expectorant, Anti-ulcer","Respiratory disorders, Digestive ulcers, Skin diseases","Hypertension, Pregnancy","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee), Milk decoction",Sweet,"Smooth,Oily",Cold,Sweet,Analgesic,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,-3,-3,3
31,Kalonji,Nigella sativa,Pungent,Hot,Pungent,Kapha,Vata,Uttar Pradesh,"Carminative, Anti-inflammatory, Immunomodulatory, Galactagogue","Respiratory disorders, Digestive issues, Immunity, Lactation","Pregnancy, Bleeding disorders","Churna (powder), Taila (oil), Vati (tablets)",Pungent,"Cloudy,Hot",Hot,Pungent,Aphrodisiac,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-2,3,-3
32,Safed musli,Chlorophytum borivilianum,Sweet,Cool,Sweet,Vata,Kapha,Karnataka,"Aphrodisiac, Rejuvenative, Immunomodulatory, Anti-stress","Male infertility, General debility, Stress, Immunity","Pregnancy, Diabetes","Churna (powder), Kwatha (decoction), Vati (tablets), Milk decoction",Sweet,"Dense,Soft",Cold,Sweet,Detoxifying,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,-3,-2,2
33,Shilajit,Black bitumen,Bitter,Astringent,Sweet,Vata,Kapha,Himachal Pradesh,"Rejuvenative, Anti-inflammatory, Immunomodulatory, Aphrodisiac","General debility, Male infertility, Bone fractures, Immunity","Pregnancy, Hot constitution","Vati (tablets), Churna (powder), Kwatha (decoction), Ghrita (ghee)",Bitter,"Light,Subtle,Dry",Cold,Sweet,Diaphoretic,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,3,-2,-2
34,Vidarikanda,Pueraria tuberosa,Sweet,Cool,Sweet,Vata,Pitta,Karnataka,"Rejuvenative, Anti-inflammatory, Demulcent, Aphrodisiac","General debility, Male infertility, Digestive disorders, Fever","Pregnancy, Obesity","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee)",Sweet,"Liquid,Light,Subtle",Cold,Sweet,Detoxifying,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,-1,-3,3
35,Medhya herbs,Mixed herbs,Bitter,Sweet,Astringent,Vata,Pitta,Uttar Pradesh,"Nootropic, Memory enhancer, Cognitive function, Mental clarity","Memory enhancement, Cognitive decline, Mental fatigue, Concentration issues","Pregnancy, Bradycardia","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee)",Bitter,"Light,Liquid,Subtle",Hot,Astringent,Detoxifying,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,-2,-2
36,Rasna,Pluchea lanceolata,Bitter,Pungent,Sweet,Vata,Kapha,Gujarat,"Anti-inflammatory, Analgesic, Anti-arthritic, Expectorant","Arthritis, Joint pain, Respiratory disorders, Muscle pain","Pregnancy, Bleeding disorders","Churna (powder), Kwatha (decoction), Taila (oil), Vati (tablets)",Bitter,Oily,Hot,Sweet,Analgesic,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,-3
37,Eranda,Ricinus communis,Pungent,Hot,Sweet,Vata,Pitta,Maharashtra,"Laxative, Anti-inflammatory, Analgesic, Anti-arthritic","Constipation, Arthritis, Skin diseases, Joint pain","Pregnancy, Diarrhea","Churna (powder), Taila (oil), Vati (tablets)",Pungent,Cold,Hot,Sweet,Demulcent,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,-1,1,-3
38,Nirgundi,Vitex negundo,Bitter,Pungent,Pungent,Vata,Kapha,Madhya Pradesh,"Anti-inflammatory, Analgesic, Anti-arthritic, Expectorant","Arthritis, Joint pain, Respiratory disorders, Skin diseases","Pregnancy, Bleeding disorders","Churna (powder), Kwatha (decoction), Taila (oil), Vati (tablets)",Bitter,"Sharp,Light",Hot,Pungent,Rejuvenating,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,-3
39,Bhallataka,Semicarpus anacardium,Pungent,Hot,Pungent,Kapha,Vata,Goa,"Anti-inflammatory, Analgesic, Anti-arthritic, Digestive stimulant","Arthritis, Digestive disorders, Skin diseases, Joint pain","Pregnancy, Ulcers","Churna (powder), Vati (tablets), Taila (oil)",Pungent,"Mobile,Heavy,Clear",Hot,Pungent,Diaphoretic,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,-1,3,-3
40,Asthisrinkhala,Cissus quadrangularis,Bitter,Astringent,Sweet,Vata,Kapha,Karnataka,"Bone healer, Anti-inflammatory, Analgesic, Rejuvenative","Fractures, Osteoporosis, Joint pain, Bone health","Pregnancy, Excess Kapha","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee)",Bitter,"Oily,Rough,Heavy",Hot,Sweet,Rejuvenative,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-2
41,Karavellaka,Momordica charantia,Bitter,Cool,Sweet,Pitta,Kapha,Tamil Nadu,"Anti-diabetic, Anti-inflammatory, Hepatoprotective, Digestive","Diabetes, Liver disorders, Digestive issues, Skin diseases","Pregnancy, Weak digestion","Churna (powder), Kwatha (decoction), Vati (tablets), Swarasa (juice)",Bitter,Clear,Cold,Sweet,Analgesic,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,-3,-2
42,Madhuyasti,Glycyrrhiza glabra,Sweet,Sweet,Sweet,Vata,Pitta,Mediterranean,"Demulcent, Anti-inflammatory, Expectorant, Anti-ulcer","Respiratory disorders, Digestive ulcers, Skin diseases","Hypertension, Pregnancy","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee), Milk decoction",Sweet,"Oily,Subtle",Cold,Sweet,Galactagogue,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-2,-3,3
43,Devadaru,Cedrus deodara,Bitter,Astringent,Sweet,Kapha,Vata,Uttarakhand,"Anti-inflammatory, Analgesic, Anti-arthritic, Expectorant","Arthritis, Respiratory disorders, Skin diseases, Joint pain","Pregnancy, Bleeding disorders","Churna (powder), Kwatha (decoction), Taila (oil), Vati (tablets)",Bitter,"Dry,Cloudy,Oily",Cold,Sweet,Rejuvenative,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,-2,-1
44,Bala,Sida cordifolia,Sweet,Cool,Sweet,Vata,Kapha,Uttar Pradesh,"Muscle strengthener, Anti-inflammatory, Rejuvenative, Demulcent","Muscle weakness, Arthritis, General debility, Skin diseases","Pregnancy, Obesity","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee)",Sweet,"Sticky,Subtle,Sharp",Cold,Sweet,Analgesic,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,-2,-1,2
45,Atibala,Abutilon indicum,Sweet,Cool,Sweet,Vata,Kapha,Uttar Pradesh,"Muscle strengthener, Anti-inflammatory, Rejuvenative, Demulcent","Muscle weakness, Arthritis, General debility, Skin diseases","Pregnancy, Obesity","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee)",Sweet,"Cold,Bland,Soft",Cold,Sweet,Diaphoretic,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,-2,-2,1
46,Kantakari,Solanum xanthocarpum,Bitter,Pungent,Sweet,Kapha,Vata,Bihar,"Expectorant, Anti-inflammatory, Analgesic, Anti-asthmatic","Respiratory disorders, Asthma, Cough, Throat diseases","Pregnancy, Bleeding disorders","Churna (powder), Kwatha (decoction), Vati (tablets), Swarasa (juice)",Bitter,"Dry,Cold,Soft",Hot,Sweet,Carminative,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,2,0,-3
47,Kashmarya,Gmelina arborea,Bitter,Sweet,Sweet,Vata,Pitta,Madhya Pradesh,"Cooling, Rejuvenative, Anti-inflammatory, Hepatoprotective","Fever, Liver disorders, Digestive issues, Skin diseases","Pregnancy, Weak digestion","Churna (powder), Kwatha (decoction), Vati (tablets)",Bitter,"Light,Mobile",Cold,Sweet,Aphrodisiac,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,-3,0
48,Parushaka,Terminalia arjuna,Astringent,Sweet,Astringent,Kapha,Vata,Tamil Nadu,"Cardiotonic, Astringent, Cooling, Hemostatic","Heart disease, Bleeding disorders, Skin diseases","Pregnancy, Constipation","Churna (powder), Kwatha (decoction), Vati (tablets)",Astringent,Clear,Hot,Astringent,Galactagogue,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-3
49,Udumbara,Ficus racemosa,Sweet,Astringent,Sweet,Vata,Kapha,Karnataka,"Astringent, Cooling, Anti-inflammatory, Hemostatic","Bleeding disorders, Skin diseases, Digestive issues, Urinary disorders","Pregnancy, Constipation","Churna (powder), Kwatha (decoction), Vati (tablets)",Sweet,Light,Hot,Sweet,Carminative,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,-2,0,-1
50,Plaksha,Ficus infectoria,Astringent,Cool,Sweet,Vata,Kapha,Karnataka,"Astringent, Cooling, Anti-inflammatory, Hemostatic","Bleeding disorders, Skin diseases, Digestive issues, Urinary disorders","Pregnancy, Constipation","Churna (powder), Kwatha (decoction), Vati (tablets)",Astringent,Light,Cold,Sweet,Detoxifying,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,-2,-2
51,Khadira,Acacia catechu,Bitter,Astringent,Sweet,Pitta,Kapha,Rajasthan,"Astringent, Anti-inflammatory, Antimicrobial, Cooling","Skin diseases, Bleeding disorders, Digestive issues, Mouth diseases","Pregnancy, Constipation","Churna (powder), Kwatha (decoction), Vati (tablets), Kashaya (decoction)",Bitter,"Sharp,Rough,Soft",Hot,Sweet,Detoxifying,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,2,0,-3
52,Arka,Calotropis procera,Bitter,Pungent,Pungent,Kapha,Vata,Rajasthan,"Anti-inflammatory, Analgesic, Anti-arthritic, Expectorant","Arthritis, Skin diseases, Respiratory disorders, Joint pain","Pregnancy, Bleeding disorders","Churna (powder), Kwatha (decoction), Vati (tablets), Taila (oil)",Bitter,"Cold,Stable",Hot,Pungent,Analgesic,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,-3
53,Apamarga,Achyranthes aspera,Bitter,Astringent,Sweet,Vata,Pitta,Uttar Pradesh,"Diuretic, Anti-inflammatory, Anti-lithic, Hemostatic","Urinary disorders, Kidney stones, Bleeding disorders, Skin diseases","Pregnancy, Dehydration","Churna (powder), Kwatha (decoction), Vati (tablets)",Bitter,Oily,Hot,Sweet,Diaphoretic,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-2,-1
54,Bilva,Aegle marmelos,Bitter,Astringent,Sweet,Vata,Kapha,Madhya Pradesh,"Astringent, Digestive stimulant, Anti-diabetic, Anti-inflammatory","Digestive disorders, Diabetes, Dysentery, Skin diseases","Pregnancy, Constipation","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee)",Bitter,"Liquid,Soft,Clear",Cold,Sweet,Rejuvenating,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,-2
55,Draksha,Vitis vinifera,Sweet,Cool,Sweet,Vata,Kapha,Maharashtra,"Rejuvenative, Cooling, Cardiotonic, Laxative","General debility, Heart disease, Constipation, Skin diseases","Diabetes, Obesity","Churna (powder), Kwatha (decoction), Avaleha (jam), Ghrita (ghee)",Sweet,"Light,Mobile",Cold,Sweet,Rejuvenative,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-1,-2,1
56,Priyangu,Calamus macrocephalus,Sweet,Cool,Sweet,Vata,Pitta,Uttarakhand,"Nootropic, Rejuvenative, Cooling, Digestive","Memory enhancement, Digestive disorders, Fever, Skin diseases","Pregnancy, Obesity","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee)",Sweet,Oily,Cold,Sweet,Aphrodisiac,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,-3,-3,3
57,Jeevanti,Leptadenia reticulata,Sweet,Cool,Sweet,Vata,Pitta,Himachal Pradesh,"Rejuvenative, Anti-inflammatory, Cooling, Lactogogue","General debility, Lactation, Fever, Skin diseases","Pregnancy, Obesity","Churna (powder), Kwatha (decoction), Vati (tablets), Ghrita (ghee)",Sweet,Rough,Cold,Sweet,Aphrodisiac,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,-3,-3,3
