relationship_id,herb_id,symptom_id,effectiveness_score,classical_reference,dosage_for_symptom,preparation_method,duration_of_treatment,supporting_herbs
R0049,H0049,S0017,0.9,Charaka Samhita,8 gm BD,Bhasma,56 days,"H0050, H0048"
R0050,H0050,S0003,0.67,Sushruta Samhita,4 gm QDS,Churna,42 days,"H0049, H0084"
R0051,H0051,S0012,0.88,Ashtanga Hridaya,3 gm BD,Kwatha,21 days,"H0029, H0055"
R0052,H0052,S0039,0.75,Madhava Nidana,5 gm TDS,Taila,84 days,"H0081, H0089"
R0053,H0053,S0024,0.82,Bhavaprakasha,7 gm BD,Ghrita,35 days,"H0040, H0078"
R0054,H0054,S0002,0.94,Yoga Ratnakara,2 gm QDS,Lehya,77 days,"H0012, H0094"
R0055,H0055,S0042,0.69,Sharangdhara Samhita,4 gm TDS,Vati,28 days,"H0010, H0051"
R0056,H0056,S0018,0.87,Kashyapa Samhita,6 gm BD,Bhasma,49 days,"H0027, H0061"
R0057,H0057,S0024,0.73,Charaka Samhita,3 gm QDS,Churna,63 days,"H0004, H0077"
R0058,H0058,S0056,0.91,Sushruta Samhita,8 gm TDS,Kwatha,14 days,"H0013, H0032"
R0059,H0059,S0018,0.66,Ashtanga Hridaya,5 gm BD,Taila,91 days,"H0014, H0060"
R0060,H0060,S0018,0.89,Madhava Nidana,7 gm QDS,Ghrita,56 days,"H0014, H0059"
R0061,H0061,S0018,0.76,Bhavaprakasha,2 gm TDS,Lehya,42 days,"H0025, H0056"
R0062,H0062,S0018,0.84,Yoga Ratnakara,4 gm BD,Vati,21 days,"H0038, H0065"
R0063,H0063,S0003,0.72,Sharangdhara Samhita,6 gm QDS,Bhasma,84 days,"H0064, H0073"
R0064,H0064,S0003,0.95,Kashyapa Samhita,3 gm TDS,Churna,35 days,"H0063, H0084"
R0065,H0065,S0003,0.68,Charaka Samhita,8 gm BD,Kwatha,70 days,"H0062, H0083"
R0066,H0066,S0003,0.86,Sushruta Samhita,1 gm QDS,Taila,28 days,"H0067, H0087"
R0067,H0067,S0003,0.79,Ashtanga Hridaya,5 gm TDS,Ghrita,49 days,"H0024, H0066"
R0068,H0068,S0018,0.93,Madhava Nidana,7 gm BD,Lehya,63 days,"H0026, H0090"
R0069,H0069,S0028,0.65,Bhavaprakasha,2 gm QDS,Vati,14 days,"H0035, H0070"
R0070,H0070,S0030,0.88,Yoga Ratnakara,4 gm TDS,Bhasma,91 days,"H0003, H0069"
R0071,H0071,S0021,0.74,Sharangdhara Samhita,6 gm BD,Churna,56 days,"H0021, H0048"
R0072,H0072,S0021,0.91,Kashyapa Samhita,3 gm QDS,Kwatha,42 days,"H0041, H0073"
R0073,H0073,S0003,0.67,Charaka Samhita,8 gm TDS,Taila,21 days,"H0063, H0072"
R0074,H0074,S0021,0.85,Sushruta Samhita,5 gm BD,Ghrita,84 days,"H0022, H0075"
R0075,H0075,S0003,0.78,Ashtanga Hridaya,7 gm QDS,Lehya,35 days,"H0022, H0074"
R0076,H0076,S0003,0.92,Madhava Nidana,2 gm TDS,Vati,77 days,"H0033, H0089"
R0077,H0077,S0005,0.69,Bhavaprakasha,4 gm BD,Bhasma,28 days,"H0057, H0058"
R0078,H0078,S0024,0.87,Yoga Ratnakara,6 gm QDS,Churna,49 days,"H0053, H0091"
R0079,H0079,S0039,0.73,Sharangdhara Samhita,3 gm TDS,Kwatha,63 days,"H0047, H0080"
R0080,H0080,S0039,0.9,Kashyapa Samhita,8 gm BD,Taila,14 days,"H0079, H0081"
R0081,H0081,S0039,0.66,Charaka Samhita,5 gm QDS,Ghrita,91 days,"H0047, H0080"
R0082,H0082,S0039,0.88,Sushruta Samhita,7 gm TDS,Lehya,56 days,"H0047, H0079"
R0083,H0083,S0023,0.75,Ashtanga Hridaya,2 gm BD,Vati,42 days,"H0045, H0065"
R0084,H0084,S0003,0.83,Madhava Nidana,4 gm QDS,Bhasma,21 days,"H0050, H0064"
R0085,H0085,S0003,0.71,Bhavaprakasha,6 gm TDS,Churna,84 days,"H0030, H0048"
R0086,H0086,S0023,0.94,Yoga Ratnakara,3 gm BD,Kwatha,35 days,"H0045, H0083"
R0087,H0087,S0003,0.68,Sharangdhara Samhita,8 gm QDS,Taila,70 days,"H0041, H0066"
R0088,H0088,S0001,0.86,Kashyapa Samhita,1 gm TDS,Ghrita,28 days,"H0001, H0050"
R0089,H0089,S0039,0.79,Charaka Samhita,5 gm BD,Lehya,49 days,"H0052, H0076"
R0090,H0090,S0042,0.92,Sushruta Samhita,2 gm QDS,Vati,63 days,"H0037, H0068"
R0091,H0091,S0024,0.65,Ashtanga Hridaya,7 gm TDS,Bhasma,14 days,"H0015, H0078"
R0092,H0092,S0021,0.89,Madhava Nidana,4 gm BD,Churna,91 days,"H0046, H0093"
R0093,H0093,S0012,0.76,Bhavaprakasha,6 gm QDS,Kwatha,56 days,"H0051, H0092"
R0094,H0094,S0002,0.84,Yoga Ratnakara,3 gm TDS,Taila,42 days,"H0036, H0054"
R0095,H0095,S0042,0.72,Sharangdhara Samhita,8 gm BD,Ghrita,21 days,"H0096, H0097"
R0096,H0096,S0012,0.95,Kashyapa Samhita,5 gm QDS,Lehya,84 days,"H0095, H0100"
R0097,H0097,S0012,0.68,Charaka Samhita,2 gm TDS,Vati,35 days,"H0095, H0096"
R0098,H0098,S0012,0.87,Sushruta Samhita,7 gm BD,Bhasma,70 days,"H0099, H0100"
R0099,H0099,S0017,0.74,Ashtanga Hridaya,4 gm QDS,Churna,28 days,"H0098, H0100"
R0100,H0100,S0012,0.91,Madhava Nidana,6 gm TDS,Kwatha,49 days,"H0096, H0098"
