herb_id,herb_name_english,herb_name_sanskrit,herb_name_hindi,rasa_taste,virya_potency,vipaka_post_digestive_effect,prabhava_special_effect,vata_effect,pitta_effect,kapha_effect,part_used,preparation_method,dosage,contraindications,scientific_name,description
H0029,Ghrita,Ghrita,Ghee,Madhura,Sheeta,Madhura,Prabhava-21,Shamaka,Shamaka,Vardhaka,Extract,Churna,6 gm QDS,Pregnancy,Butyrum depuratum,Classical Ayurvedic herb with Madhura taste and Sheeta potency
H0030,Tila,Tila,Til,"Madhura, Tikta, Kashaya",Ushna,Madhura,Prabhava-58,Shamaka,Sama,Shamaka,Seed,Kwatha,2 gm TDS,None,Sesamum indicum,Classical Ayurvedic herb with Madhura Tikta and Kashaya taste and Ushna potency
H0031,Kumari,Kumari,Ghritkumari,"Tikta, Kashaya",Sheeta,Katu,Prabhava-82,Shamaka,Shamaka,Vardhaka,Leaf,Taila,8 gm BD,Hypertension,Aloe vera,Classical Ayurvedic herb with Tikta and Kashaya taste and Sheeta potency
H0032,Katuki,Katuki,Katuki,Tikta,Sheeta,Katu,Prabhava-38,Vardhaka,Shamaka,Shamaka,Root,Ghrita,4 gm QDS,Diabetes,Picrorhiza kurroa,Classical Ayurvedic herb with Tikta taste and Sheeta potency
H0033,Chitrakmool,Chitrakmool,Chitrak,Katu,Ushna,Katu,Prabhava-14,Shamaka,Sama,Shamaka,Root,Lehya,1 gm TDS,None,Plumbago zeylanica,Classical Ayurvedic herb with Katu taste and Ushna potency
H0034,Vidanga,Vidanga,Vidanga,"Katu, Tikta",Ushna,Katu,Prabhava-95,Shamaka,Vardhaka,Shamaka,Seed,Vati,7 gm BD,Liver Disease,Embelia ribes,Classical Ayurvedic herb with Katu and Tikta taste and Ushna potency
H0035,Vacha,Vacha,Bach,"Katu, Tikta",Ushna,Katu,Prabhava-49,Shamaka,Sama,Shamaka,Rhizome,Bhasma,5 gm QDS,Pregnancy,Acorus calamus,Classical Ayurvedic herb with Katu and Tikta taste and Ushna potency
H0036,Jyotishmati,Jyotishmati,Malkangani,"Tikta, Katu",Ushna,Katu,Prabhava-26,Shamaka,Shamaka,Shamaka,Seed,Churna,3 gm TDS,None,Celastrus paniculatus,Classical Ayurvedic herb with Tikta and Katu taste and Ushna potency
H0037,Kapikacchu,Kapikacchu,Kiwanch,"Madhura, Tikta",Ushna,Madhura,Prabhava-67,Shamaka,Sama,Vardhaka,Seed,Kwatha,9 gm BD,Hypertension,Mucuna pruriens,Classical Ayurvedic herb with Madhura and Tikta taste and Ushna potency
H0038,Gokshura,Gokshura,Gokhru,"Madhura, Tikta",Sheeta,Madhura,Prabhava-13,Shamaka,Shamaka,Sama,Fruit,Taila,6 gm QDS,Diabetes,Tribulus terrestris,Classical Ayurvedic herb with Madhura and Tikta taste and Sheeta potency
H0039,Shilajit,Shilajit,Shilajit,"Tikta, Katu, Kashaya",Sheeta,Katu,Prabhava-80,Shamaka,Shamaka,Shamaka,Mineral Extract,Ghrita,2 gm TDS,None,Asphaltum punjabinum,Classical Ayurvedic herb with Tikta Katu and Kashaya taste and Sheeta potency
H0040,Guggulu,Guggulu,Guggul,"Tikta, Katu",Ushna,Katu,Prabhava-35,Shamaka,Sama,Shamaka,Resin,Lehya,8 gm BD,Liver Disease,Commiphora mukul,Classical Ayurvedic herb with Tikta and Katu taste and Ushna potency
H0041,Devadaru,Devadaru,Devdar,"Tikta, Katu",Ushna,Katu,Prabhava-71,Vardhaka,Vardhaka,Shamaka,Bark,Vati,4 gm QDS,Pregnancy,Cedrus deodara,Classical Ayurvedic herb with Tikta and Katu taste and Ushna potency
H0042,Kushta,Kushta,Kuth,"Tikta, Katu, Madhura",Ushna,Katu,Prabhava-52,Shamaka,Sama,Shamaka,Root,Bhasma,1 gm TDS,None,Saussurea lappa,Classical Ayurvedic herb with Tikta Katu and Madhura taste and Ushna potency
H0043,Tagara,Tagara,Tagara,"Tikta, Katu, Kashaya",Ushna,Katu,Prabhava-8,Shamaka,Shamaka,Shamaka,Root,Churna,7 gm BD,Hypertension,Valeriana wallichii,Classical Ayurvedic herb with Tikta Katu and Kashaya taste and Ushna potency
H0044,Sariva,Sariva,Anantmool,"Madhura, Tikta",Sheeta,Madhura,Prabhava-94,Shamaka,Shamaka,Vardhaka,Root,Kwatha,5 gm QDS,Diabetes,Hemidesmus indicus,Classical Ayurvedic herb with Madhura and Tikta taste and Sheeta potency
H0045,Usheera,Usheera,Khus,"Tikta, Madhura",Sheeta,Madhura,Prabhava-43,Shamaka,Shamaka,Sama,Root,Taila,3 gm TDS,None,Vetiveria zizanioides,Classical Ayurvedic herb with Tikta and Madhura taste and Sheeta potency
H0046,Chandana,Chandana,Chandan,"Tikta, Madhura, Kashaya",Sheeta,Katu,Prabhava-19,Shamaka,Shamaka,Shamaka,Bark,Ghrita,9 gm BD,Liver Disease,Santalum album,Classical Ayurvedic herb with Tikta Madhura and Kashaya taste and Sheeta potency
H0047,Kumkuma,Kumkuma,Kesar,"Katu, Tikta",Ushna,Katu,Prabhava-76,Shamaka,Sama,Vardhaka,Flower,Lehya,6 gm QDS,Pregnancy,Crocus sativus,Classical Ayurvedic herb with Katu and Tikta taste and Ushna potency
H0048,Ela,Ela,Choti Elaichi,"Katu, Madhura",Sheeta,Madhura,Prabhava-25,Shamaka,Shamaka,Shamaka,Seed,Vati,2 gm TDS,None,Elettaria cardamomum,Classical Ayurvedic herb with Katu and Madhura taste and Sheeta potency
H0049,Twak,Twak,Dalchini,"Katu, Tikta, Madhura",Ushna,Katu,Prabhava-61,Shamaka,Vardhaka,Shamaka,Bark,Bhasma,8 gm BD,Hypertension,Cinnamomum verum,Classical Ayurvedic herb with Katu Tikta and Madhura taste and Ushna potency
H0050,Patra,Patra,Tejpatta,"Katu, Tikta",Ushna,Katu,Prabhava-37,Shamaka,Sama,Shamaka,Leaf,Churna,4 gm QDS,Diabetes,Cinnamomum tamala,Classical Ayurvedic herb with Katu and Tikta taste and Ushna potency
H0051,Bala,Bala,Bala,Madhura,Sheeta,Madhura,Prabhava-12,Shamaka,Shamaka,Vardhaka,Root,Kwatha,3 gm BD,None,Sida cordifolia,Classical Ayurvedic herb with Madhura taste and Sheeta potency
H0052,Eranda,Eranda,Arandi,"Madhura, Katu",Ushna,Madhura,Prabhava-45,Shamaka,Sama,Shamaka,Seed,Taila,5 gm TDS,Pregnancy,Ricinus communis,Classical Ayurvedic herb with Madhura and Katu taste and Ushna potency
H0053,Karanja,Karanja,Karanj,"Katu, Tikta",Ushna,Katu,Prabhava-67,Shamaka,Shamaka,Shamaka,Seed,Ghrita,7 gm BD,Liver Disease,Pongamia pinnata,Classical Ayurvedic herb with Katu and Tikta taste and Ushna potency
H0054,Rasna,Rasna,Rasna,"Tikta, Katu",Ushna,Katu,Prabhava-23,Shamaka,Sama,Shamaka,Root,Lehya,2 gm QDS,Hypertension,Pluchea lanceolata,Classical Ayurvedic herb with Tikta and Katu taste and Ushna potency
H0055,Jivanti,Jivanti,Jivanti,"Madhura, Tikta",Sheeta,Madhura,Prabhava-89,Shamaka,Shamaka,Vardhaka,Root,Vati,4 gm TDS,None,Leptadenia reticulata,Classical Ayurvedic herb with Madhura and Tikta taste and Sheeta potency
H0056,Vidari,Vidari,Vidari,Madhura,Sheeta,Madhura,Prabhava-34,Shamaka,Shamaka,Vardhaka,Root,Bhasma,6 gm BD,Diabetes,Pueraria tuberosa,Classical Ayurvedic herb with Madhura taste and Sheeta potency
H0057,Daruharidra,Daruharidra,Daruharidra,"Tikta, Kashaya",Ushna,Katu,Prabhava-78,Shamaka,Shamaka,Shamaka,Bark,Churna,3 gm QDS,None,Berberis aristata,Classical Ayurvedic herb with Tikta and Kashaya taste and Ushna potency
H0058,Chirayata,Chirayata,Chirayata,Tikta,Sheeta,Katu,Prabhava-56,Vardhaka,Shamaka,Shamaka,Whole Plant,Kwatha,8 gm TDS,Liver Disease,Swertia chirata,Classical Ayurvedic herb with Tikta taste and Sheeta potency
H0059,Gudmar,Gudmar,Gudmar,"Tikta, Kashaya",Ushna,Katu,Prabhava-91,Shamaka,Sama,Shamaka,Leaf,Taila,5 gm BD,Pregnancy,Gymnema sylvestre,Classical Ayurvedic herb with Tikta and Kashaya taste and Ushna potency
H0060,Karela,Karela,Karela,Tikta,Sheeta,Katu,Prabhava-12,Shamaka,Shamaka,Shamaka,Fruit,Ghrita,7 gm QDS,Hypertension,Momordica charantia,Classical Ayurvedic herb with Tikta taste and Sheeta potency
H0061,Jamun,Jamun,Jamun,"Madhura, Kashaya",Sheeta,Madhura,Prabhava-43,Shamaka,Shamaka,Vardhaka,Seed,Lehya,2 gm TDS,None,Syzygium cumini,Classical Ayurvedic herb with Madhura and Kashaya taste and Sheeta potency
H0062,Methi,Methi,Methi,"Tikta, Katu",Ushna,Katu,Prabhava-67,Shamaka,Sama,Shamaka,Seed,Vati,4 gm BD,Diabetes,Trigonella foenum-graecum,Classical Ayurvedic herb with Tikta and Katu taste and Ushna potency
H0063,Ajwain,Ajwain,Ajwain,"Katu, Tikta",Ushna,Katu,Prabhava-25,Shamaka,Vardhaka,Shamaka,Seed,Bhasma,6 gm QDS,None,Trachyspermum ammi,Classical Ayurvedic herb with Katu and Tikta taste and Ushna potency
H0064,Jeera,Jeera,Jeera,Katu,Ushna,Katu,Prabhava-78,Shamaka,Sama,Shamaka,Seed,Churna,3 gm TDS,Liver Disease,Cuminum cyminum,Classical Ayurvedic herb with Katu taste and Ushna potency
H0065,Dhania,Dhania,Dhania,"Madhura, Katu",Sheeta,Madhura,Prabhava-56,Shamaka,Shamaka,Sama,Seed,Kwatha,8 gm BD,Pregnancy,Coriandrum sativum,Classical Ayurvedic herb with Madhura and Katu taste and Sheeta potency
H0066,Hing,Hing,Hing,"Katu, Tikta",Ushna,Katu,Prabhava-89,Shamaka,Vardhaka,Shamaka,Resin,Taila,1 gm QDS,Hypertension,Ferula asafoetida,Classical Ayurvedic herb with Katu and Tikta taste and Ushna potency
H0067,Lasuna,Lasuna,Lahsun,"Katu, Madhura",Ushna,Katu,Prabhava-34,Shamaka,Sama,Shamaka,Bulb,Ghrita,5 gm TDS,None,Allium sativum,Classical Ayurvedic herb with Katu and Madhura taste and Ushna potency
H0068,Palandu,Palandu,Pyaz,"Madhura, Katu",Ushna,Madhura,Prabhava-12,Shamaka,Vardhaka,Vardhaka,Bulb,Lehya,7 gm BD,Diabetes,Allium cepa,Classical Ayurvedic herb with Madhura and Katu taste and Ushna potency
H0069,Bhringaraja,Bhringaraja,Bhringraj,"Tikta, Katu",Ushna,Katu,Prabhava-67,Shamaka,Shamaka,Shamaka,Leaf,Vati,2 gm QDS,None,Eclipta prostrata,Classical Ayurvedic herb with Tikta and Katu taste and Ushna potency
H0070,Brahmi Var2,Brahmi,Mandukaparni,Tikta,Sheeta,Madhura,Prabhava-45,Shamaka,Shamaka,Vardhaka,Leaf,Bhasma,4 gm TDS,Liver Disease,Centella asiatica,Classical Ayurvedic herb with Tikta taste and Sheeta potency
H0071,Jyesthimadhu,Jyesthimadhu,Mulethi,Madhura,Sheeta,Madhura,Prabhava-78,Shamaka,Shamaka,Vardhaka,Root,Churna,6 gm BD,Pregnancy,Glycyrrhiza glabra,Classical Ayurvedic herb with Madhura taste and Sheeta potency
H0072,Vasa,Vasa,Adusa,"Tikta, Kashaya",Sheeta,Katu,Prabhava-23,Shamaka,Shamaka,Shamaka,Leaf,Kwatha,3 gm QDS,Hypertension,Adhatoda vasica,Classical Ayurvedic herb with Tikta and Kashaya taste and Sheeta potency
H0073,Yavani,Yavani,Ajwain,"Katu, Tikta",Ushna,Katu,Prabhava-56,Shamaka,Sama,Shamaka,Seed,Taila,8 gm TDS,None,Trachyspermum ammi,Classical Ayurvedic herb with Katu and Tikta taste and Ushna potency
H0074,Pippali Mool,Pippali Mool,Piplamool,"Katu, Madhura",Ushna,Madhura,Prabhava-91,Shamaka,Vardhaka,Shamaka,Root,Ghrita,5 gm BD,Diabetes,Piper longum,Classical Ayurvedic herb with Katu and Madhura taste and Ushna potency
H0075,Chavya,Chavya,Chavya,Katu,Ushna,Katu,Prabhava-34,Shamaka,Sama,Shamaka,Fruit,Lehya,7 gm QDS,Liver Disease,Piper chaba,Classical Ayurvedic herb with Katu taste and Ushna potency
H0076,Chitrak,Chitrak,Chitrak,Katu,Ushna,Katu,Prabhava-67,Shamaka,Vardhaka,Shamaka,Root,Vati,2 gm TDS,Pregnancy,Plumbago zeylanica,Classical Ayurvedic herb with Katu taste and Ushna potency
H0077,Indrayava,Indrayava,Kutaja,"Tikta, Kashaya",Sheeta,Katu,Prabhava-45,Shamaka,Shamaka,Shamaka,Seed,Bhasma,4 gm BD,None,Holarrhena pubescens,Classical Ayurvedic herb with Tikta and Kashaya taste and Sheeta potency
H0078,Bakuchi,Bakuchi,Babchi,"Katu, Tikta",Ushna,Katu,Prabhava-78,Shamaka,Sama,Shamaka,Seed,Churna,6 gm QDS,Hypertension,Psoralea corylifolia,Classical Ayurvedic herb with Katu and Tikta taste and Ushna potency
H0079,Priyangu,Priyangu,Priyangu,"Tikta, Kashaya",Sheeta,Katu,Prabhava-23,Shamaka,Shamaka,Vardhaka,Flower,Kwatha,3 gm TDS,Diabetes,Callicarpa macrophylla,Classical Ayurvedic herb with Tikta and Kashaya taste and Sheeta potency
H0080,Lodhra,Lodhra,Lodhra,"Kashaya, Tikta",Sheeta,Katu,Prabhava-56,Shamaka,Shamaka,Shamaka,Bark,Taila,8 gm BD,None,Symplocos racemosa,Classical Ayurvedic herb with Kashaya and Tikta taste and Sheeta potency
H0081,Ashoka,Ashoka,Ashoka,"Tikta, Kashaya",Sheeta,Katu,Prabhava-91,Shamaka,Shamaka,Shamaka,Bark,Ghrita,5 gm QDS,Liver Disease,Saraca asoca,Classical Ayurvedic herb with Tikta and Kashaya taste and Sheeta potency
H0082,Nagkesar,Nagkesar,Nagkesar,"Tikta, Kashaya",Sheeta,Katu,Prabhava-34,Shamaka,Shamaka,Shamaka,Stamen,Lehya,7 gm TDS,Pregnancy,Mesua ferrea,Classical Ayurvedic herb with Tikta and Kashaya taste and Sheeta potency
H0083,Dhanyaka,Dhanyaka,Dhania,"Madhura, Tikta",Sheeta,Madhura,Prabhava-67,Shamaka,Shamaka,Sama,Seed,Vati,2 gm BD,Hypertension,Coriandrum sativum,Classical Ayurvedic herb with Madhura and Tikta taste and Sheeta potency
H0084,Jeeraka,Jeeraka,Jeera,"Katu, Madhura",Ushna,Madhura,Prabhava-45,Shamaka,Sama,Shamaka,Seed,Bhasma,4 gm QDS,None,Cuminum cyminum,Classical Ayurvedic herb with Katu and Madhura taste and Ushna potency
H0085,Mishreya,Mishreya,Saunf,"Madhura, Tikta",Sheeta,Madhura,Prabhava-78,Shamaka,Shamaka,Vardhaka,Seed,Churna,6 gm TDS,Diabetes,Foeniculum vulgare,Classical Ayurvedic herb with Madhura and Tikta taste and Sheeta potency
H0086,Dhanvayasa,Dhanvayasa,Dhanvayasa,"Tikta, Katu",Ushna,Katu,Prabhava-23,Shamaka,Sama,Shamaka,Leaf,Kwatha,3 gm BD,Liver Disease,Fagonia cretica,Classical Ayurvedic herb with Tikta and Katu taste and Ushna potency
H0087,Shatapushpa,Shatapushpa,Sowa,"Katu, Tikta",Ushna,Katu,Prabhava-56,Shamaka,Vardhaka,Shamaka,Seed,Taila,8 gm QDS,Pregnancy,Anethum graveolens,Classical Ayurvedic herb with Katu and Tikta taste and Ushna potency
H0088,Kupilu,Kupilu,Kuchla,"Tikta, Katu",Ushna,Katu,Prabhava-91,Vardhaka,Sama,Shamaka,Seed,Ghrita,1 gm TDS,Hypertension,Strychnos nux-vomica,Classical Ayurvedic herb with Tikta and Katu taste and Ushna potency
H0089,Langali,Langali,Gloriosa,"Katu, Tikta",Ushna,Katu,Prabhava-34,Shamaka,Shamaka,Shamaka,Root,Lehya,5 gm BD,None,Gloriosa superba,Classical Ayurvedic herb with Katu and Tikta taste and Ushna potency
H0090,Vatsanabha,Vatsanabha,Meetha Vish,"Madhura, Tikta",Ushna,Madhura,Prabhava-67,Shamaka,Sama,Vardhaka,Root,Vati,2 gm QDS,Diabetes,Aconitum ferox,Classical Ayurvedic herb with Madhura and Tikta taste and Ushna potency
H0091,Kampillaka,Kampillaka,Kamila,"Katu, Kashaya",Ushna,Katu,Prabhava-45,Shamaka,Vardhaka,Shamaka,Fruit,Bhasma,7 gm TDS,Liver Disease,Mallotus philippensis,Classical Ayurvedic herb with Katu and Kashaya taste and Ushna potency
H0092,Karkatshringi,Karkatshringi,Kakdashingi,"Tikta, Madhura",Sheeta,Madhura,Prabhava-78,Shamaka,Shamaka,Sama,Gall,Churna,4 gm BD,Pregnancy,Pistacia integerrima,Classical Ayurvedic herb with Tikta and Madhura taste and Sheeta potency
H0093,Karpasa,Karpasa,Kapas,"Madhura, Tikta",Sheeta,Madhura,Prabhava-23,Shamaka,Shamaka,Vardhaka,Root,Kwatha,6 gm QDS,None,Gossypium herbaceum,Classical Ayurvedic herb with Madhura and Tikta taste and Sheeta potency
H0094,Kokilaksha,Kokilaksha,Kokilaksha,"Tikta, Katu",Ushna,Katu,Prabhava-56,Shamaka,Sama,Shamaka,Seed,Taila,3 gm TDS,Hypertension,Hygrophila auriculata,Classical Ayurvedic herb with Tikta and Katu taste and Ushna potency
H0095,Ksheerikakakoli,Ksheerikakakoli,Kakoli,"Madhura, Tikta",Sheeta,Madhura,Prabhava-91,Shamaka,Shamaka,Vardhaka,Root,Ghrita,8 gm BD,Diabetes,Lilium polyphyllum,Classical Ayurvedic herb with Madhura and Tikta taste and Sheeta potency
H0096,Meda,Meda,Meda,Madhura,Sheeta,Madhura,Prabhava-34,Shamaka,Shamaka,Vardhaka,Root,Lehya,5 gm QDS,None,Polygonatum verticillatum,Classical Ayurvedic herb with Madhura taste and Sheeta potency
H0097,Mahameda,Mahameda,Mahameda,"Madhura, Tikta",Sheeta,Madhura,Prabhava-67,Shamaka,Shamaka,Vardhaka,Root,Vati,2 gm TDS,Liver Disease,Polygonatum cirrhifolium,Classical Ayurvedic herb with Madhura and Tikta taste and Sheeta potency
H0098,Riddhi,Riddhi,Riddhi,Madhura,Sheeta,Madhura,Prabhava-45,Shamaka,Shamaka,Vardhaka,Root,Bhasma,7 gm BD,Pregnancy,Habenaria intermedia,Classical Ayurvedic herb with Madhura taste and Sheeta potency
H0099,Vriddhi,Vriddhi,Vriddhi,"Madhura, Tikta",Sheeta,Madhura,Prabhava-78,Shamaka,Shamaka,Vardhaka,Root,Churna,4 gm QDS,Hypertension,Habenaria edgeworthii,Classical Ayurvedic herb with Madhura and Tikta taste and Sheeta potency
H0100,Jivaka,Jivaka,Jivaka,Madhura,Sheeta,Madhura,Prabhava-23,Shamaka,Shamaka,Vardhaka,Root,Kwatha,6 gm TDS,None,Crepidium acuminatum,Classical Ayurvedic herb with Madhura taste and Sheeta potency
